Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
1999,09,137000,013,    ,3280,9999, ,06238      ,1,1,12,,Coventry town,67,67,6964594,0,0,0,0,0,0,0,0,0,67,67,6964594,0,0,0,0,0,0,0,0,0
1999,09,141000,007,    ,3280,9999, ,06416      ,1,1,12,,Cromwell town,59,59,7795146,0,0,0,0,0,0,0,0,0,59,59,7795146,0,0,0,0,0,0,0,0,0
1999,09,145000,001,0530,5602,1930,1,06810      ,1,1,12,,Danbury,202,202,24366239,2,4,247589,2,7,471834,11,108,5805612,202,202,24366239,2,4,247589,2,7,471834,11,108,5805612
1999,09,157000,001,    ,5602,8040, ,06820      ,1,1,12,,Darien town,32,32,21721000,0,0,0,0,0,0,0,0,0,32,32,21721000,0,0,0,0,0,0,0,0,0
1999,09,161000,007,    ,9999,9999, ,06417      ,1,1,12,,Deep River town,25,25,5119596,0,0,0,0,0,0,0,0,0,25,25,5119596,0,0,0,0,0,0,0,0,0
1999,09,165000,009,0590,5602,1160, ,06418      ,1,1,1,,Derby,55,55,5116292,0,0,0,0,0,0,0,0,0,31,31,2600950,0,0,0,0,0,0,0,0,0
1999,09,169000,007,    ,3280,9999, ,06422      ,1,1,12,,Durham town,58,58,6604078,0,0,0,0,0,0,0,0,0,58,58,6604078,0,0,0,0,0,0,0,0,0
1999,09,173000,003,    ,3280,9999, ,06026      ,1,1,12,,East Granby town,25,25,3557000,0,0,0,0,0,0,0,0,0,25,25,3557000,0,0,0,0,0,0,0,0,0
1999,09,177000,007,    ,3280,9999, ,06423      ,1,1,12,,East Haddam town,86,86,9719740,0,0,0,0,0,0,0,0,0,86,86,9719740,0,0,0,0,0,0,0,0,0
1999,09,181000,007,    ,3280,9999, ,06424      ,1,1,12,,East Hampton town,83,83,6111411,0,0,0,0,0,0,0,0,0,83,83,6111411,0,0,0,0,0,0,0,0,0
1999,09,185000,003,    ,3280,9999, ,06108      ,1,1,12,,East Hartford town,6,6,483267,0,0,0,0,0,0,0,0,0,6,6,483267,0,0,0,0,0,0,0,0,0
1999,09,189000,009,    ,5602,5480, ,06512      ,1,1,12,,East Haven town,42,42,3978390,0,0,0,0,0,0,0,0,0,42,42,3978390,0,0,0,0,0,0,0,0,0
1999,09,193000,011,    ,5520,9999, ,06357      ,1,1,12,,East Lyme town,71,71,8456122,0,0,0,0,0,0,0,0,0,71,71,8456122,0,0,0,0,0,0,0,0,0
1999,09,197000,003,    ,3280,9999, ,06016      ,1,1,12,,East Windsor town,17,17,1937492,0,0,0,0,0,0,0,0,0,17,17,1937492,0,0,0,0,0,0,0,0,0
1999,09,201000,015,    ,9999,9999, ,06242      ,1,1,12,,Eastford town,9,9,721031,0,0,0,0,0,0,0,0,0,9,9,721031,0,0,0,0,0,0,0,0,0
1999,09,205000,001,    ,5602,1160, ,06612      ,1,1,12,,Easton town,34,34,10891400,0,0,0,0,0,0,0,0,0,34,34,10891400,0,0,0,0,0,0,0,0,0
1999,09,209000,013,    ,3280,9999, ,06029      ,1,1,12,,Ellington town,94,94,15001260,0,0,0,0,0,0,5,44,2425220,94,94,15001260,0,0,0,0,0,0,5,44,2425220
1999,09,213000,003,    ,3280,9999, ,06082      ,1,1,12,,Enfield town,63,63,5459104,0,0,0,0,0,0,0,0,0,63,63,5459104,0,0,0,0,0,0,0,0,0
1999,09,217000,007,    ,9999,9999, ,06426      ,1,1,12,,Essex town,50,50,8682396,0,0,0,0,0,0,0,0,0,50,50,8682396,0,0,0,0,0,0,0,0,0
1999,09,221000,001,    ,5602,1160, ,06430      ,1,1,12,,Fairfield town,77,77,13460332,0,0,0,0,0,0,0,0,0,77,77,13460332,0,0,0,0,0,0,0,0,0
1999,09,225000,003,    ,3280,9999, ,06032      ,1,1,11,,Farmington town,139,139,18963385,1,2,65000,0,0,0,1,5,206600,133,133,18153017,1,2,65000,0,0,0,0,0,0
1999,09,229000,007,0800,9999,9999, ,06475      ,1,1,12,,Fenwick borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,09,233000,011,    ,5520,9999, ,06254      ,1,1,12,,Franklin town,2,2,300000,0,0,0,0,0,0,0,0,0,2,2,300000,0,0,0,0,0,0,0,0,0
1999,09,237000,003,    ,3280,9999, ,06033      ,1,1,12,,Glastonbury town,187,187,30581153,0,0,0,0,0,0,0,0,0,187,187,30581153,0,0,0,0,0,0,0,0,0
1999,09,241000,005,    ,9999,9999, ,06756      ,1,1,12,,Goshen town,31,31,6089000,0,0,0,0,0,0,0,0,0,31,31,6089000,0,0,0,0,0,0,0,0,0
1999,09,245000,003,    ,3280,9999, ,06035      ,1,1,12,,Granby town,73,73,10342255,0,0,0,0,0,0,0,0,0,73,73,10342255,0,0,0,0,0,0,0,0,0
1999,09,249000,001,    ,5602,8040, ,06830      ,1,1,11,,Greenwich town,97,97,52555137,4,8,879075,0,0,0,0,0,0,92,92,48910637,3,6,535000,0,0,0,0,0,0
1999,09,253000,011,    ,5520,9999, ,06351      ,1,1,12,,Griswold town,42,42,4045500,0,0,0,1,4,105000,0,0,0,42,42,4045500,0,0,0,1,4,105000,0,0,0
1999,09,257000,011,0900,9999,9999, ,06340      ,1,1,11,,Groton,10,10,1138000,0,0,0,0,0,0,1,12,1000000,9,9,1099600,0,0,0,0,0,0,1,12,1000000
1999,09,261000,011,0912,9999,9999, ,06340      ,1,1,12,,Groton Long Point borough,4,4,1205000,0,0,0,0,0,0,0,0,0,4,4,1205000,0,0,0,0,0,0,0,0,0
1999,09,265000,011,    ,5520,9999, ,06340      ,1,1,12,,Groton town,120,120,13160751,0,0,0,0,0,0,0,0,0,120,120,13160751,0,0,0,0,0,0,0,0,0
1999,09,269000,009,    ,5602,5480, ,06437      ,1,1,12,,Guilford town,112,112,19983300,0,0,0,0,0,0,0,0,0,112,112,19983300,0,0,0,0,0,0,0,0,0
1999,09,273000,007,    ,3280,9999, ,06438      ,1,1,12,,Haddam town,42,42,4588269,0,0,0,0,0,0,0,0,0,42,42,4588269,0,0,0,0,0,0,0,0,0
1999,09,277000,009,    ,5602,5480, ,06518      ,1,1,12,,Hamden town,107,107,9137460,0,0,0,0,0,0,2,96,3550000,107,107,9137460,0,0,0,0,0,0,2,96,3550000
1999,09,281000,015,    ,9999,9999, ,06247      ,1,1,0,,Hampton town,17,17,1752316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,09,285000,003,0970,3280,9999,1,06103      ,1,1,12,,Hartford,30,30,1579200,4,8,400000,0,0,0,1,6,225000,30,30,1579200,4,8,400000,0,0,0,1,6,225000
