Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8599,09,000500,013,3282,3280,1,1,12,12,ANDOVER TOWN . . . . . . . . . . .,29,29,2465000,0,0,0,0,0,0,0,0,0,29,29,2465000,0,0,0,0,0,0,0,0,0
8599,09,001000,009,5602,1160,1,1,0,0,ANSONIA TOWN . . . . . . . . . . .,21,21,616102,4,8,128106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8599,09,001300,015,9999,9999,1,1,12,12,ASHFORD TOWN . . . . . . . . . . .,23,23,1576000,0,0,0,0,0,0,0,0,0,23,23,1576000,0,0,0,0,0,0,0,0,0
8599,09,001500,003,3282,3280,1,1,12,12,AVON TOWN. . . . . . . . . . . . .,176,176,17518050,0,0,0,0,0,0,0,0,0,176,176,17518050,0,0,0,0,0,0,0,0,0
8599,09,001900,005,9999,9999,1,1,12,12,BANTAM BOROUGH . . . . . . . . . .,4,4,160000,0,0,0,0,0,0,0,0,0,4,4,160000,0,0,0,0,0,0,0,0,0
8599,09,002300,005,3282,3280,1,1,12,12,BARKHAMSTED TOWN . . . . . . . . .,17,17,757900,0,0,0,0,0,0,0,0,0,17,17,757900,0,0,0,0,0,0,0,0,0
8599,09,002500,009,5602,1160,1,1,12,12,BEACON FALLS TOWN. . . . . . . . .,39,39,1571000,0,0,0,0,0,0,0,0,0,39,39,1571000,0,0,0,0,0,0,0,0,0
8599,09,003000,003,3282,5440,1,1,12,12,BERLIN TOWN. . . . . . . . . . . .,129,129,6458670,4,8,252000,0,0,0,0,0,0,129,129,6458670,4,8,252000,0,0,0,0,0,0
8599,09,003300,009,5480,9999,1,1,9,9,BETHANY TOWN . . . . . . . . . . .,44,44,4468480,0,0,0,0,0,0,0,0,0,36,36,3779000,0,0,0,0,0,0,0,0,0
8599,09,003500,001,5602,1930,1,1,12,12,BETHEL TOWN. . . . . . . . . . . .,124,124,8671558,9,18,644000,0,0,0,1,6,185000,124,124,8671558,9,18,644000,0,0,0,1,6,185000
8599,09,004000,005,8880,9999,1,1,12,12,BETHLEHEM TOWN . . . . . . . . . .,46,46,3024000,1,2,90000,0,0,0,0,0,0,46,46,3024000,1,2,90000,0,0,0,0,0,0
8599,09,004500,003,3282,3280,1,1,12,12,BLOOMFIELD TOWN. . . . . . . . . .,133,133,7753066,0,0,0,2,8,617000,4,21,1162231,133,133,7753066,0,0,0,2,8,617000,4,21,1162231
8599,09,005000,013,3282,3280,1,1,12,12,BOLTON TOWN. . . . . . . . . . . .,48,48,3050150,0,0,0,0,0,0,0,0,0,48,48,3050150,0,0,0,0,0,0,0,0,0
8599,09,005500,011,5520,9999,1,1,12,12,BOZRAH TOWN. . . . . . . . . . . .,14,14,938960,0,0,0,0,0,0,0,0,0,14,14,938960,0,0,0,0,0,0,0,0,0
8599,09,006000,009,5480,9999,1,1,12,12,BRANFORD TOWN. . . . . . . . . . .,103,103,6600106,1,2,93000,12,42,2071720,33,354,9210979,103,103,6600106,1,2,93000,12,42,2071720,33,354,9210979
8599,09,006500,001,5602,1160,1,1,12,12,BRIDGEPORT . . . . . . . . . . . .,146,146,3959500,0,0,0,4,15,379000,18,290,5642000,146,146,3959500,0,0,0,4,15,379000,18,290,5642000
8599,09,006700,005,5602,1930,1,1,12,12,BRIDGEWATER TOWN . . . . . . . . .,13,13,1128338,0,0,0,0,0,0,0,0,0,13,13,1128338,0,0,0,0,0,0,0,0,0
8599,09,007000,003,3282,1170,1,1,12,12,BRISTOL. . . . . . . . . . . . . .,338,338,19846000,0,0,0,2,6,270000,25,183,7335000,338,338,19846000,0,0,0,2,6,270000,25,183,7335000
8599,09,007500,001,5602,1930,1,1,12,12,BROOKFIELD TOWN. . . . . . . . . .,131,131,9864000,0,0,0,9,35,1248000,3,18,480000,131,131,9864000,0,0,0,9,35,1248000,3,18,480000
8599,09,008000,015,9999,9999,1,1,12,12,BROOKLYN TOWN. . . . . . . . . . .,41,41,1997000,0,0,0,0,0,0,0,0,0,41,41,1997000,0,0,0,0,0,0,0,0,0
8599,09,008500,003,3282,1170,1,1,12,12,BURLINGTON TOWN. . . . . . . . . .,77,77,7736067,0,0,0,0,0,0,0,0,0,77,77,7736067,0,0,0,0,0,0,0,0,0
8599,09,008750,005,9999,9999,1,1,11,11,CANAAN TOWN. . . . . . . . . . . .,6,6,365636,0,0,0,0,0,0,0,0,0,5,5,283500,0,0,0,0,0,0,0,0,0
8599,09,008800,015,5520,9999,1,1,0,0,CANTERBURY TOWN. . . . . . . . . .,52,52,2100925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8599,09,009000,003,3282,3280,1,1,12,12,CANTON TOWN. . . . . . . . . . . .,59,59,3997890,0,0,0,0,0,0,0,0,0,59,59,3997890,0,0,0,0,0,0,0,0,0
8599,09,009300,015,9999,9999,1,1,12,12,CHAPLIN TOWN . . . . . . . . . . .,12,12,673000,0,0,0,0,0,0,0,0,0,12,12,673000,0,0,0,0,0,0,0,0,0
8599,09,009500,009,5480,9999,1,1,12,12,CHESHIRE TOWN. . . . . . . . . . .,401,401,14658840,1,2,59440,0,0,0,3,21,541800,401,401,14658840,1,2,59440,0,0,0,3,21,541800
8599,09,009700,007,9999,9999,1,1,12,12,CHESTER TOWN . . . . . . . . . . .,32,32,1993496,0,0,0,0,0,0,0,0,0,32,32,1993496,0,0,0,0,0,0,0,0,0
8599,09,010000,007,5480,9999,1,1,12,12,CLINTON TOWN . . . . . . . . . . .,112,112,7552531,5,10,477720,0,0,0,4,24,633000,112,112,7552531,5,10,477720,0,0,0,4,24,633000
8599,09,011000,011,3282,3280,1,1,10,10,COLCHESTER TOWN #. . . . . . . . .,180,180,8446536,3,6,230570,0,0,0,3,18,750000,150,150,7069837,3,6,230570,0,0,0,3,18,750000
8599,09,011250,005,9999,9999,1,1,12,12,COLEBROOK TOWN . . . . . . . . . .,9,9,535878,0,0,0,0,0,0,0,0,0,9,9,535878,0,0,0,0,0,0,0,0,0
8599,09,011500,013,3282,3280,1,1,12,12,COLUMBIA TOWN. . . . . . . . . . .,82,82,6015000,0,0,0,6,24,432000,4,24,640000,82,82,6015000,0,0,0,6,24,432000,4,24,640000
8599,09,011700,005,9999,9999,1,1,12,12,CORNWALL TOWN. . . . . . . . . . .,10,10,503710,0,0,0,0,0,0,0,0,0,10,10,503710,0,0,0,0,0,0,0,0,0
8599,09,012000,013,3282,3280,1,1,5,5,COVENTRY TOWN. . . . . . . . . . .,58,58,5954756,0,0,0,0,0,0,0,0,0,17,17,4222360,0,0,0,0,0,0,0,0,0
8599,09,012500,007,3282,5020,1,1,12,12,CROMWELL TOWN. . . . . . . . . . .,236,236,8802327,0,0,0,0,0,0,0,0,0,236,236,8802327,0,0,0,0,0,0,0,0,0
8599,09,013000,001,5602,1930,1,1,12,12,DANBURY. . . . . . . . . . . . . .,629,629,26315805,5,10,319480,8,24,966000,1,48,2632000,629,629,26315805,5,10,319480,8,24,966000,1,48,2632000
8599,09,014500,001,5602,8040,1,1,12,12,DARIEN TOWN. . . . . . . . . . . .,70,70,12406000,0,0,0,0,0,0,0,0,0,70,70,12406000,0,0,0,0,0,0,0,0,0
8599,09,015000,007,9999,9999,1,1,12,12,DEEP RIVER TOWN. . . . . . . . . .,28,28,1398100,0,0,0,0,0,0,0,0,0,28,28,1398100,0,0,0,0,0,0,0,0,0
8599,09,015500,009,5602,1160,1,1,12,12,DERBY. . . . . . . . . . . . . . .,30,30,1322000,5,10,206000,1,4,60000,4,28,1330000,30,30,1322000,5,10,206000,1,4,60000,4,28,1330000
8599,09,016000,007,3282,5020,1,1,12,12,DURHAM TOWN. . . . . . . . . . . .,68,68,4786000,0,0,0,0,0,0,1,6,159000,68,68,4786000,0,0,0,0,0,0,1,6,159000
8599,09,016300,015,9999,9999,1,1,9,9,EASTFORD TOWN. . . . . . . . . . .,7,7,281000,0,0,0,0,0,0,0,0,0,7,7,281000,0,0,0,0,0,0,0,0,0
8599,09,016500,003,3282,3280,1,1,12,12,EAST GRANBY TOWN . . . . . . . . .,23,23,1688994,0,0,0,0,0,0,0,0,0,23,23,1688994,0,0,0,0,0,0,0,0,0
8599,09,017000,007,3282,3280,1,1,0,0,EAST HADDAM TOWN . . . . . . . . .,80,80,3666140,0,0,0,0,0,0,2,10,74496,0,0,0,0,0,0,0,0,0,0,0,0
8599,09,017500,007,3282,5020,1,1,12,12,EAST HAMPTON TOWN. . . . . . . . .,95,95,4196955,2,4,162400,0,0,0,0,0,0,95,95,4196955,2,4,162400,0,0,0,0,0,0
8599,09,018000,003,3282,3280,1,1,12,12,EAST HARTFORD TOWN . . . . . . . .,52,52,2612000,3,6,235000,0,0,0,1,60,1000000,52,52,2612000,3,6,235000,0,0,0,1,60,1000000
8599,09,018500,009,5480,9999,1,1,12,12,EAST HAVEN TOWN. . . . . . . . . .,185,185,6020450,1,2,70000,0,0,0,13,85,1004000,185,185,6020450,1,2,70000,0,0,0,13,85,1004000
8599,09,019000,011,5520,9999,1,1,12,12,EAST LYME TOWN . . . . . . . . . .,83,83,5323606,0,0,0,0,0,0,4,24,900000,83,83,5323606,0,0,0,0,0,0,4,24,900000
8599,09,019500,001,5602,1160,1,1,9,9,EASTON TOWN. . . . . . . . . . . .,34,34,2705459,0,0,0,0,0,0,0,0,0,24,24,1517459,0,0,0,0,0,0,0,0,0
8599,09,020000,003,3282,3280,1,1,12,12,EAST WINDSOR TOWN. . . . . . . . .,95,95,4295087,0,0,0,0,0,0,0,0,0,95,95,4295087,0,0,0,0,0,0,0,0,0
8599,09,020500,013,3282,3280,1,1,12,12,ELLINGTON TOWN . . . . . . . . . .,36,36,2585444,0,0,0,0,0,0,33,276,6151998,36,36,2585444,0,0,0,0,0,0,33,276,6151998
8599,09,021000,003,3282,3280,1,1,12,12,ENFIELD TOWN . . . . . . . . . . .,333,333,12548138,0,0,0,0,0,0,11,208,3433679,333,333,12548138,0,0,0,0,0,0,11,208,3433679
8599,09,021500,007,9999,9999,1,1,12,12,ESSEX TOWN . . . . . . . . . . . .,60,60,3830800,0,0,0,0,0,0,0,0,0,60,60,3830800,0,0,0,0,0,0,0,0,0
8599,09,022000,001,5602,1160,1,1,12,12,FAIRFIELD TOWN . . . . . . . . . .,106,106,9275212,9,18,645286,11,35,1741281,6,31,1574564,106,106,9275212,9,18,645286,11,35,1741281,6,31,1574564
8599,09,022500,003,3282,3280,1,1,11,11,FARMINGTON TOWN. . . . . . . . . .,389,389,21574942,6,12,306000,3,12,696000,1,6,324000,367,367,20188000,6,12,306000,1,4,216000,1,6,324000
8599,09,022900,011,5520,9999,1,1,12,12,FRANKLIN TOWN. . . . . . . . . . .,15,15,924480,0,0,0,0,0,0,0,0,0,15,15,924480,0,0,0,0,0,0,0,0,0
8599,09,023000,003,3282,3280,1,1,12,12,GLASTONBURY TOWN . . . . . . . . .,278,278,23050744,3,6,266500,0,0,0,0,0,0,278,278,23050744,3,6,266500,0,0,0,0,0,0
8599,09,023300,005,9999,9999,1,1,12,12,GOSHEN TOWN. . . . . . . . . . . .,49,49,3709000,0,0,0,0,0,0,0,0,0,49,49,3709000,0,0,0,0,0,0,0,0,0
8599,09,023500,003,3282,3280,1,1,12,12,GRANBY TOWN. . . . . . . . . . . .,114,114,6895974,0,0,0,0,0,0,0,0,0,114,114,6895974,0,0,0,0,0,0,0,0,0
8599,09,024000,001,5602,8040,1,1,12,12,GREENWICH TOWN . . . . . . . . . .,141,141,29454960,5,10,643000,0,0,0,2,20,929000,141,141,29454960,5,10,643000,0,0,0,2,20,929000
8599,09,024500,011,9999,9999,1,1,12,12,GROTON . . . . . . . . . . . . . .,6,6,418000,1,2,40000,1,4,93000,0,0,0,6,6,418000,1,2,40000,1,4,93000,0,0,0
8599,09,024700,011,5520,9999,1,1,9,9,GROTON LONG POINT BOROUGH. . . . .,5,5,485000,0,0,0,0,0,0,0,0,0,5,5,485000,0,0,0,0,0,0,0,0,0
8599,09,025000,011,5520,9999,1,1,12,12,GROTON TOWN. . . . . . . . . . . .,74,74,4336700,8,16,578000,0,0,0,0,0,0,74,74,4336700,8,16,578000,0,0,0,0,0,0
8599,09,025500,009,5480,9999,1,1,12,12,GUILFORD TOWN. . . . . . . . . . .,166,166,15793550,0,0,0,0,0,0,1,17,900000,166,166,15793550,0,0,0,0,0,0,1,17,900000
8599,09,025700,007,3282,5020,1,1,12,12,HADDAM TOWN. . . . . . . . . . . .,47,47,2111801,1,2,28668,0,0,0,0,0,0,47,47,2111801,1,2,28668,0,0,0,0,0,0
8599,09,026000,009,5480,9999,1,1,12,12,HAMDEN TOWN. . . . . . . . . . . .,197,197,9000500,4,8,198000,0,0,0,3,20,600000,197,197,9000500,4,8,198000,0,0,0,3,20,600000
8599,09,026250,015,9999,9999,1,1,12,12,HAMPTON TOWN . . . . . . . . . . .,7,7,245900,0,0,0,0,0,0,0,0,0,7,7,245900,0,0,0,0,0,0,0,0,0
8599,09,026500,003,3282,3280,1,1,12,12,HARTFORD . . . . . . . . . . . . .,53,53,2541234,3,6,140000,2,8,500000,20,517,19270000,53,53,2541234,3,6,140000,2,8,500000,20,517,19270000
8599,09,026600,003,9999,9999,1,1,0,0,HARTLAND TOWN. . . . . . . . . . .,17,17,684891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8599,09,026700,005,9999,9999,1,1,12,12,HARWINTON TOWN . . . . . . . . . .,27,27,2433000,0,0,0,0,0,0,0,0,0,27,27,2433000,0,0,0,0,0,0,0,0,0
8599,09,026900,013,3282,3280,1,1,12,12,HEBRON TOWN. . . . . . . . . . . .,120,120,9628814,0,0,0,0,0,0,0,0,0,120,120,9628814,0,0,0,0,0,0,0,0,0
8599,09,027000,011,9999,9999,1,1,12,12,JEWETT CITY BOROUGH #. . . . . . .,69,69,3089081,0,0,0,0,0,0,0,0,0,69,69,3089081,0,0,0,0,0,0,0,0,0
