Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202112,09,181000,007,    ,00000 ,22490 ,12959 ,278,25540, , ,064241000  ,1,1,12,East Hampton town,39,39,12271075,3,6,1395567,0,0,0,3,24,2628000,39,39,12271075,3,6,1395567,0,0,0,3,24,2628000
202112,09,185000,003,    ,00000 ,22630 ,51252 ,278,25540, ,1,06108      ,1,1,12,East Hartford town,1,1,258000,0,0,0,0,0,0,0,0,0,1,1,258000,0,0,0,0,0,0,0,0,0
202112,09,193000,011,    ,00000 ,23400 ,19159 ,278,35980, , ,06357      ,1,1,12,East Lyme town,22,22,6967991,1,2,300000,0,0,0,3,17,4214100,22,22,6967991,1,2,300000,0,0,0,3,17,4214100
202112,09,197000,003,    ,00000 ,24800 ,11162 ,278,25540, , ,06016      ,1,1,12,East Windsor town,15,15,2296887,0,0,0,0,0,0,0,0,0,15,15,2296887,0,0,0,0,0,0,0,0,0
202112,09,205000,001,    ,00000 ,23890 ,7490 ,408,14860, , ,06612      ,1,1,12,Easton town,11,11,7728520,0,0,0,0,0,0,0,0,0,11,11,7728520,0,0,0,0,0,0,0,0,0
202112,09,209000,013,    ,00000 ,25360 ,15602 ,278,25540, , ,06029      ,1,1,0,Ellington town,48,48,10106333,0,0,0,0,0,0,16,103,12641190,0,0,0,0,0,0,0,0,0,0,0,0
202112,09,213000,003,    ,00000 ,25990 ,44654 ,278,25540, , ,06082      ,1,1,0,Enfield town,9,9,1595000,0,0,0,0,0,0,3,15,1540968,0,0,0,0,0,0,0,0,0,0,0,0
202112,09,217000,007,    ,00000 ,26270 ,6683 ,278,25540, , ,064261167  ,1,1,12,Essex town,9,9,3669000,0,0,0,0,0,0,0,0,0,9,9,3669000,0,0,0,0,0,0,0,0,0
202112,09,221000,001,    ,00000 ,26620 ,59404 ,408,14860, , ,06824      ,1,1,12,Fairfield town,55,55,28991595,5,10,3238900,1,3,675000,1,26,5500000,55,55,28991595,5,10,3238900,1,3,675000,1,26,5500000
202112,09,225000,003,    ,00000 ,27600 ,25340 ,278,25540, , ,06032      ,1,1,12,Farmington town,28,28,8558657,0,0,0,2,8,1066890,1,6,727372,28,28,8558657,0,0,0,2,8,1066890,1,6,727372
202112,09,229000,007,0340,27810 ,57320 ,43 ,278,25540, , ,06475      ,1,1,12,Fenwick borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,09,237000,003,    ,00000 ,31240 ,34427 ,278,25540, , ,06033      ,1,1,12,Glastonbury town,45,45,14455697,0,0,0,0,0,0,0,0,0,45,45,14455697,0,0,0,0,0,0,0,0,0
202112,09,245000,003,    ,00000 ,32640 ,11282 ,278,25540, , ,06035      ,1,1,11,Granby town,10,10,1816150,16,32,2232262,0,0,0,1,7,442077,9,9,1652403,16,32,2232262,0,0,0,0,0,0
202112,09,249000,001,    ,00000 ,33620 ,61171 ,408,14860, , ,06830      ,1,1,2,Greenwich town,87,87,108873066,0,0,0,0,0,0,4,29,13166668,13,13,28620000,0,0,0,0,0,0,1,14,4000000
202112,09,253000,011,    ,00000 ,33900 ,8464 ,278,35980,2, ,06351      ,1,1,12,Griswold town,38,38,8199995,0,0,0,0,0,0,0,0,0,38,38,8199995,0,0,0,0,0,0,0,0,0
202112,09,273000,007,    ,00000 ,35230 ,8346 ,278,25540, , ,06438      ,1,1,12,Haddam town,16,16,3131670,0,0,0,0,0,0,3,56,4116000,16,16,3131670,0,0,0,0,0,0,3,56,4116000
202112,09,285000,003,0400,37000 ,37070 ,124775 ,278,25540,2,1,06103      ,1,1,0,Hartford,11,11,1479643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,09,289000,003,    ,00000 ,37140 ,2114 ,278,25540, , ,06035      ,1,1,11,Hartland town,2,2,319764,0,0,0,0,0,0,0,0,0,2,2,319764,0,0,0,0,0,0,0,0,0
202112,09,297000,013,    ,00000 ,37910 ,9686 ,278,25540, , ,06248      ,1,1,0,Hebron town,19,19,5925695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202112,09,305000,005,    ,00000 ,40290 ,2979 ,999,99999, , ,06757      ,1,1,12,Kent town,11,11,8305062,0,0,0,0,0,0,0,0,0,11,11,8305062,0,0,0,0,0,0,0,0,0
202112,09,313000,007,    ,00000 ,40710 ,6525 ,278,25540, , ,06419      ,1,1,12,Killingworth town,7,7,2822239,0,0,0,0,0,0,0,0,0,7,7,2822239,0,0,0,0,0,0,0,0,0
202112,09,317000,011,    ,00000 ,42390 ,7308 ,278,35980, , ,062491506  ,1,1,12,Lebanon town,4,4,1050039,0,0,0,0,0,0,0,0,0,4,4,1050039,0,0,0,0,0,0,0,0,0
