Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2021,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,12,Andover town,3,3,726405,0,0,0,0,0,0,0,0,0,3,3,726405,0,0,0,0,0,0,0,0,0
2021,09,005000,009,0010,01150 ,01220 ,19249 ,408,35300,2, ,064011855  ,1,1,0,Ansonia,1,1,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,09,009000,015,    ,00000 ,01430 ,4317 ,148,49340, , ,06278      ,1,1,12,Ashford town,5,5,552000,0,0,0,0,0,0,0,0,0,5,5,552000,0,0,0,0,0,0,0,0,0
2021,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,12,Avon town,17,17,4941605,0,0,0,0,0,0,0,0,0,17,17,4941605,0,0,0,0,0,0,0,0,0
2021,09,021000,005,    ,00000 ,02760 ,3799 ,999,99999, , ,060633340  ,1,1,12,Barkhamsted town,5,5,1887000,0,0,0,0,0,0,0,0,0,5,5,1887000,0,0,0,0,0,0,0,0,0
2021,09,025000,009,    ,00000 ,03250 ,6049 ,408,35300, , ,06403      ,1,1,0,Beacon Falls town,23,23,3224356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,12,Berlin town,32,32,6898768,0,0,0,0,0,0,1,6,1034100,32,32,6898768,0,0,0,0,0,0,1,6,1034100
2021,09,033000,009,    ,00000 ,04580 ,5563 ,408,35300, , ,06524      ,1,1,0,Bethany town,7,7,1913550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,12,Bethel town,57,57,17174391,0,0,0,6,22,2700000,0,0,0,57,57,17174391,0,0,0,6,22,2700000,0,0,0
2021,09,041000,005,    ,00000 ,04930 ,3607 ,999,99999, , ,067510053  ,1,1,12,Bethlehem town,4,4,1279200,0,0,0,0,0,0,0,0,0,4,4,1279200,0,0,0,0,0,0,0,0,0
2021,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,12,Bloomfield town,4,4,582484,0,0,0,0,0,0,1,42,6004000,4,4,582484,0,0,0,0,0,0,1,42,6004000
2021,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,12,Bolton town,4,4,1060000,0,0,0,0,0,0,0,0,0,4,4,1060000,0,0,0,0,0,0,0,0,0
