Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2005,09,141000,007,    ,278,25540, , ,06416      ,1,1,12,Cromwell town,24,24,5462700,0,0,0,0,0,0,0,0,0,24,24,5462700,0,0,0,0,0,0,0,0,0
2005,09,145000,001,0530,408,14860,2,1,06810      ,1,1,12,Danbury,514,514,63999997,0,0,0,0,0,0,2,84,2717848,514,514,63999997,0,0,0,0,0,0,2,84,2717848
2005,09,157000,001,    ,408,14860, , ,06820      ,1,1,12,Darien town,56,56,61383000,0,0,0,0,0,0,0,0,0,56,56,61383000,0,0,0,0,0,0,0,0,0
2005,09,161000,007,    ,278,25540, , ,06417      ,1,1,12,Deep River town,4,4,819800,0,0,0,0,0,0,0,0,0,4,4,819800,0,0,0,0,0,0,0,0,0
2005,09,165000,009,0590,408,35300, , ,06418      ,1,1,12,Derby,7,7,914595,0,0,0,0,0,0,0,0,0,7,7,914595,0,0,0,0,0,0,0,0,0
2005,09,169000,007,    ,278,25540, , ,06422      ,1,1,0,Durham town,47,47,7576999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,09,173000,003,    ,278,25540, , ,06026      ,1,1,12,East Granby town,21,21,4539450,0,0,0,0,0,0,0,0,0,21,21,4539450,0,0,0,0,0,0,0,0,0
2005,09,177000,007,    ,278,25540, , ,06423      ,1,1,12,East Haddam town,52,52,12637265,0,0,0,0,0,0,0,0,0,52,52,12637265,0,0,0,0,0,0,0,0,0
2005,09,181000,007,    ,278,25540, , ,06424      ,1,1,12,East Hampton town,134,134,16034620,0,0,0,0,0,0,0,0,0,134,134,16034620,0,0,0,0,0,0,0,0,0
2005,09,185000,003,    ,278,25540, ,1,06108      ,1,1,12,East Hartford town,14,14,1759128,0,0,0,0,0,0,0,0,0,14,14,1759128,0,0,0,0,0,0,0,0,0
2005,09,189000,009,    ,408,35300, , ,06512      ,1,1,12,East Haven town,63,63,6590800,0,0,0,1,3,292000,1,8,242000,63,63,6590800,0,0,0,1,3,292000,1,8,242000
2005,09,193000,011,    ,999,35980, , ,06357      ,1,1,12,East Lyme town,127,127,23407814,0,0,0,0,0,0,0,0,0,127,127,23407814,0,0,0,0,0,0,0,0,0
