Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202204,09,001000,013,    ,00000 ,01080 ,3303 ,278,25540, , ,06232      ,1,1,0,Andover town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,09,005000,009,0010,01150 ,01220 ,19249 ,408,35300,2, ,064011855  ,1,1,0,Ansonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,09,009000,015,    ,00000 ,01430 ,4317 ,148,49340, , ,06278      ,1,1,4,Ashford town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,09,013000,003,    ,00000 ,02060 ,18098 ,278,25540, , ,06001      ,1,1,0,Avon town,5,5,1484881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,09,021000,005,    ,00000 ,02760 ,3799 ,999,99999, , ,060633340  ,1,1,0,Barkhamsted town,1,1,377400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,09,025000,009,    ,00000 ,03250 ,6049 ,408,35300, , ,06403      ,1,1,0,Beacon Falls town,7,7,981326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,09,029000,003,    ,00000 ,04300 ,19866 ,278,25540, , ,06037      ,1,1,1,Berlin town,7,7,1752143,0,0,0,0,0,0,0,0,0,1,1,326520,0,0,0,0,0,0,0,0,0
202204,09,033000,009,    ,00000 ,04580 ,5563 ,408,35300, , ,06524      ,1,1,0,Bethany town,1,1,273364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,09,037000,001,    ,00000 ,04720 ,18584 ,408,14860, , ,06801      ,1,1,1,Bethel town,26,26,7768920,0,0,0,0,0,0,0,0,0,6,6,2176880,0,0,0,0,0,0,0,0,0
202204,09,041000,005,    ,00000 ,04930 ,3607 ,999,99999, , ,067510053  ,1,1,0,Bethlehem town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,09,045000,003,    ,00000 ,05910 ,20486 ,278,25540, , ,060022460  ,1,1,3,Bloomfield town,0,0,0,2,4,232884,0,0,0,1,5,714762,0,0,0,2,4,232884,0,0,0,0,0,0
202204,09,049000,013,    ,00000 ,06260 ,4980 ,278,25540, , ,06043      ,1,1,0,Bolton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202204,09,053000,011,    ,00000 ,06820 ,2627 ,278,35980, , ,06334      ,1,1,4,Bozrah town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
