Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9799,09,001000,013,3280,9999,1,1,12,,Andover town,26,26,2699660,0,0,0,0,0,0,0,0,0,26,26,2699660,0,0,0,0,0,0,0,0,0
9799,09,005000,009,5602,1160,1,1,12,,Ansonia,16,16,1105000,0,0,0,0,0,0,0,0,0,16,16,1105000,0,0,0,0,0,0,0,0,0
9799,09,009000,015,3280,9999,1,1,12,,Ashford town,16,16,1476368,0,0,0,0,0,0,0,0,0,16,16,1476368,0,0,0,0,0,0,0,0,0
9799,09,013000,003,3280,9999,1,1,12,,Avon town,144,144,20896400,0,0,0,0,0,0,0,0,0,144,144,20896400,0,0,0,0,0,0,0,0,0
9799,09,017000,005,9999,9999,1,1,0,,Bantam borough,6,6,330084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,09,021000,005,3280,9999,1,1,12,,Barkhamsted town,23,23,3152944,0,0,0,0,0,0,0,0,0,23,23,3152944,0,0,0,0,0,0,0,0,0
9799,09,025000,009,5602,1160,1,1,12,,Beacon Falls town,25,25,1667000,0,0,0,0,0,0,0,0,0,25,25,1667000,0,0,0,0,0,0,0,0,0
9799,09,029000,003,3280,9999,1,1,12,,Berlin town,64,64,7216623,1,2,133288,0,0,0,0,0,0,64,64,7216623,1,2,133288,0,0,0,0,0,0
9799,09,033000,009,5602,5480,1,1,12,,Bethany town,21,21,4041875,0,0,0,0,0,0,0,0,0,21,21,4041875,0,0,0,0,0,0,0,0,0
9799,09,037000,001,5602,1930,1,1,12,,Bethel town,43,43,5858175,0,0,0,0,0,0,0,0,0,43,43,5858175,0,0,0,0,0,0,0,0,0
9799,09,041000,005,5602,8880,1,1,12,,Bethlehem town,8,8,1053000,0,0,0,0,0,0,0,0,0,8,8,1053000,0,0,0,0,0,0,0,0,0
9799,09,045000,003,3280,9999,1,1,12,,Bloomfield town,33,33,2281730,0,0,0,0,0,0,0,0,0,33,33,2281730,0,0,0,0,0,0,0,0,0
9799,09,049000,013,3280,9999,1,1,12,,Bolton town,20,20,2699486,0,0,0,0,0,0,0,0,0,20,20,2699486,0,0,0,0,0,0,0,0,0
9799,09,053000,011,5520,9999,1,1,12,,Bozrah town,5,5,478000,0,0,0,0,0,0,0,0,0,5,5,478000,0,0,0,0,0,0,0,0,0
9799,09,057000,009,5602,5480,1,1,12,,Branford town,36,36,4168140,3,6,204480,0,0,0,0,0,0,36,36,4168140,3,6,204480,0,0,0,0,0,0
9799,09,061000,001,5602,1160,1,1,12,,Bridgeport,21,21,1324400,15,30,1026900,3,10,412000,1,8,372000,21,21,1324400,15,30,1026900,3,10,412000,1,8,372000
9799,09,065000,005,5602,1930,1,1,12,,Bridgewater town,7,7,2116400,0,0,0,0,0,0,0,0,0,7,7,2116400,0,0,0,0,0,0,0,0,0
9799,09,069000,003,3280,9999,1,1,12,,Bristol,88,88,8550650,0,0,0,0,0,0,0,0,0,88,88,8550650,0,0,0,0,0,0,0,0,0
9799,09,077000,001,5602,1930,1,1,12,,Brookfield town,57,57,8676759,0,0,0,0,0,0,0,0,0,57,57,8676759,0,0,0,0,0,0,0,0,0
9799,09,081000,015,9999,9999,1,1,12,,Brooklyn town,0,0,0,2,4,340000,0,0,0,0,0,0,0,0,0,2,4,340000,0,0,0,0,0,0
9799,09,085000,003,3280,9999,1,1,12,,Burlington town,52,52,7763697,0,0,0,0,0,0,0,0,0,52,52,7763697,0,0,0,0,0,0,0,0,0
9799,09,089000,005,9999,9999,1,1,12,,Canaan town,1,1,65000,0,0,0,0,0,0,0,0,0,1,1,65000,0,0,0,0,0,0,0,0,0
9799,09,093000,015,5520,9999,1,1,9,,Canterbury town,18,18,1324511,0,0,0,0,0,0,0,0,0,12,12,840050,0,0,0,0,0,0,0,0,0
9799,09,097000,003,3280,9999,1,1,12,,Canton town,30,30,4932080,0,0,0,0,0,0,0,0,0,30,30,4932080,0,0,0,0,0,0,0,0,0
9799,09,101000,015,3280,9999,1,1,0,,Chaplin town,15,15,812985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,09,105000,009,5602,5480,1,1,12,,Cheshire town,132,132,14786298,0,0,0,0,0,0,2,46,3479359,132,132,14786298,0,0,0,0,0,0,2,46,3479359
9799,09,109000,007,9999,9999,1,1,12,,Chester town,22,22,3644288,0,0,0,0,0,0,0,0,0,22,22,3644288,0,0,0,0,0,0,0,0,0
9799,09,113000,007,5602,5480,1,1,12,,Clinton town,36,36,3662855,0,0,0,0,0,0,0,0,0,36,36,3662855,0,0,0,0,0,0,0,0,0
9799,09,121000,011,3280,9999,1,1,12,,Colchester town,94,94,8067600,0,0,0,0,0,0,2,12,418880,94,94,8067600,0,0,0,0,0,0,2,12,418880
9799,09,125000,005,9999,9999,1,1,12,,Colebrook town,4,4,431550,0,0,0,0,0,0,0,0,0,4,4,431550,0,0,0,0,0,0,0,0,0
9799,09,129000,013,3280,9999,1,1,12,,Columbia town,17,17,2154680,0,0,0,0,0,0,0,0,0,17,17,2154680,0,0,0,0,0,0,0,0,0
9799,09,133000,005,9999,9999,1,1,12,,Cornwall town,5,5,477496,0,0,0,0,0,0,0,0,0,5,5,477496,0,0,0,0,0,0,0,0,0
9799,09,137000,013,3280,9999,1,1,12,,Coventry town,58,58,6115900,0,0,0,0,0,0,0,0,0,58,58,6115900,0,0,0,0,0,0,0,0,0
9799,09,141000,007,3280,9999,1,1,12,,Cromwell town,37,37,4201635,0,0,0,0,0,0,0,0,0,37,37,4201635,0,0,0,0,0,0,0,0,0
9799,09,145000,001,5602,1930,1,1,12,,Danbury,89,89,11276138,1,2,88000,8,25,1175520,18,100,6458666,89,89,11276138,1,2,88000,8,25,1175520,18,100,6458666
9799,09,157000,001,5602,8040,1,1,12,,Darien town,27,27,10252000,0,0,0,0,0,0,0,0,0,27,27,10252000,0,0,0,0,0,0,0,0,0
9799,09,161000,007,9999,9999,1,1,12,,Deep River town,15,15,2667000,0,0,0,0,0,0,0,0,0,15,15,2667000,0,0,0,0,0,0,0,0,0
9799,09,165000,009,5602,1160,1,1,0,,Derby,29,29,1994340,2,4,99000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,09,169000,007,3280,9999,1,1,12,,Durham town,43,43,4074680,0,0,0,1,3,150000,0,0,0,43,43,4074680,0,0,0,1,3,150000,0,0,0
9799,09,173000,003,3280,9999,1,1,12,,East Granby town,22,22,3222427,0,0,0,0,0,0,0,0,0,22,22,3222427,0,0,0,0,0,0,0,0,0
9799,09,177000,007,3280,9999,1,1,12,,East Haddam town,70,70,9834560,0,0,0,0,0,0,0,0,0,70,70,9834560,0,0,0,0,0,0,0,0,0
9799,09,181000,007,3280,9999,1,1,12,,East Hampton town,40,40,3050225,0,0,0,0,0,0,0,0,0,40,40,3050225,0,0,0,0,0,0,0,0,0
9799,09,185000,003,3280,9999,1,1,12,,East Hartford town,3,3,290345,0,0,0,0,0,0,0,0,0,3,3,290345,0,0,0,0,0,0,0,0,0
9799,09,189000,009,5602,5480,1,1,12,,East Haven town,52,52,3163000,0,0,0,0,0,0,4,95,2103000,52,52,3163000,0,0,0,0,0,0,4,95,2103000
9799,09,193000,011,5520,9999,1,1,12,,East Lyme town,83,83,8131166,0,0,0,0,0,0,0,0,0,83,83,8131166,0,0,0,0,0,0,0,0,0
9799,09,197000,003,3280,9999,1,1,12,,East Windsor town,22,22,2213774,0,0,0,0,0,0,0,0,0,22,22,2213774,0,0,0,0,0,0,0,0,0
9799,09,201000,015,9999,9999,1,1,12,,Eastford town,8,8,611280,0,0,0,0,0,0,0,0,0,8,8,611280,0,0,0,0,0,0,0,0,0
9799,09,205000,001,5602,1160,1,1,0,,Easton town,40,40,9283429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,09,209000,013,3280,9999,1,1,12,,Ellington town,59,59,9400767,0,0,0,0,0,0,2,14,617620,59,59,9400767,0,0,0,0,0,0,2,14,617620
9799,09,213000,003,3280,9999,1,1,12,,Enfield town,84,84,6237027,0,0,0,0,0,0,0,0,0,84,84,6237027,0,0,0,0,0,0,0,0,0
9799,09,217000,007,9999,9999,1,1,11,,Essex town,21,21,3993863,0,0,0,0,0,0,0,0,0,20,20,3872062,0,0,0,0,0,0,0,0,0
9799,09,221000,001,5602,1160,1,1,12,,Fairfield town,130,130,14623774,0,0,0,0,0,0,0,0,0,130,130,14623774,0,0,0,0,0,0,0,0,0
9799,09,225000,003,3280,9999,1,1,12,,Farmington town,97,97,13100950,2,4,265000,0,0,0,4,50,2066000,97,97,13100950,2,4,265000,0,0,0,4,50,2066000
9799,09,229000,007,9999,9999,1,1,12,,Fenwick borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,09,233000,011,5520,9999,1,1,12,,Franklin town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,09,237000,003,3280,9999,1,1,12,,Glastonbury town,164,164,23687558,0,0,0,0,0,0,0,0,0,164,164,23687558,0,0,0,0,0,0,0,0,0
9799,09,241000,005,9999,9999,1,1,12,,Goshen town,22,22,3817000,0,0,0,0,0,0,0,0,0,22,22,3817000,0,0,0,0,0,0,0,0,0
9799,09,245000,003,3280,9999,1,1,12,,Granby town,62,62,7566600,0,0,0,0,0,0,0,0,0,62,62,7566600,0,0,0,0,0,0,0,0,0
9799,09,249000,001,5602,8040,1,1,12,,Greenwich town,73,73,53209705,4,8,1376300,3,12,1890000,1,38,3537600,73,73,53209705,4,8,1376300,3,12,1890000,1,38,3537600
9799,09,253000,011,5520,9999,1,1,12,,Griswold town,39,39,2988100,0,0,0,0,0,0,0,0,0,39,39,2988100,0,0,0,0,0,0,0,0,0
9799,09,257000,011,9999,9999,1,1,12,,Groton,5,5,192000,0,0,0,0,0,0,0,0,0,5,5,192000,0,0,0,0,0,0,0,0,0
9799,09,261000,011,9999,9999,1,1,12,,Groton Long Point borough,3,3,585000,0,0,0,0,0,0,0,0,0,3,3,585000,0,0,0,0,0,0,0,0,0
9799,09,265000,011,5520,9999,1,1,12,,Groton town,60,60,5722154,2,4,123000,0,0,0,1,52,600000,60,60,5722154,2,4,123000,0,0,0,1,52,600000
9799,09,269000,009,5602,5480,1,1,12,,Guilford town,124,124,19668947,0,0,0,0,0,0,0,0,0,124,124,19668947,0,0,0,0,0,0,0,0,0
9799,09,273000,007,3280,9999,1,1,12,,Haddam town,28,28,3274415,0,0,0,0,0,0,0,0,0,28,28,3274415,0,0,0,0,0,0,0,0,0
9799,09,277000,009,5602,5480,1,1,12,,Hamden town,51,51,4336600,0,0,0,0,0,0,1,24,1160713,51,51,4336600,0,0,0,0,0,0,1,24,1160713
9799,09,281000,015,9999,9999,1,1,6,,Hampton town,15,15,1530235,0,0,0,0,0,0,0,0,0,10,10,972030,0,0,0,0,0,0,0,0,0
9799,09,285000,003,3280,9999,1,1,12,,Hartford,29,29,2580200,15,30,1884200,0,0,0,0,0,0,29,29,2580200,15,30,1884200,0,0,0,0,0,0
9799,09,289000,003,9999,9999,1,1,12,,Hartland town,4,4,348940,0,0,0,0,0,0,0,0,0,4,4,348940,0,0,0,0,0,0,0,0,0
9799,09,293000,005,3280,9999,1,1,12,,Harwinton town,27,27,3579000,0,0,0,0,0,0,0,0,0,27,27,3579000,0,0,0,0,0,0,0,0,0
9799,09,297000,013,3280,9999,1,1,9,,Hebron town,73,73,7351602,0,0,0,0,0,0,0,0,0,56,56,5683582,0,0,0,0,0,0,0,0,0
9799,09,305000,005,9999,9999,1,1,1,,Kent town,12,12,2114099,0,0,0,0,0,0,0,0,0,1,1,320000,0,0,0,0,0,0,0,0,0
9799,09,309000,015,9999,9999,1,1,12,,Killingly town,32,32,1829844,0,0,0,0,0,0,0,0,0,32,32,1829844,0,0,0,0,0,0,0,0,0
9799,09,313000,007,5602,5480,1,1,12,,Killingworth town,60,60,8447000,0,0,0,0,0,0,0,0,0,60,60,8447000,0,0,0,0,0,0,0,0,0
9799,09,317000,011,3280,9999,1,1,12,,Lebanon town,39,39,3169997,0,0,0,0,0,0,0,0,0,39,39,3169997,0,0,0,0,0,0,0,0,0
9799,09,321000,011,5520,9999,1,1,12,,Ledyard town,46,46,3995210,0,0,0,0,0,0,0,0,0,46,46,3995210,0,0,0,0,0,0,0,0,0
9799,09,325000,011,5520,9999,1,1,0,,Lisbon town,23,23,1978657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9799,09,333000,005,9999,9999,1,1,12,,Litchfield town,24,24,4677020,0,0,0,0,0,0,1,66,5229000,24,24,4677020,0,0,0,0,0,0,1,66,5229000
9799,09,337000,011,9999,9999,1,1,12,,Lyme town,14,14,3180138,0,0,0,0,0,0,0,0,0,14,14,3180138,0,0,0,0,0,0,0,0,0
9799,09,341000,009,5602,5480,1,1,12,,Madison town,104,104,19463278,0,0,0,0,0,0,0,0,0,104,104,19463278,0,0,0,0,0,0,0,0,0
9799,09,345000,003,3280,9999,1,1,12,,Manchester town,69,69,6865014,2,4,209600,0,0,0,9,248,9471931,69,69,6865014,2,4,209600,0,0,0,9,248,9471931
9799,09,349000,013,3280,9999,1,1,12,,Mansfield town,45,45,4744652,0,0,0,0,0,0,0,0,0,45,45,4744652,0,0,0,0,0,0,0,0,0
9799,09,353000,003,3280,9999,1,1,12,,Marlborough town,30,30,3919507,0,0,0,0,0,0,1,5,343047,30,30,3919507,0,0,0,0,0,0,1,5,343047
9799,09,357000,009,5602,5480,1,1,12,,Meriden,37,37,2341231,0,0,0,0,0,0,0,0,0,37,37,2341231,0,0,0,0,0,0,0,0,0
9799,09,361000,009,5602,8880,1,1,12,,Middlebury town,26,26,6028400,0,0,0,0,0,0,0,0,0,26,26,6028400,0,0,0,0,0,0,0,0,0
