Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2006,01,001000,067,0005,222,20020, , ,36310      ,3,6,12,Abbeville,1,1,202000,0,0,0,0,0,0,0,0,0,1,1,202000,0,0,0,0,0,0,0,0,0
2006,01,002000,073,0010,142,13820, , ,35005      ,3,6,8,Adamsville,6,6,742940,0,0,0,0,0,0,0,0,0,6,6,742940,0,0,0,0,0,0,0,0,0
2006,01,004000,065,0020,999,46220, , ,35441      ,3,6,0,Akron town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,01,005000,117,0025,142,13820, , ,35007      ,3,6,12,Alabaster,268,268,40442142,0,0,0,0,0,0,0,0,0,268,268,40442142,0,0,0,0,0,0,0,0,0
2006,01,006000,095,0030,999,99999, , ,35950      ,3,6,12,Albertville,54,54,8931000,11,22,1260000,0,0,0,9,72,3000000,54,54,8931000,11,22,1260000,0,0,0,9,72,3000000
2006,01,007000,123,0035,999,99999, , ,35010      ,3,6,12,Alexander City,55,55,8686355,0,0,0,0,0,0,0,0,0,55,55,8686355,0,0,0,0,0,0,0,0,0
2006,01,008000,107,0040,999,99999, , ,35442      ,3,6,0,Aliceville,4,4,257333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,01,012000,039,0055,999,99999, , ,36420      ,3,6,12,Andalusia,12,12,1883790,0,0,0,0,0,0,0,0,0,12,12,1883790,0,0,0,0,0,0,0,0,0
2006,01,014000,015,0060,999,11500, ,1,36202      ,3,6,0,Anniston,15,15,3291845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,01,016000,095,0065,999,99999,2, ,35016      ,3,6,12,Arab,28,28,3856500,0,0,0,1,4,115000,0,0,0,28,28,3856500,0,0,0,1,4,115000,0,0,0
2006,01,017000,083,0070,290,26620, , ,38449      ,3,6,12,Ardmore town,22,22,2666000,0,0,0,0,0,0,0,0,0,22,22,2666000,0,0,0,0,0,0,0,0,0
2006,01,022000,069,0080,222,20020,2, ,36312      ,3,6,12,Ashford town,28,28,3949200,2,4,400000,0,0,0,0,0,0,28,28,3949200,2,4,400000,0,0,0,0,0,0
2006,01,023000,027,0085,999,99999,2, ,36251      ,3,6,12,Ashland town,5,5,725000,0,0,0,0,0,0,0,0,0,5,5,725000,0,0,0,0,0,0,0,0,0
2006,01,024000,115,0090,142,13820,2, ,35953      ,3,6,12,Ashville,4,4,617368,0,0,0,0,0,0,0,0,0,4,4,617368,0,0,0,0,0,0,0,0,0
2006,01,025000,083,0095,290,26620, , ,35611      ,3,6,12,Athens,219,219,37735361,0,0,0,0,0,0,0,0,0,219,219,37735361,0,0,0,0,0,0,0,0,0
2006,01,026000,053,0100,999,99999, , ,36504      ,3,6,12,Atmore,9,9,991870,0,0,0,0,0,0,0,0,0,9,9,991870,0,0,0,0,0,0,0,0,0
2006,01,027000,055,0105,999,23460, , ,35954      ,3,6,0,Attalla,17,17,1473000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,01,028000,081,0110,194,12220, ,1,36830      ,3,6,12,Auburn,846,846,148441634,8,16,1104376,0,0,0,11,233,19661968,846,846,148441634,8,16,1104376,0,0,0,11,233,19661968
2006,01,031000,069,0120,222,20020, , ,36312      ,3,6,12,Avon town,1,1,154000,0,0,0,0,0,0,0,0,0,1,1,154000,0,0,0,0,0,0,0,0,0
