Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,01,064000,073,0255,142,13820, ,35020      ,3,6,0,,Brighton,1,1,122000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,066000,073,0265,142,13820, ,35036      ,3,6,12,,Brookside town,2,2,199000,0,0,0,0,0,0,0,0,0,2,2,199000,0,0,0,0,0,0,0,0,0
2003,01,068000,109,0275,999,99999, ,36010      ,3,6,12,,Brundidge,2,2,280000,0,0,0,0,0,0,0,0,0,2,2,280000,0,0,0,0,0,0,0,0,0
2003,01,070000,023,0280,999,99999, ,36904      ,3,6,12,,Butler,2,2,330000,0,0,0,0,0,0,0,0,0,2,2,330000,0,0,0,0,0,0,0,0,0
2003,01,072000,117,0285,142,13820, ,35040      ,3,6,12,,Calera,353,353,42402172,0,0,0,0,0,0,0,0,0,353,353,42402172,0,0,0,0,0,0,0,0,0
2003,01,075000,123,0295,999,99999, ,36850      ,3,6,10,,Camp Hill town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,077000,073,0305,142,13820, ,35073      ,3,6,12,,Cardiff town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,081000,019,0330,999,99999, ,35959      ,3,6,12,,Cedar Bluff town,8,8,717000,0,0,0,0,0,0,0,0,0,8,8,717000,0,0,0,0,0,0,0,0,0
2003,01,082000,019,0340,999,99999, ,35960      ,3,6,12,,Centre,16,16,1183000,0,0,0,0,0,0,0,0,0,16,16,1183000,0,0,0,0,0,0,0,0,0
2003,01,083000,007,0345,142,13820, ,35042      ,3,6,0,,Centreville,2,2,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,085000,129,0355,999,99999, ,36518      ,3,6,12,,Chatom town,3,3,215000,0,0,0,0,0,0,0,0,0,3,3,215000,0,0,0,0,0,0,0,0,0
2003,01,087000,033,0360,999,22520, ,35616      ,3,6,0,,Cherokee town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,088000,097,0365,380,33660, ,36611      ,3,6,0,,Chickasaw,5,5,271250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,089000,121,0370,999,99999, ,35044      ,3,6,12,,Childersburg,10,10,818000,0,0,0,0,0,0,0,0,0,10,10,818000,0,0,0,0,0,0,0,0,0
2003,01,092000,097,0375,380,33660, ,36522      ,3,6,12,,Citronelle,19,19,1064790,0,0,0,0,0,0,0,0,0,19,19,1064790,0,0,0,0,0,0,0,0,0
2003,01,093000,021,0380,142,13820, ,350460580  ,3,6,0,,Clanton,20,20,3135789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,097000,005,0385,999,99999, ,36016      ,3,6,12,,Clayton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,106000,049,0405,999,99999, ,35961      ,3,6,0,,Collinsville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,112000,051,0418,388,33860, ,36020      ,3,6,0,,Coosada town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,01,113000,127,0420,142,13820, ,35550      ,3,6,12,,Cordova,2,2,162075,0,0,0,0,0,0,0,0,0,2,2,162075,0,0,0,0,0,0,0,0,0
