Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2005,01,068000,109,0275,999,99999, , ,36010      ,3,6,12,Brundidge,2,2,202000,0,0,0,0,0,0,0,0,0,2,2,202000,0,0,0,0,0,0,0,0,0
2005,01,070000,023,0280,999,99999,2, ,36904      ,3,6,12,Butler town,5,5,600000,0,0,0,0,0,0,0,0,0,5,5,600000,0,0,0,0,0,0,0,0,0
2005,01,072000,117,0285,142,13820,2, ,35040      ,3,6,12,Calera,643,643,85843659,0,0,0,0,0,0,4,96,7415568,643,643,85843659,0,0,0,0,0,0,4,96,7415568
2005,01,075000,123,0295,999,99999, , ,36850      ,3,6,0,Camp Hill town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,077000,073,0305,142,13820,2, ,35073      ,3,6,0,Cardiff town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,081000,019,0330,999,99999, , ,35959      ,3,6,12,Cedar Bluff town,9,9,1171965,0,0,0,0,0,0,0,0,0,9,9,1171965,0,0,0,0,0,0,0,0,0
2005,01,082000,019,0340,999,99999, , ,35960      ,3,6,12,Centre,18,18,1286500,0,0,0,0,0,0,0,0,0,18,18,1286500,0,0,0,0,0,0,0,0,0
2005,01,083000,007,0345,142,13820, , ,35042      ,3,6,12,Centreville,3,3,404550,0,0,0,0,0,0,0,0,0,3,3,404550,0,0,0,0,0,0,0,0,0
2005,01,085000,129,0355,999,99999, , ,36518      ,3,6,12,Chatom town,3,3,415750,0,0,0,0,0,0,0,0,0,3,3,415750,0,0,0,0,0,0,0,0,0
2005,01,087000,033,0360,999,22520, , ,35616      ,3,6,0,Cherokee town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,088000,097,0365,380,33660, , ,36611      ,3,6,0,Chickasaw,6,6,325500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,089000,121,0370,999,99999,2, ,35044      ,3,6,12,Childersburg,11,11,1034500,0,0,0,0,0,0,0,0,0,11,11,1034500,0,0,0,0,0,0,0,0,0
2005,01,092000,097,0375,380,33660, , ,36522      ,3,6,12,Citronelle,17,17,901580,0,0,0,0,0,0,0,0,0,17,17,901580,0,0,0,0,0,0,0,0,0
2005,01,093000,021,0380,142,13820, , ,350460580  ,3,6,12,Clanton,42,42,4630277,0,0,0,14,56,1892000,0,0,0,42,42,4630277,0,0,0,14,56,1892000,0,0,0
2005,01,097000,005,0385,999,99999, , ,36016      ,3,6,0,Clayton town,1,1,115000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,106000,049,0405,999,99999,2, ,35961      ,3,6,0,Collinsville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,112000,051,0418,388,33860, , ,36020      ,3,6,12,Coosada town,18,18,2400000,0,0,0,0,0,0,0,0,0,18,18,2400000,0,0,0,0,0,0,0,0,0
2005,01,113000,127,0420,142,13820, , ,35550      ,3,6,12,Cordova,1,1,87465,0,0,0,0,0,0,0,0,0,1,1,87465,0,0,0,0,0,0,0,0,0
2005,01,114000,069,0425,222,20020, , ,36320      ,3,6,12,Cottonwood town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,116000,073,0430,142,13820,2, ,35172      ,3,6,3,County Line town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,121000,097,0438,380,33660,2, ,36525      ,3,6,0,Creola,15,15,1104006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,122000,049,0440,999,99999, , ,35962      ,3,6,12,Crossville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,123000,119,0445,999,99999, , ,36907      ,3,6,12,Cuba town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,124000,043,0450,999,99999, , ,350560278  ,3,6,12,Cullman,41,41,6098367,1,2,85000,0,0,0,0,0,0,41,41,6098367,1,2,85000,0,0,0,0,0,0
2005,01,126000,123,0455,999,99999, , ,36853      ,3,6,12,Dadeville,4,4,519690,0,0,0,0,0,0,3,36,1792921,4,4,519690,0,0,0,0,0,0,3,36,1792921
2005,01,128000,045,0460,999,99999, , ,36322      ,3,6,12,Daleville,14,14,835000,0,0,0,1,4,200000,0,0,0,14,14,835000,0,0,0,1,4,200000,0,0,0
2005,01,130000,003,0465,999,99999, , ,36526      ,3,6,12,Daphne,349,349,56442019,0,0,0,0,0,0,0,0,0,349,349,56442019,0,0,0,0,0,0,0,0,0
2005,01,131000,097,0467,380,33660, , ,36528      ,3,6,12,Dauphin Island town,67,67,9088272,0,0,0,0,0,0,1,144,28204980,67,67,9088272,0,0,0,0,0,0,1,144,28204980
2005,01,136000,103,0480,290,19460,2,1,35602      ,3,6,12,Decatur,219,219,32593792,0,0,0,0,0,0,0,0,0,219,219,32593792,0,0,0,0,0,0,0,0,0
2005,01,137000,091,0485,999,99999, , ,36732      ,3,6,12,Demopolis,24,24,1674400,0,0,0,0,0,0,0,0,0,24,24,1674400,0,0,0,0,0,0,0,0,0
2005,01,139000,127,0495,142,13820, , ,35062      ,3,6,12,Dora,26,26,3696200,0,0,0,0,0,0,0,0,0,26,26,3696200,0,0,0,0,0,0,0,0,0
2005,01,141000,069,0500,222,20020,2,1,36301      ,3,6,12,Dothan,501,501,37132060,0,0,0,0,0,0,13,104,5317208,501,501,37132060,0,0,0,0,0,0,13,104,5317208
2005,01,142000,133,0505,999,99999, , ,35553      ,3,6,0,Double Springs town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,146000,053,0515,999,99999, , ,36426      ,3,6,12,East Brewton,7,7,824850,0,0,0,0,0,0,6,54,2650000,7,7,824850,0,0,0,0,0,0,6,54,2650000
2005,01,147000,051,0520,388,33860, , ,36024      ,3,6,12,Eclectic town,6,6,319500,0,0,0,0,0,0,0,0,0,6,6,319500,0,0,0,0,0,0,0,0,0
2005,01,149000,031,0530,999,99999, , ,36323      ,3,6,12,Elba,7,7,890000,0,0,0,0,0,0,0,0,0,7,7,890000,0,0,0,0,0,0,0,0,0
2005,01,151000,127,0537,142,13820,2, ,35554      ,3,6,12,Eldridge town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,155000,031,0545,999,99999,2, ,363311000  ,3,6,12,Enterprise,358,358,44790442,0,0,0,0,0,0,18,160,10706494,358,358,44790442,0,0,0,0,0,0,18,160,10706494
2005,01,161000,005,0560,999,99999, , ,360720219  ,3,6,12,Eufaula,23,23,3085770,0,0,0,0,0,0,0,0,0,23,23,3085770,0,0,0,0,0,0,0,0,0
2005,01,163000,063,0570,999,46220,2, ,35462      ,3,6,0,Eutaw town,1,1,56720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,165000,035,0575,999,99999, , ,36401      ,3,6,12,Evergreen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,166000,099,0580,999,99999, , ,36439      ,3,6,12,Excel town,6,6,399000,0,0,0,0,0,0,0,0,0,6,6,399000,0,0,0,0,0,0,0,0,0
2005,01,167000,073,0590,142,13820, , ,35064      ,3,6,12,Fairfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,168000,003,0595,999,99999, , ,36533      ,3,6,12,Fairhope,520,520,97590881,4,8,408736,0,0,0,1,24,1500000,520,520,97590881,4,8,408736,0,0,0,1,24,1500000
2005,01,170000,103,0600,290,19460, , ,35622      ,3,6,12,Falkville town,1,1,110485,0,0,0,0,0,0,0,0,0,1,1,110485,0,0,0,0,0,0,0,0,0
2005,01,172000,057,0610,999,99999, , ,35555      ,3,6,0,Fayette,9,9,1079486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2005,01,176000,053,0630,999,99999, , ,36441      ,3,6,12,Flomaton town,3,3,445500,0,0,0,0,0,0,0,0,0,3,3,445500,0,0,0,0,0,0,0,0,0
2005,01,177000,039,0635,999,99999,2, ,36442      ,3,6,0,Florala town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
