Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2001,01,066000,073,0265,1000,9999, ,35036      ,3,6,12,,Brookside town,7,7,580575,0,0,0,0,0,0,0,0,0,7,7,580575,0,0,0,0,0,0,0,0,0
2001,01,068000,109,0275,9999,9999, ,36010      ,3,6,12,,Brundidge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,070000,023,0280,9999,9999, ,36904      ,3,6,12,,Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,072000,117,0285,1000,9999, ,35040      ,3,6,12,,Calera,272,272,29498738,0,0,0,0,0,0,0,0,0,272,272,29498738,0,0,0,0,0,0,0,0,0
2001,01,075000,123,0295,9999,9999, ,36850      ,3,6,12,,Camp Hill town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,077000,073,0305,1000,9999, ,35041      ,3,6,12,,Cardiff town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,081000,019,0330,9999,9999, ,35959      ,3,6,0,,Cedar Bluff town,4,4,233000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,082000,019,0340,9999,9999, ,35960      ,3,6,12,,Centre,17,17,1474555,0,0,0,0,0,0,0,0,0,17,17,1474555,0,0,0,0,0,0,0,0,0
2001,01,083000,007,0345,9999,9999, ,35042      ,3,6,0,,Centreville,4,4,310000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,085000,129,0355,9999,9999, ,36518      ,3,6,12,,Chatom town,4,4,469000,0,0,0,0,0,0,0,0,0,4,4,469000,0,0,0,0,0,0,0,0,0
2001,01,087000,033,0360,2650,9999, ,35616      ,3,6,0,,Cherokee town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,088000,097,0365,5160,9999, ,36611      ,3,6,12,,Chickasaw,4,4,217000,0,0,0,0,0,0,0,0,0,4,4,217000,0,0,0,0,0,0,0,0,0
2001,01,089000,121,0370,9999,9999, ,35044      ,3,6,12,,Childersburg,14,14,2183000,1,2,73000,0,0,0,0,0,0,14,14,2183000,1,2,73000,0,0,0,0,0,0
2001,01,092000,097,0375,5160,9999, ,36522      ,3,6,0,,Citronelle,26,26,2000526,1,2,63000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,093000,021,0380,9999,9999, ,350460580  ,3,6,12,,Clanton,31,31,3463700,0,0,0,0,0,0,5,46,850000,31,31,3463700,0,0,0,0,0,0,5,46,850000
2001,01,097000,005,0385,9999,9999, ,36016      ,3,6,12,,Clayton town,1,1,85000,0,0,0,0,0,0,0,0,0,1,1,85000,0,0,0,0,0,0,0,0,0
2001,01,106000,049,0405,9999,9999, ,35961      ,3,6,0,,Collinsville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,112000,051,0418,5240,9999, ,36020      ,3,6,12,,Coosada town,4,4,432435,0,0,0,0,0,0,0,0,0,4,4,432435,0,0,0,0,0,0,0,0,0
2001,01,113000,127,0420,9999,9999, ,35550      ,3,6,0,,Cordova,1,1,100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,114000,069,0425,2180,9999, ,36320      ,3,6,12,,Cottonwood town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,116000,073,0430,1000,9999, ,35172      ,3,6,0,,County Line town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,121000,097,0438,5160,9999, ,36525      ,3,6,0,,Creola town,15,15,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,122000,049,0440,9999,9999, ,35962      ,3,6,0,,Crossville town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,124000,043,0450,9999,9999, ,350560278  ,3,6,12,,Cullman,20,20,4280094,0,0,0,0,0,0,0,0,0,20,20,4280094,0,0,0,0,0,0,0,0,0
2001,01,126000,123,0455,9999,9999, ,36853      ,3,6,12,,Dadeville,6,6,335000,0,0,0,0,0,0,0,0,0,6,6,335000,0,0,0,0,0,0,0,0,0
2001,01,127000,045,    ,2180,9999, ,36361      ,3,6,0,,Dale County Unincorporated Area,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,128000,045,0460,2180,9999, ,36322      ,3,6,12,,Daleville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,130000,003,0465,5160,9999, ,36526      ,3,6,12,,Daphne,175,175,25311965,0,0,0,0,0,0,0,0,0,175,175,25311965,0,0,0,0,0,0,0,0,0
2001,01,131000,097,0467,5160,9999, ,36528      ,3,6,12,,Dauphin Island town,37,37,3810758,0,0,0,0,0,0,0,0,0,37,37,3810758,0,0,0,0,0,0,0,0,0
2001,01,136000,103,0480,2030,9999,1,35602      ,3,6,12,,Decatur,179,179,26150141,0,0,0,0,0,0,0,0,0,179,179,26150141,0,0,0,0,0,0,0,0,0
2001,01,137000,091,0485,9999,9999, ,36732      ,3,6,0,,Demopolis,5,5,511417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,01,139000,127,0495,9999,9999, ,35062      ,3,6,12,,Dora,2,2,250000,0,0,0,0,0,0,0,0,0,2,2,250000,0,0,0,0,0,0,0,0,0
