Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202499,01,3,6,Alabama,17423,17423,4858585,106,212,42339,40,141,30859,107,2949,464105,14914,14914,4234492,87,174,29379,31,111,26864,73,2573,400316
202499,02,4,9,Alaska,446,446,164838,67,134,27281,24,78,11899,22,374,56258,406,406,153324,58,116,23565,24,78,11899,17,349,52367
202499,04,4,8,Arizona,41944,41944,12366376,927,1854,248116,84,300,53709,498,15518,2077012,39427,39427,11697626,890,1780,238374,83,297,53474,445,14006,1826433
202499,05,3,7,Arkansas,9819,9819,2694390,394,788,131716,92,323,29053,119,2754,392032,8598,8598,2476832,352,704,124956,44,159,20553,85,2458,370787
202499,06,4,9,California,61143,61143,19271917,1616,3232,597746,315,1085,259672,1386,36085,6668228,56342,56342,17881223,1561,3122,569766,285,993,239504,1237,34247,6329590
202499,08,4,8,Colorado,20434,20434,8685654,201,402,89197,106,390,65842,363,10959,2305162,19482,19482,8406679,194,388,86641,103,381,64663,340,10699,2264920
202499,09,1,1,Connecticut,2129,2129,964834,62,124,23988,51,177,28350,113,3496,479106,1800,1800,882402,60,120,23479,44,156,26358,90,3345,467584
202499,10,3,5,Delaware,6236,6236,894168,104,208,47011,5,18,1910,26,679,100252,6229,6229,892528,104,208,47011,5,18,1910,26,679,100252
202499,11,3,5,District of Columbia,146,146,41892,41,82,12647,1,3,438,40,1506,215266,146,146,41892,41,82,12647,1,3,438,40,1506,215266
202499,12,3,5,Florida,123359,123359,39028721,1011,2022,477832,246,929,168708,1441,47016,9677613,113879,113879,36082712,966,1932,465492,242,917,165989,1254,44534,9192070
202499,13,3,5,Georgia,48243,48243,13307067,418,836,119083,336,1269,197080,1160,18019,2574427,40646,40646,11440304,331,662,103342,299,1142,177335,1047,16992,2439723
202499,15,4,9,Hawaii,2444,2444,1248556,90,180,34229,1,3,197,35,1252,429323,1693,1693,971382,22,44,15209,0,0,0,14,452,170950
202499,16,4,8,Idaho,14821,14821,4208155,137,274,42651,110,410,61487,102,2125,328428,14043,14043,3988009,116,232,38282,97,371,50823,88,2003,314925
202499,17,2,3,Illinois,10326,10326,3657431,241,482,100213,220,747,150495,411,8771,1873247,9480,9480,3418284,222,444,94406,196,669,142533,349,8441,1819103
202499,18,2,3,Indiana,20082,20082,6951719,258,516,100498,59,210,45624,265,5825,1035231,18786,18786,6637292,254,508,99670,55,198,44461,224,5465,988853
202499,19,2,4,Iowa,7780,7780,2671858,220,440,78553,56,211,43100,155,4113,604092,7105,7105,2503926,206,412,72597,54,205,41600,132,3998,586399
202499,20,2,4,Kansas,5565,5565,2008035,734,1468,217559,101,368,67019,64,1662,285848,5048,5048,1850055,715,1430,211401,100,365,66779,60,1624,280860
202499,21,3,6,Kentucky,8919,8919,2457770,287,574,80769,120,418,50506,443,6353,812261,8001,8001,2267739,280,560,79173,103,366,43959,413,5978,774430
202499,22,3,7,Louisiana,12120,12120,3043103,247,494,60096,10,35,3736,105,1661,297353,9377,9377,2364624,204,408,50766,10,35,3736,86,1213,244835
202499,23,1,1,Maine,4650,4650,1464316,132,264,47934,36,128,28727,87,992,138578,2697,2697,980615,112,224,42973,25,95,24537,45,669,114948
202499,24,3,5,Maryland,10885,10885,3274820,23,46,8782,4,14,3135,94,5878,1325773,10850,10850,3267331,23,46,8782,4,14,3135,94,5878,1325773
