Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9899,01,3,6,Alabama,14655,14655,1501272,150,300,16044,103,399,15394,362,5179,257803,14056,14056,1454985,148,296,15934,103,399,15394,340,5019,251558
9899,02,4,9,Alaska,2010,2010,303170,88,176,18343,85,316,31921,32,372,32047,1650,1650,258247,48,96,10644,79,296,29140,14,256,22003
9899,04,4,8,Arizona,50540,50540,6085412,183,366,23115,175,650,46592,878,12374,610608,50393,50393,6073175,174,348,22425,170,635,45767,868,12324,608687
9899,05,3,7,Arkansas,7160,7160,703176,179,358,15910,88,337,14090,196,2166,64898,6691,6691,675357,156,312,14483,85,327,13794,186,2051,62073
9899,06,4,9,California,93414,93414,15861823,705,1410,147684,721,2471,230577,1673,26740,1990272,91685,91685,15618233,687,1374,144943,694,2382,224444,1615,26396,1969712
9899,08,4,8,Colorado,36107,36107,4857929,493,986,90287,291,1069,83888,957,12994,744407,35176,35176,4771914,465,930,82868,274,1013,77788,951,12949,740480
9899,09,1,1,Connecticut,9130,9130,1262866,92,184,9830,51,196,11484,124,2353,110063,8837,8837,1218109,91,182,9486,51,196,11484,120,2330,108783
9899,10,3,5,Delaware,4649,4649,465424,10,20,1722,11,42,5307,38,576,26294,4538,4538,457792,10,20,1722,11,42,5307,26,516,25334
9899,11,3,5,District of Columbia,255,255,26897,1,2,116,0,0,0,2,172,8061,255,255,26897,1,2,116,0,0,0,2,172,8061
9899,12,3,5,Florida,97889,97889,10863860,746,1492,108355,899,3408,264506,2818,45814,2885966,92262,92262,10329746,736,1472,107047,875,3324,259576,2724,44727,2838210
9899,13,3,5,Georgia,67879,67879,7093420,415,830,35760,175,658,29750,927,16034,700242,65791,65791,6945240,389,778,33374,146,548,27164,904,15838,692572
9899,15,4,9,Hawaii,2857,2857,446666,32,64,8662,5,20,3484,45,383,25192,2682,2682,425417,32,64,8662,5,20,3484,42,364,23887
9899,16,4,8,Idaho,10277,10277,1172921,112,224,19403,62,239,12711,90,927,45782,10187,10187,1151283,111,222,19317,60,232,12376,90,927,45782
9899,17,2,3,Illinois,36177,36177,4935983,547,1094,85118,627,2263,148773,627,8450,448585,34504,34504,4753544,501,1002,79651,581,2104,139245,559,8046,432469
9899,18,2,3,Indiana,31618,31618,3884984,687,1374,95602,201,774,38723,535,6943,314072,29887,29887,3738179,641,1282,91467,190,739,37418,512,6814,308188
9899,19,2,4,Iowa,8879,8879,1059203,186,372,27768,133,504,29717,205,3389,175647,8630,8630,1038186,184,368,27403,130,493,29717,202,3346,173513
9899,20,2,4,Kansas,10935,10935,1308832,394,788,53360,103,388,25149,226,3210,128765,10423,10423,1264395,386,772,52609,102,384,25043,226,3210,128765
9899,21,3,6,Kentucky,15375,15375,1516591,423,846,38478,168,636,25661,319,3783,149775,14295,14295,1443666,396,792,35126,140,541,22142,278,3594,142773
9899,22,3,7,Louisiana,13875,13875,1433783,137,274,9684,58,214,7764,180,2120,89917,12157,12157,1253831,122,244,9181,46,175,6590,180,2120,89917
9899,23,1,1,Maine,5656,5656,601875,50,100,7532,22,86,3959,15,438,28317,4727,4727,521249,50,100,7532,22,86,3959,13,428,27629
9899,24,3,5,Maryland,23812,23812,2566789,84,168,11007,57,217,12781,488,6666,312271,23642,23642,2555817,82,164,10767,57,217,12781,471,6562,308835
