Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202599,01,3,6,Alabama,15402,15402,4547092,66,132,24375,60,228,27906,197,3299,502911,13035,13035,3975707,48,96,12446,50,195,22106,166,2726,397892
202599,02,4,9,Alaska,573,573,214651,36,72,16546,13,44,8420,14,159,26412,548,548,207080,36,72,16546,13,44,8420,14,159,26412
202599,04,4,8,Arizona,33371,33371,10354124,589,1178,161965,79,292,55005,509,16691,2840790,31858,31858,10001513,566,1132,156344,78,289,54809,452,14834,2532752
202599,05,3,7,Arkansas,10298,10298,2953067,485,970,133627,92,310,23057,188,3914,594780,8811,8811,2648166,406,812,116750,37,131,13587,122,3342,549159
202599,06,4,9,California,57739,57739,18455202,1748,3496,722819,330,1137,252973,1349,41484,7073052,53501,53501,17121556,1608,3216,668793,292,1023,226902,1172,38887,6619912
202599,08,4,8,Colorado,17406,17406,7653309,231,462,85981,66,240,47910,507,15646,2932456,16599,16599,7361059,223,446,82543,61,223,44209,461,14639,2753764
202599,09,1,1,Connecticut,2080,2080,950687,104,208,36031,43,148,24184,123,4837,963663,1805,1805,840004,101,202,34234,39,135,22116,94,4658,949113
202599,10,3,5,Delaware,5422,5422,732108,85,170,28678,0,0,0,46,876,104526,5420,5420,731708,85,170,28678,0,0,0,46,876,104526
202599,11,3,5,District of Columbia,181,181,53250,19,38,6064,0,0,0,20,1372,229268,181,181,53250,19,38,6064,0,0,0,20,1372,229268
202599,12,3,5,Florida,111173,111173,37010885,1323,2644,475627,370,1405,258030,1549,63075,11942703,102430,102430,34156736,1180,2358,442184,364,1385,253584,1416,61041,11456248
202599,13,3,5,Georgia,44351,44351,13204655,354,708,94395,176,641,90866,814,15496,2366328,37817,37817,11637640,334,668,90081,135,508,76151,706,14358,2226586
202599,15,4,9,Hawaii,2420,2420,1038052,105,210,36590,2,8,1136,42,1070,301802,1764,1764,793437,44,88,19304,2,8,1136,23,356,69968
202599,16,4,8,Idaho,14112,14112,4242918,170,340,64191,145,566,87815,149,2926,420660,13433,13433,4022548,161,322,60736,140,551,81531,133,2778,403362
202599,17,2,3,Illinois,10821,10821,3924418,307,614,119675,251,849,171478,287,6267,1591325,10283,10283,3763929,287,574,114623,226,767,163571,253,5901,1443144
202599,18,2,3,Indiana,19877,19877,7272703,253,506,80213,43,164,31389,295,8529,1407931,18862,18862,7005729,233,466,74548,42,160,31239,244,7660,1304661
202599,19,2,4,Iowa,7326,7326,2669012,216,432,85864,87,322,59911,221,5584,886899,6820,6820,2534257,210,420,84308,83,310,56821,188,5328,852179
202599,20,2,4,Kansas,6121,6121,2138873,806,1612,238958,48,171,27928,86,2395,404403,5642,5642,2009504,729,1458,214930,42,152,25762,79,2360,399808
202599,21,3,6,Kentucky,8817,8817,2407109,357,714,90782,85,303,39777,328,5106,706472,7767,7767,2175555,347,694,88576,66,243,32600,297,4484,655019
202599,22,3,7,Louisiana,11199,11199,2974239,260,520,70340,21,69,8228,51,2415,196716,8551,8551,2299999,245,490,68299,20,66,7961,32,1954,153004
202599,23,1,1,Maine,4764,4764,1558029,122,244,42716,28,97,11411,102,1874,385942,2928,2928,1078080,109,218,39022,16,59,6699,61,1539,360120
202599,24,3,5,Maryland,9345,9345,2751338,210,420,54861,6,23,5005,76,3570,782082,9308,9308,2743189,210,420,54861,6,23,5005,76,3570,782082
