Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,       5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202512,01,3,6,Alabama,15321,15321,4509389,62,124,23500,60,226,28181,189,3166,481071,11701,11701,3607309,43,86,10885,46,179,21031,149,2579,372330
202512,02,4,9,Alaska,504,504,195648,46,92,20129,15,52,8861,21,200,30137,234,234,75695,17,34,5936,7,25,3284,7,105,12330
202512,04,4,8,Arizona,33643,33643,10394797,598,1196,163581,74,273,51631,471,15871,2734307,29866,29866,9400828,559,1118,155075,72,267,51080,399,13652,2383518
202512,05,3,7,Arkansas,10286,10286,2952066,454,908,128258,89,299,22067,201,3978,598737,8343,8343,2517613,367,734,109680,29,103,10428,119,3314,546798
202512,06,4,9,California,56815,56815,18105807,1714,3428,681331,337,1154,252428,1427,43229,7614800,48341,48341,15566626,1500,3000,600857,270,946,205865,1044,36594,6324576
202512,08,4,8,Colorado,17544,17544,7719863,164,328,60961,71,256,52070,507,15496,2920657,14466,14466,6624363,143,286,49296,55,203,41101,337,10285,1951870
202512,09,1,1,Connecticut,2082,2082,1001789,78,156,24799,48,159,25510,127,4612,923889,1406,1406,684826,65,130,19479,21,74,12764,78,3708,825515
202512,10,3,5,Delaware,5419,5419,731175,85,170,28678,0,0,0,46,876,104526,5416,5416,730490,85,170,28678,0,0,0,46,876,104526
202512,11,3,5,District of Columbia,181,181,53250,19,38,6064,0,0,0,20,1372,229268,181,181,53250,19,38,6064,0,0,0,20,1372,229268
202512,12,3,5,Florida,110634,110634,36707956,1341,2680,485067,367,1388,252367,1587,60502,12038011,99542,99542,32713529,1174,2346,441960,346,1314,242596,1339,55446,11028849
202512,13,3,5,Georgia,43931,43931,12925597,337,674,95895,194,698,101664,854,15127,2291493,31821,31821,9569771,191,382,59733,132,492,75010,688,13194,2020764
202512,15,4,9,Hawaii,2420,2420,1038052,105,210,36590,2,8,1136,42,1070,301802,1286,1286,617118,5,10,1764,2,8,1136,7,56,6790
202512,16,4,8,Idaho,14093,14093,4231422,184,368,68635,113,434,62122,148,2901,416940,12755,12755,3804567,140,280,49601,99,390,51489,121,2546,365834
202512,17,2,3,Illinois,10706,10706,3878976,317,634,122182,261,878,182682,372,6446,1611977,9107,9107,3298501,246,492,100761,210,711,155846,230,5113,1085904
202512,18,2,3,Indiana,20543,20543,7451266,263,526,83231,43,163,31296,306,8451,1402462,17942,17942,6733463,200,400,67786,42,160,31239,232,7128,1251305
202512,19,2,4,Iowa,7321,7321,2657986,224,448,90612,73,265,51657,238,5355,858015,5832,5832,2214310,168,336,71203,62,231,44148,156,4611,753005
202512,20,2,4,Kansas,5987,5987,2115727,799,1598,236363,54,183,34003,94,2227,376646,4681,4681,1744917,661,1322,194221,35,126,22767,65,1955,329728
202512,21,3,6,Kentucky,8470,8470,2382598,220,440,59050,83,291,38802,351,5156,720105,7035,7035,2066498,200,400,54326,61,222,30980,284,4332,640733
202512,22,3,7,Louisiana,11376,11376,2939265,225,450,54095,14,50,6381,92,2504,274149,6148,6148,1674471,71,142,16522,2,8,537,19,420,53037
202512,23,1,1,Maine,4635,4635,1499060,127,254,44165,20,66,8119,108,1778,371650,1966,1966,762857,85,170,31484,7,24,2929,47,1174,298436
202512,24,3,5,Maryland,9331,9331,2729602,209,418,54573,8,29,5763,66,3455,762290,9220,9220,2711344,207,414,54143,7,26,5466,65,3450,761679
