Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,       5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202201,01,3,6,Alabama,1451,1451,355092,1,2,169,0,0,0,9,111,15473,699,699,193008,0,0,0,0,0,0,0,0,0
202201,02,4,9,Alaska,77,77,24132,2,4,653,1,4,688,2,24,3467,5,5,1704,1,2,329,0,0,0,0,0,0
202201,04,4,8,Arizona,4048,4048,1093817,88,176,18898,2,7,725,48,1496,255029,3822,3822,1034299,85,170,18162,2,7,725,42,1311,224312
202201,05,3,7,Arkansas,874,874,219899,20,40,4478,8,27,2014,10,103,8595,605,605,168362,12,24,2319,2,6,900,2,24,550
202201,06,4,9,California,4977,4977,1413862,105,210,47260,35,116,27106,122,2973,582381,3582,3582,1035456,89,178,39728,25,83,21613,72,2339,469050
202201,08,4,8,Colorado,2203,2203,714895,52,104,17163,9,32,6408,54,1783,257349,1937,1937,618917,48,96,15287,6,23,4379,43,1665,237476
202201,09,1,1,Connecticut,223,223,79405,4,8,1515,0,0,0,12,223,25392,148,148,57435,3,6,1357,0,0,0,6,187,23005
202201,10,3,5,Delaware,548,548,68302,2,4,625,0,0,0,2,34,4154,417,417,63652,2,4,625,0,0,0,0,0,0
202201,11,3,5,District of Columbia,10,10,2392,2,4,514,0,0,0,0,0,0,10,10,2392,2,4,514,0,0,0,0,0,0
202201,12,3,5,Florida,11878,11878,3301411,83,166,25599,20,77,9384,170,5412,818495,10806,10806,3005734,79,158,23894,19,74,8991,142,4877,764712
202201,13,3,5,Georgia,4023,4023,932681,26,52,9449,20,73,9482,70,1119,112645,2955,2955,711402,21,42,8434,17,64,8434,54,966,90266
202201,15,4,9,Hawaii,163,163,88881,14,28,3757,0,0,0,10,114,59909,163,163,88881,14,28,3757,0,0,0,10,114,59909
202201,16,4,8,Idaho,1044,1044,283748,8,16,2901,9,34,3733,11,170,17385,701,701,202914,5,10,1940,6,24,2213,0,0,0
202201,17,2,3,Illinois,532,532,160885,19,38,5019,25,86,12251,21,658,132696,377,377,123922,15,30,4258,24,83,11686,12,576,120982
202201,18,2,3,Indiana,1539,1539,443685,24,48,6695,1,3,433,36,711,114837,1266,1266,377435,13,26,4789,1,3,433,24,602,103984
202201,19,2,4,Iowa,401,401,112039,16,32,4918,3,12,2127,11,118,14533,299,299,87704,4,8,1577,2,8,1645,4,74,9324
202201,20,2,4,Kansas,441,441,155242,67,134,17743,2,6,431,10,580,76529,353,353,132576,64,128,16963,0,0,0,9,571,75690
202201,21,3,6,Kentucky,764,764,181134,25,50,5416,4,14,980,15,177,14668,439,439,111680,20,40,4333,2,8,315,9,72,4932
202201,22,3,7,Louisiana,1317,1317,308970,18,36,3394,2,6,733,7,148,21464,706,706,172188,3,6,430,0,0,0,1,11,3245
202201,23,1,1,Maine,290,290,78279,8,16,2690,1,4,367,8,127,25868,106,106,33779,5,10,1754,1,4,367,5,111,24481
202201,24,3,5,Maryland,892,892,226802,0,0,0,0,0,0,15,1170,130567,853,853,219644,0,0,0,0,0,0,12,989,98145
202201,25,1,1,Massachusetts,534,534,193621,18,36,8375,7,22,4315,55,581,114994,237,237,109566,12,24,5827,5,16,3375,8,226,69461
202201,26,2,3,Michigan,929,929,279111,16,32,5710,6,19,2649,26,371,36279,621,621,206113,10,20,4098,1,3,700,15,251,24311
