Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,       5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202205,01,3,6,Alabama,7858,7858,1990524,47,94,7069,14,53,4159,19,987,130117,5304,5304,1402119,44,88,5950,3,12,1179,2,356,40337
202205,02,4,9,Alaska,486,486,151727,11,22,3687,9,33,5529,11,116,19872,74,74,21896,10,20,3341,1,4,551,2,16,4797
202205,04,4,8,Arizona,21221,21221,5910843,528,1056,119630,29,107,17194,233,6405,963363,18107,18107,5057985,506,1012,114191,28,104,17034,198,5386,795506
202205,05,3,7,Arkansas,4480,4480,1145231,118,236,26854,76,267,24269,102,1795,180758,2984,2984,845349,67,134,15389,46,170,18147,58,1247,132135
202205,06,4,9,California,30084,30084,8894643,528,1056,221810,224,761,166893,828,18308,3259193,23186,23186,6977467,462,924,191531,198,678,148273,584,14723,2665985
202205,08,4,8,Colorado,12578,12578,4124768,212,424,85698,52,193,40424,360,10614,1714857,10344,10344,3323689,182,364,70326,37,141,29741,246,8881,1440218
202205,09,1,1,Connecticut,1127,1127,419264,61,122,11544,4,13,2545,51,613,61973,597,597,237237,47,94,8009,0,0,0,10,174,18493
202205,10,3,5,Delaware,2735,2735,362690,49,98,11966,0,0,0,2,23,1646,2206,2206,329313,49,98,11966,0,0,0,0,0,0
202205,11,3,5,District of Columbia,155,155,37677,15,30,3871,0,0,0,20,1577,198180,155,155,37677,15,30,3871,0,0,0,20,1577,198180
202205,12,3,5,Florida,63764,63764,18141996,547,1094,168557,149,543,96525,820,27570,4299196,55342,55342,15771845,350,700,111482,141,516,91742,710,25445,4067613
202205,13,3,5,Georgia,22476,22476,5369891,117,234,40162,93,344,38766,348,9300,1205755,16734,16734,4146906,77,154,30407,83,312,35129,261,8037,1009884
202205,15,4,9,Hawaii,865,865,415320,67,134,18191,0,0,0,21,603,195102,865,865,415320,67,134,18191,0,0,0,21,603,195102
202205,16,4,8,Idaho,6466,6466,1767046,46,92,17592,103,401,50095,163,2813,405036,5259,5259,1473798,37,74,14601,91,362,43237,128,2332,354412
202205,17,2,3,Illinois,4250,4250,1289371,86,172,28438,113,386,67928,119,3543,613234,3326,3326,1041840,69,138,24242,108,369,65202,77,3240,567770
202205,18,2,3,Indiana,8981,8981,2771255,132,264,40892,10,38,3355,138,3946,469029,7471,7471,2348158,116,232,37042,9,35,3055,97,2987,329382
202205,19,2,4,Iowa,3513,3513,1018877,92,184,37985,25,84,17796,50,1305,186734,2693,2693,806034,59,118,24341,21,72,16087,24,1112,167076
202205,20,2,4,Kansas,2534,2534,853757,278,556,75825,11,35,3622,38,1348,180672,1768,1768,576944,240,480,58520,5,17,1775,34,1220,164642
202205,21,3,6,Kentucky,4281,4281,1070181,104,208,26259,33,116,10966,76,993,87075,2658,2658,720996,82,164,21364,23,85,7528,45,390,29910
202205,22,3,7,Louisiana,6837,6837,1638703,118,236,31949,9,28,4122,31,511,72349,3003,3003,766585,43,86,7234,0,0,0,1,11,3245
202205,23,1,1,Maine,1868,1868,511823,41,82,14295,8,29,4310,46,1233,146187,644,644,212935,25,50,9001,5,19,3496,20,1039,127211
202205,24,3,5,Maryland,4913,4913,1299209,5,10,2010,1,3,859,91,4365,615507,4681,4681,1256484,1,2,1100,0,0,0,62,3220,432312
202205,25,1,1,Massachusetts,2723,2723,1113692,136,272,56350,55,177,36504,183,4798,1095951,1420,1420,704566,103,206,42017,46,148,31772,68,3607,921579
