Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202099,01,3,6,Alabama,17551,17551,4024112,57,114,13920,52,192,18764,128,2125,301896,15339,15339,3584223,41,82,8988,12,43,9353,103,1559,207465
202099,02,4,9,Alaska,1019,1019,310554,30,60,10477,24,86,14641,21,255,45684,286,286,83249,29,58,10171,14,50,8387,9,141,27661
202099,04,4,8,Arizona,42277,42277,11316498,520,1040,130229,91,311,44797,522,16714,2306834,40937,40937,10974318,492,984,123183,90,307,44547,470,14864,1998513
202099,05,3,7,Arkansas,8802,8802,1967409,366,732,87187,154,528,42061,178,2431,257089,7334,7334,1724841,329,658,82066,112,374,34184,138,2026,229646
202099,06,4,9,California,59043,59043,16507110,1070,2140,403077,482,1677,327938,1384,43215,8184995,51537,51537,14252828,993,1986,359230,430,1506,295715,1207,39928,7675593
202099,08,4,8,Colorado,26636,26636,8289036,364,728,112583,114,397,80111,334,12708,1784811,25467,25467,7837578,357,714,110126,101,354,72444,307,12298,1676082
202099,09,1,1,Connecticut,2512,2512,769006,86,172,24067,32,114,20538,120,2673,248145,2055,2055,638981,69,138,20887,31,110,20052,64,2207,190418
202099,10,3,5,Delaware,7101,7101,944269,155,310,33390,19,71,9294,77,973,112424,5963,5963,830741,155,310,33390,19,71,9294,68,927,108582
202099,11,3,5,District of Columbia,139,139,32491,47,94,11190,1,4,523,52,7133,842390,139,139,32491,47,94,11190,1,4,523,52,7133,842390
202099,12,3,5,Florida,115250,115250,30182836,1088,2176,314155,323,1231,199870,1354,45417,6187315,106891,106891,27975142,1063,2126,309005,319,1219,195283,1215,42377,5905788
202099,13,3,5,Georgia,47982,47982,10620135,241,482,66467,149,542,62424,342,6821,843545,42449,42449,9590359,234,468,65446,147,534,62069,329,6508,801841
202099,15,4,9,Hawaii,2171,2171,955776,15,30,7077,10,38,11898,24,925,195019,1882,1882,840389,15,30,7077,8,32,8000,13,528,119648
202099,16,4,8,Idaho,14969,14969,3471574,153,306,44097,174,674,85032,179,3181,347887,13992,13992,3264868,149,298,42542,171,664,84649,172,3039,331975
202099,17,2,3,Illinois,9237,9237,2502874,235,470,73711,162,555,97068,281,7796,972645,8025,8025,2215854,230,460,72390,158,542,94786,267,7673,957233
202099,18,2,3,Indiana,18979,18979,5209930,310,620,83895,51,191,25965,232,5129,552508,17520,17520,4900217,290,580,79128,50,187,25565,198,4489,494791
202099,19,2,4,Iowa,8633,8633,2228464,256,512,76562,47,175,23862,114,3303,372794,7916,7916,2072710,250,500,74754,45,167,22868,95,3096,354777
202099,20,2,4,Kansas,5975,5975,1709731,300,600,74147,49,181,30625,59,1455,176530,5519,5519,1621111,287,574,71653,47,173,30050,59,1455,176530
202099,21,3,6,Kentucky,8876,8876,1930009,160,320,33610,100,371,37514,92,1714,141439,7408,7408,1643786,143,286,30221,86,320,32234,63,916,64476
202099,22,3,7,Louisiana,15457,15457,3192636,251,502,64992,22,75,9886,53,1249,160260,12919,12919,2682281,172,344,50192,5,18,1364,37,965,108276
202099,23,1,1,Maine,4180,4180,1042442,99,198,30294,20,73,7058,47,853,114344,2564,2564,664288,81,162,24719,16,61,6058,33,735,103663
202099,24,3,5,Maryland,12993,12993,2992616,89,178,24504,7,23,3475,96,4788,832946,12739,12739,2938230,88,176,24260,6,20,2616,88,4674,817408
