Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8699,01,3,6,ALABAMA,11520,11520,526119,120,240,5978,138,534,12866,608,6886,141083,11201,11201,512053,120,240,5978,138,534,12866,594,6790,139189
8699,02,4,9,ALASKA,974,974,94742,63,126,8759,53,197,10476,7,56,3018,877,877,88383,59,118,8300,40,153,8745,6,51,2757
8699,04,4,8,ARIZONA,33642,33642,2326370,269,538,18534,339,1271,38682,1862,26163,698973,33414,33414,2312486,259,518,17697,326,1225,37414,1859,26135,698528
8699,05,3,7,ARKANSAS,5055,5055,290654,266,532,13696,169,636,16445,205,2496,55031,4842,4842,277879,258,516,13272,163,618,15442,194,2441,53247
8699,06,4,9,CALIFORNIA,145692,145692,13205531,3183,6366,418019,3952,14498,749866,11811,148085,6491767,142786,142786,12992380,3137,6274,414263,3890,14280,741845,11619,146353,6437042
8699,08,4,8,COLORADO,20409,20409,1314618,257,514,27139,150,584,22406,532,9454,262512,20212,20212,1302539,256,512,27095,150,584,22406,528,9434,261559
8699,09,1,1,CONNECTICUT,20494,20494,1428865,376,752,26741,216,790,34932,459,5694,186767,20221,20221,1410549,371,742,26517,215,787,34750,457,5684,186489
8699,10,3,5,DELAWARE,4210,4210,204388,12,24,1076,24,89,6017,85,1204,23530,4204,4204,204140,12,24,1076,24,89,6017,82,1189,23186
8699,11,3,5,DISTRICT OF COLUMBIA,142,142,8159,13,26,870,0,0,0,30,472,12427,142,142,8159,13,26,870,0,0,0,30,472,12427
8699,12,3,5,FLORIDA,110022,110022,6050190,2476,4952,175725,1821,6908,251543,5465,73643,2264834,109688,109688,6038422,2460,4920,174872,1790,6802,247703,5440,73433,2256184
8699,13,3,5,GEORGIA,50705,50705,3126359,1068,2136,61507,453,1701,49060,1707,22354,631278,49886,49886,3093049,1025,2050,59776,447,1680,48756,1696,22254,629568
8699,15,4,9,HAWAII,4488,4488,321869,73,146,8223,47,186,19465,152,2397,115771,3739,3739,283688,57,114,6764,46,183,19018,143,2349,108609
8699,16,4,8,IDAHO,2897,2897,189953,72,144,7156,55,206,6374,60,557,13902,2722,2722,179157,68,136,6688,53,200,5733,60,557,13902
8699,17,2,3,ILLINOIS,30635,30635,2539981,719,1438,59667,527,1992,76810,1135,17811,714350,29796,29796,2495402,698,1396,58390,506,1922,74954,1118,17672,711812
8699,18,2,3,INDIANA,17198,17198,1250619,487,974,40059,269,1036,33343,823,10478,254126,16726,16726,1228441,479,958,39812,267,1028,32903,809,10368,251743
8699,19,2,4,IOWA,3085,3085,199797,98,196,6765,45,174,5959,117,2017,55913,2943,2943,192216,98,196,6765,43,168,5773,112,1947,54166
8699,20,2,4,KANSAS,7309,7309,598223,488,976,45836,165,611,22187,267,4190,115678,7282,7282,596901,488,976,45836,162,602,22052,265,4170,115336
8699,21,3,6,KENTUCKY,8037,8037,496638,245,490,12664,150,561,12660,336,4415,119685,7677,7677,478489,234,468,12311,139,526,11863,312,4234,114633
8699,22,3,7,LOUISIANA,8594,8594,501465,201,402,11458,47,183,5321,106,1322,38544,8075,8075,474308,198,396,11278,43,167,4911,67,762,22783
8699,23,1,1,MAINE,6801,6801,408570,144,288,11260,133,479,18023,197,1986,67278,5717,5717,364404,139,278,10675,113,412,15591,167,1768,57359
