Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
200799,01,3,6,Alabama,18946,18946,2749536,40,80,5904,32,122,11040,414,6697,433425,15467,15467,2236708,38,76,5689,29,111,10690,346,5556,366177
200799,02,4,9,Alaska,984,984,227174,104,208,38792,44,169,23896,27,345,38926,713,713,179861,98,196,37424,43,166,23653,27,345,38926
200799,04,4,8,Arizona,37666,37666,7019402,130,260,27686,347,1147,133536,661,10569,1031964,36943,36943,6896472,126,252,27058,343,1131,132456,652,10524,1028802
200799,05,3,7,Arkansas,7990,7990,1200143,275,550,45412,90,344,25839,166,2147,165265,7331,7331,1099752,217,434,32485,88,338,25511,139,1822,147640
200799,06,4,9,California,68266,68266,15896152,1080,2160,255015,820,2842,313908,1851,36805,4870233,65711,65711,15322975,1050,2100,249288,751,2612,294154,1697,35236,4734185
200799,08,4,8,Colorado,20516,20516,5034639,224,448,95467,117,411,71792,342,8079,928912,18985,18985,4636563,215,430,89163,96,347,57313,293,7624,854469
200799,09,1,1,Connecticut,5348,5348,1439599,125,250,22963,35,128,13278,115,2020,260100,4880,4880,1369117,122,244,22454,34,125,13052,66,1395,225416
200799,10,3,5,Delaware,4403,4403,562187,39,78,8337,41,156,19204,59,654,46164,4283,4283,552885,39,78,8337,41,156,19204,47,573,44667
200799,11,3,5,District of Columbia,576,576,79380,7,14,1294,6,23,1200,12,1297,134962,570,570,78411,6,12,1105,5,20,862,10,1170,116994
200799,12,3,5,Florida,70030,70030,13972439,674,1348,150870,365,1302,176043,1456,29871,3699432,65060,65060,13221328,650,1300,146167,347,1240,168869,1300,27803,3500330
200799,13,3,5,Georgia,55210,55210,8846015,246,492,39408,257,914,85633,628,16549,1467513,50904,50904,8265650,204,408,34119,203,738,76598,560,15855,1419200
200799,15,4,9,Hawaii,4482,4482,1313039,19,38,4448,40,157,19085,95,2295,387747,3838,3838,1136146,19,38,4448,39,154,18225,87,1796,324244
200799,16,4,8,Idaho,9551,9551,1835853,191,382,41820,263,1033,80618,75,1139,152399,9006,9006,1758472,161,322,37537,255,1007,78493,68,1039,126728
200799,17,2,3,Illinois,24511,24511,5260539,456,912,92970,455,1490,134111,650,16107,1448437,22537,22537,4941083,423,846,86977,446,1461,132684,574,15251,1385013
200799,18,2,3,Indiana,19232,19232,3507797,416,832,87309,118,428,34452,213,3349,263167,18325,18325,3391610,392,784,82472,101,375,32645,191,3181,254390
200799,19,2,4,Iowa,8674,8674,1519112,148,296,31693,80,292,24908,116,1909,170623,8324,8324,1468457,143,286,30518,80,292,24908,113,1889,168850
200799,20,2,4,Kansas,8137,8137,1505693,224,448,44452,122,462,25188,143,2426,165678,7882,7882,1465141,205,410,41041,119,453,24271,139,2396,163940
200799,21,3,6,Kentucky,11553,11553,1753605,187,374,25911,128,483,34039,228,2528,170716,10471,10471,1633559,162,324,22800,108,419,31124,182,2239,158599
200799,22,3,7,Louisiana,16640,16640,2552420,428,856,64949,60,223,19349,265,5660,516807,14907,14907,2322746,413,826,63147,47,184,15850,221,5236,492621
200799,23,1,1,Maine,5053,5053,863113,62,124,11750,29,100,9706,51,596,49847,3644,3644,685251,41,82,9008,11,41,4850,25,431,36411
200799,24,3,5,Maryland,13232,13232,3147201,37,74,6736,13,45,6284,187,5231,608604,12694,12694,3063345,37,74,6736,13,45,6284,183,5160,599763
