Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8999,01,3,6,Alabama,8500,8500,505875,65,130,3638,130,502,12006,244,2910,73706,7849,7849,475088,63,126,3538,121,471,11461,234,2841,72372
8999,02,4,9,Alaska,446,446,49520,25,50,4642,34,117,8543,3,24,1500,345,345,41283,5,10,723,0,0,0,3,24,1500
8999,04,4,8,Arizona,20206,20206,1790603,118,236,10639,87,310,10514,255,3068,127625,20111,20111,1784495,116,232,10406,86,307,10437,255,3068,127625
8999,05,3,7,Arkansas,4559,4559,273883,153,306,9132,93,339,8978,103,1135,25565,4240,4240,255364,147,294,8742,83,306,8234,96,1100,24869
8999,06,4,9,California,162981,162981,19883557,2074,4148,329319,2176,7838,543747,5462,62727,3857225,160335,160335,19586850,2030,4060,321899,2108,7607,526697,5384,62027,3823032
8999,08,4,8,Colorado,9026,9026,949238,104,208,14545,48,177,19090,143,1720,74325,8818,8818,932491,100,200,13987,42,157,17008,137,1638,66011
8999,09,1,1,Connecticut,8012,8012,770421,253,506,21749,53,177,6976,175,3274,103193,7914,7914,759065,250,500,21625,52,174,6918,175,3274,103193
8999,10,3,5,Delaware,4639,4639,296554,19,38,1383,24,96,4364,95,990,28509,4637,4637,296194,19,38,1383,24,96,4364,95,990,28509
8999,11,3,5,District of Columbia,91,91,6745,10,20,721,0,0,0,15,299,9511,91,91,6745,10,20,721,0,0,0,15,299,9511
8999,12,3,5,Florida,107049,107049,7965635,1662,3324,155690,1145,4359,191234,3344,50253,2121613,105685,105685,7893361,1658,3316,155457,1143,4353,191079,3325,50154,2117013
8999,13,3,5,Georgia,35145,35145,2570145,489,978,32487,139,521,15963,1047,13813,432864,34030,34030,2516158,474,948,31557,127,478,14672,1017,13509,424629
8999,15,4,9,Hawaii,6176,6176,574872,132,264,24945,49,196,16781,228,2919,272126,6176,6176,574872,132,264,24945,49,196,16781,228,2919,272126
8999,16,4,8,Idaho,3582,3582,308143,48,96,4030,52,203,6075,92,895,24246,3485,3485,302517,47,94,3936,52,203,6075,90,885,23938
8999,17,2,3,Illinois,30205,30205,3212645,648,1296,65451,408,1544,92993,579,9332,409964,28834,28834,3116222,614,1228,62748,392,1494,91705,550,9101,404418
8999,18,2,3,Indiana,18981,18981,1723805,538,1076,49125,157,577,21703,387,5839,177612,18202,18202,1670705,482,964,45268,152,562,21283,354,5535,168875
8999,19,2,4,Iowa,4911,4911,387080,120,240,12780,104,408,17216,125,1833,59786,4814,4814,381626,120,240,12780,104,408,17216,125,1833,59786
8999,20,2,4,Kansas,6832,6832,637849,209,418,17833,71,246,9224,101,1131,33059,6811,6811,636721,209,418,17833,70,242,9164,101,1131,33059
8999,21,3,6,Kentucky,8875,8875,684553,179,358,10206,123,460,12647,260,2963,71977,8274,8274,655259,162,324,9259,101,390,10839,221,2694,65975
8999,22,3,7,Louisiana,5196,5196,349099,56,112,2814,20,75,1963,34,733,20993,4520,4520,306395,53,106,2258,16,63,1374,6,513,15611
8999,23,1,1,Maine,5233,5233,379911,85,170,7292,48,178,6473,70,801,34202,4086,4086,316843,79,158,6776,40,153,5547,54,701,30078
8999,24,3,5,Maryland,29748,29748,2314498,158,316,30065,21,82,6173,579,10439,352852,29266,29266,2276008,158,316,30065,21,82,6173,556,10258,347369
