Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8499,01,3,6,ALABAMA,8224,8224,324300,114,228,5676,422,1665,28884,461,5191,109037,7941,7941,310954,112,224,5386,421,1661,28801,449,5106,107798
8499,02,4,9,ALASKA,3649,3649,325590,242,484,31793,260,1004,54826,128,1349,72038,3492,3492,314994,227,454,29814,225,867,49249,127,1331,71377
8499,04,4,8,ARIZONA,30685,30685,1860071,542,1084,31712,825,3130,95142,3103,44340,1150755,30155,30155,1831862,538,1076,31392,820,3112,94547,3061,44012,1141323
8499,05,3,7,ARKANSAS,4535,4535,226780,371,742,18191,257,1005,25703,309,3445,83729,4303,4303,213633,369,738,18073,245,945,23715,297,3385,82544
8499,06,4,9,CALIFORNIA,112920,112920,8771698,3248,6496,372709,3636,13434,606466,8214,91839,3585408,111864,111864,8682427,3214,6428,369344,3615,13343,603684,8144,91390,3568211
8499,08,4,8,COLORADO,23359,23359,1346445,428,856,38296,441,1716,60211,1372,18398,535067,21148,21148,1143997,421,842,37786,429,1650,56632,1356,18304,532393
8499,09,1,1,CONNECTICUT,13292,13292,788150,260,520,15612,128,468,19011,228,3498,133617,12975,12975,767828,256,512,15373,128,468,19011,224,3459,132578
8499,10,3,5,DELAWARE,2756,2756,129505,23,46,1816,57,216,9990,135,1346,36841,2743,2743,128978,23,46,1816,57,216,9990,133,1336,36731
8499,11,3,5,DISTRICT OF COLUMBIA,88,88,8680,15,30,768,1,4,600,12,271,20823,88,88,8680,15,30,768,1,4,600,12,271,20823
8499,12,3,5,FLORIDA,103072,103072,4991204,4237,8474,253694,3199,12164,381815,6464,81174,2552737,99642,99642,4854062,4132,8264,248574,3057,11603,364959,6354,79789,2493197
8499,13,3,5,GEORGIA,43560,43560,2200231,1461,2922,79608,707,2728,64281,1810,21054,552656,42766,42766,2169188,1370,2740,74584,699,2676,63647,1785,20896,549643
8499,15,4,9,HAWAII,4121,4121,262388,72,144,8435,27,93,5599,64,1043,47966,4121,4121,262388,72,144,8435,27,93,5599,64,1043,47966
8499,16,4,8,IDAHO,3370,3370,195760,84,168,6568,75,292,9342,50,478,13377,3091,3091,182583,82,164,6433,74,286,9288,49,473,13356
8499,17,2,3,ILLINOIS,19556,19556,1375953,599,1198,40560,370,1420,46371,672,7986,253878,18946,18946,1341588,576,1152,38891,367,1397,45914,655,7861,252035
8499,18,2,3,INDIANA,11012,11012,680907,388,776,31337,207,796,31318,523,6320,161720,10735,10735,667760,370,740,29541,206,787,31203,503,6123,158451
8499,19,2,4,IOWA,3948,3948,212585,105,210,7784,72,266,9898,150,2576,65047,3770,3770,204662,105,210,7784,71,262,9750,148,2566,64975
8499,20,2,4,KANSAS,7098,7098,479866,649,1298,54235,289,1100,31488,557,7231,150865,7010,7010,474081,632,1264,52878,274,1047,29905,552,7183,150082
8499,21,3,6,KENTUCKY,6198,6198,334448,226,452,11437,191,746,16553,520,5647,120314,5741,5741,313618,216,432,10915,180,701,15599,485,5423,116130
8499,22,3,7,LOUISIANA,14985,14985,766927,379,758,20960,638,2505,66314,657,9825,244906,13806,13806,717648,358,716,19418,627,2446,65048,552,8489,216577
8499,23,1,1,MAINE,4347,4347,201002,66,132,5575,95,376,14114,167,1715,55386,3444,3444,164310,62,124,5345,90,330,13150,149,1619,53491
