Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,       5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202604,44,1,1,Rhode Island,211,211,84779,49,98,12680,10,33,2925,11,465,66171,152,152,61379,48,96,12130,9,29,2425,9,455,65722
202604,45,3,5,South Carolina,13953,13953,4454045,39,78,10859,18,59,8004,75,2471,352559,10691,10691,3545441,14,28,4342,6,19,4275,21,1032,185827
202604,46,2,4,South Dakota,942,942,306091,17,34,8381,12,45,6828,39,500,77965,799,799,261036,11,22,6035,9,36,5409,34,457,73400
202604,47,3,6,Tennessee,10608,10608,3162164,97,194,32042,36,122,17834,147,3384,508274,8179,8179,2580451,67,134,24817,25,89,14230,111,2767,413518
202604,48,3,7,Texas,48328,48328,13611507,903,1806,276030,164,606,67042,431,14978,2400845,38230,38230,10828130,771,1542,239668,111,422,40671,350,13629,2218019
202604,49,4,8,Utah,5368,5368,1951160,19,38,8125,50,183,38285,131,2519,463234,4774,4774,1734351,14,28,6152,48,177,37028,115,2343,434995
202604,50,1,1,Vermont,349,349,120568,13,26,4973,5,15,1919,7,97,117150,151,151,55959,3,6,1226,0,0,0,2,72,114955
202604,51,3,5,Virginia,6672,6672,1872989,65,130,17578,15,50,13206,110,6471,1035529,5698,5698,1566412,61,122,16043,13,44,11918,91,6172,1001349
202604,53,4,9,Washington,5720,5720,2123138,230,460,118174,65,245,54304,205,6297,868470,4222,4222,1543086,204,408,109073,61,232,51993,157,5471,761997
202604,54,3,5,West Virginia,1216,1216,304598,7,14,1887,2,8,1600,9,178,25432,884,884,233702,5,10,1690,2,8,1600,4,79,7400
202604,55,2,3,Wisconsin,3768,3768,1606322,165,330,68713,3,12,2955,135,3355,841801,2454,2454,1091857,85,170,37416,3,12,2955,83,2726,743019
202604,56,4,8,Wyoming,480,480,219982,2,4,820,10,36,4468,3,58,11106,276,276,94175,2,4,820,9,33,4280,3,58,11106
202604,US,0,0,United States,299642,299642,95002891,5451,10902,1990951,1520,5322,892492,5189,150028,24519596,232622,232622,74826457,4194,8388,1467241,1106,3992,692457,3398,123701,20445375
202604,R1,1,0,Northeast Region,16808,16808,5884862,680,1360,231890,300,981,155615,939,23150,4052850,9457,9457,3418042,459,918,166802,209,694,120191,402,16986,3171294
202604,R2,2,0,Midwest Region,37986,37986,13766407,1062,2124,360871,365,1274,201947,1063,25272,4293130,27943,27943,10475596,738,1476,250798,285,1015,158873,680,21076,3578531
202604,R3,3,0,South Region,181507,181507,53964317,2202,4404,814635,466,1660,243290,1963,64193,9986620,142485,142485,42930286,1736,3472,556575,305,1134,171223,1422,53426,8441866
202604,R4,4,0,West Region,63341,63341,21387305,1507,3014,583555,389,1407,291640,1224,37413,6186996,52737,52737,18002533,1261,2522,493066,307,1149,242170,894,32213,5253684
202604,D1,1,1,New England Division,4528,4528,1956956,227,454,91265,85,278,58085,220,3705,748725,2179,2179,1039973,148,296,57942,53,178,42761,97,2785,607092
202604,D2,1,2,Middle Atlantic Division,12280,12280,3927906,453,906,140625,215,703,97530,719,19445,3304125,7278,7278,2378069,311,622,108859,156,516,77430,305,14201,2564202
202604,D3,2,3,East North Central Division,23148,23148,8582737,490,980,174340,211,724,114595,664,16071,2856192,16802,16802,6479931,325,650,117366,172,598,93895,425,13199,2323828
202604,D4,2,4,West North Central Division,14838,14838,5183670,572,1144,186531,154,550,87352,399,9201,1436938,11141,11141,3995665,413,826,133432,113,417,64978,255,7877,1254703
202604,D5,3,5,South Atlantic Division,99157,99157,30799925,778,1556,401610,179,642,122238,1113,40684,6209169,81036,81036,25165861,670,1340,235258,137,505,100935,822,33971,5277280
202604,D6,3,6,East South Central Division,22707,22707,6440764,231,462,66685,80,275,39373,331,6226,974196,16679,16679,5023683,146,292,42816,52,189,27279,214,4321,630569
202604,D7,3,7,West South Central Division,59643,59643,16723628,1193,2386,346340,207,743,81679,519,17283,2803255,44770,44770,12740742,920,1840,278501,116,440,43009,386,15134,2534017
202604,D8,4,8,Mountain Division,34184,34184,11476560,378,756,142024,174,640,118110,489,13311,2307934,30035,30035,10119129,333,666,125627,145,545,102551,374,11644,2054513
202604,D9,4,9,Pacific Division,29157,29157,9910745,1129,2258,441531,215,767,173530,735,24102,3879062,22702,22702,7883404,928,1856,367440,162,604,139619,520,20569,3199171
