Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8599,41,4,9,OREGON,6407,6407,452602,89,178,7329,103,399,13407,343,4313,116428,6264,6264,445448,87,174,7203,103,399,13407,333,4261,115556
8599,42,1,2,PENNSYLVANIA,34617,34617,1885409,730,1460,43229,324,1215,42115,525,6274,212860,31615,31615,1750752,709,1418,41960,296,1128,39692,419,5400,182624
8599,44,1,1,RHODE ISLAND,3990,3990,203211,139,278,8034,51,193,8232,110,947,21285,3603,3603,182917,139,278,8034,51,193,8232,94,819,20043
8599,45,3,5,SOUTH CAROLINA,18738,18738,952273,685,1370,44036,297,1098,35424,919,11609,328163,17522,17522,893475,671,1342,43195,290,1076,34462,891,11399,322561
8599,46,2,4,SOUTH DAKOTA,1432,1432,63111,28,56,1998,35,135,2518,53,921,23080,1401,1401,61493,28,56,1998,33,129,2368,53,921,23080
8599,47,3,6,TENNESSEE,17310,17310,951472,1183,2366,86350,233,887,23927,1329,17563,453058,16858,16858,928075,1172,2344,85909,219,842,23043,1288,17255,446235
8599,48,3,7,TEXAS,69322,69322,4922702,2677,5354,197564,970,3758,120079,3251,64680,1479562,67961,67961,4822394,2654,5308,196110,946,3674,117853,3196,64247,1470305
8599,49,4,8,UTAH,9789,9789,558593,128,256,10636,169,649,23273,429,5831,148698,9524,9524,541982,121,242,10163,164,633,22983,414,5670,145588
8599,50,1,1,VERMONT,2859,2859,170252,80,160,7207,53,199,6708,99,943,33709,2233,2233,140178,64,128,6068,37,142,5821,91,883,31165
8599,51,3,5,VIRGINIA,46826,46826,2494450,449,898,29042,175,677,17264,1245,15719,418783,45907,45907,2446475,445,890,28797,167,652,16783,1201,15205,402160
8599,53,4,9,WASHINGTON,17040,17040,1210188,519,1038,45057,551,2111,75254,1361,15285,463175,16691,16691,1190685,504,1008,44270,537,2066,73912,1319,14939,451680
8599,54,3,5,WEST VIRGINIA,1111,1111,49640,17,34,1058,23,85,1324,28,247,6282,936,936,43921,17,34,1058,13,50,720,18,196,5436
8599,55,2,3,WISCONSIN,10913,10913,632290,608,1216,45749,229,888,32091,495,7134,207124,10177,10177,598057,582,1164,44434,205,807,29891,457,6721,197483
8599,56,4,8,WYOMING,800,800,44198,13,26,894,20,79,1337,26,262,5584,734,734,41305,13,26,894,20,79,1337,20,232,4933
8599,US, , ,United States ,956595,956595,59492732,27012,54024,2105295,17683,66052,2493792,48081,656595,20812430,922999,922999,57685779,26355,52710,2063933,17042,63868,2432036,46646,643714,20445162
8599,R1,1, ,Northeast ,173502,173502,10544729,5611,11222,429861,2179,7707,295773,4249,67281,2979461,159469,159469,9811318,5388,10776,415699,1993,7090,280903,3831,63850,2872219
8599,R2,2, ,Midwest ,128564,128564,8572065,4065,8130,331206,2898,11031,387652,6413,89267,2613916,123841,123841,8304994,3943,7886,323307,2775,10628,376222,6155,86365,2538567
8599,R3,3, ,South ,428853,428853,23543864,12061,24122,787124,6709,25358,877016,19645,274300,7213659,419169,419169,23053545,11843,23686,775746,6505,24651,857691,19166,270123,7103337
8599,R4,4, ,West,225676,225676,16832074,5275,10550,557104,5897,21956,933351,17774,225747,8005394,220520,220520,16515922,5181,10362,549181,5769,21499,917220,17494,223376,7931039
8599,D1,1,1,New England ,65377,65377,4143480,2055,4110,153206,941,3430,133929,2004,26275,932585,57572,57572,3731165,1927,3854,145388,850,3129,125605,1775,24536,881949
8599,D2,1,2,Middle Atlantic ,108125,108125,6401249,3556,7112,276655,1238,4277,161844,2245,41006,2046876,101897,101897,6080153,3461,6922,270311,1143,3961,155298,2056,39314,1990270
8599,D3,2,3,East North Central,84054,84054,5700538,2405,4810,199120,1757,6696,247110,4403,56942,1661449,80348,80348,5491676,2321,4642,193814,1687,6469,239827,4180,54426,1600172
8599,D4,2,4,West North Central,44510,44510,2871527,1660,3320,132086,1141,4335,140542,2010,32325,952467,43493,43493,2813318,1622,3244,129493,1088,4159,136395,1975,31939,938395
8599,D5,3,5,South Atlantic,296701,296701,15350055,6912,13824,428493,4386,16506,614264,12866,165227,4688272,291470,291470,15103648,6769,13538,421490,4293,16183,603914,12641,163280,4626928
8599,D6,3,6,East South Central,39450,39450,1987638,1692,3384,114672,762,2926,76009,2648,32130,748435,37506,37506,1902380,1665,3330,113476,707,2736,72300,2522,31020,725917
8599,D7,3,7,West South Central,92702,92702,6206171,3457,6914,243959,1561,5926,186743,4131,76943,1776952,90193,90193,6047517,3409,6818,240780,1505,5732,181477,4003,75823,1750492
8599,D8,4,8,Mountain,81784,81784,4997519,1241,2482,91919,1291,4876,164053,4616,65329,1693837,79008,79008,4838732,1203,2406,88977,1260,4769,160501,4494,64369,1671766
8599,D9,4,9,Pacific ,143892,143892,11834555,4034,8068,465185,4606,17080,769298,13158,160418,6311557,141512,141512,11677190,3978,7956,460204,4509,16730,756719,13000,159007,6259273

