Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8399,01,3,6,ALABAMA,8551,8551,311466,125,250,6776,235,919,17271,583,7606,145605,8336,8336,301348,124,248,6737,235,919,17271,568,7505,143828
8399,02,4,9,ALASKA,4568,4568,426544,334,668,38138,548,2136,105514,294,3876,160899,4248,4248,405269,242,484,29631,486,1892,97107,287,3788,157572
8399,04,4,8,ARIZONA,30807,30807,1549844,550,1100,27708,755,2824,70157,2058,29233,669501,30722,30722,1546942,542,1084,27358,755,2824,70157,2058,29233,669501
8399,05,3,7,ARKANSAS,4208,4208,201623,388,776,18044,227,882,21831,317,4123,86245,4034,4034,190659,386,772,18023,223,867,21491,309,4017,83034
8399,06,4,9,CALIFORNIA,102311,102311,7403104,2487,4974,261948,2663,9684,426079,4974,54920,2164921,102354,102354,7400247,2486,4972,262110,2647,9625,423731,4982,55497,2188090
8399,08,4,8,COLORADO,29968,29968,1528298,442,884,45051,456,1722,59494,1587,18716,492754,27997,27997,1372080,439,878,44896,426,1613,56969,1574,18622,489014
8399,09,1,1,CONNECTICUT,11661,11661,625979,164,328,11297,84,300,12202,243,3383,94187,11577,11577,620678,164,328,11297,84,300,12202,243,3383,94187
8399,10,3,5,DELAWARE,2530,2530,105301,39,78,1942,47,181,7420,82,838,29471,2517,2517,104760,39,78,1942,47,181,7420,78,809,28690
8399,11,3,5,DISTRICT OF COLUMBIA,54,54,5847,1,2,30,0,0,0,7,108,3605,54,54,5847,1,2,30,0,0,0,7,108,3605
8399,12,3,5,FLORIDA,100020,100020,4463263,4406,8812,253141,3691,14050,406679,5574,66104,2266190,95801,95801,4316070,4255,8510,246855,3614,13761,400817,5437,64095,2191123
8399,13,3,5,GEORGIA,40522,40522,1797470,1296,2592,64210,647,2345,47581,1822,20451,458184,40051,40051,1782239,1280,2560,63617,646,2342,47531,1783,20197,451905
8399,15,4,9,HAWAII,3277,3277,196316,71,142,12974,26,96,10140,52,1245,72056,3277,3277,196316,71,142,12974,26,96,10140,52,1245,72056
8399,16,4,8,IDAHO,3359,3359,177120,55,110,4697,66,246,7167,39,510,11819,3217,3217,170501,55,110,4697,66,246,7167,39,510,11819
8399,17,2,3,ILLINOIS,17654,17654,1165497,568,1136,41379,310,1208,40289,566,9838,363088,17183,17183,1139482,543,1086,40215,296,1162,38767,549,9611,355650
8399,18,2,3,INDIANA,10125,10125,577875,254,508,17763,210,780,23918,494,4614,140728,9873,9873,568394,254,508,17763,209,777,23910,492,4585,139729
8399,19,2,4,IOWA,3938,3938,204909,155,310,12064,108,416,14833,157,2335,53020,3825,3825,200257,153,306,11945,108,416,14833,157,2335,53020
8399,20,2,4,KANSAS,7562,7562,480755,899,1798,69986,339,1315,36517,283,3493,76345,7538,7538,479055,899,1798,69986,339,1315,36517,283,3493,76345
8399,21,3,6,KENTUCKY,6000,6000,293332,236,472,11860,200,780,19334,416,4423,97290,5720,5720,282126,231,462,11634,190,742,18374,397,4269,93251
8399,22,3,7,LOUISIANA,17649,17649,753432,458,916,22615,864,3329,83374,916,11953,259499,15239,15239,625484,455,910,22545,598,2290,56925,793,10778,234706
8399,23,1,1,MAINE,3224,3224,140741,31,62,2067,51,192,7004,67,684,19676,2605,2605,118521,26,52,1850,49,185,6886,61,638,18761
