Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,       5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202208,01,3,6,Alabama,12030,12030,3074069,79,158,16218,36,138,14333,69,2558,396812,6894,6894,1953222,74,148,14440,17,66,9056,38,1855,294782
202208,02,4,9,Alaska,766,766,236215,17,34,6273,10,38,6331,17,184,30184,133,133,39452,13,26,4936,1,4,551,2,16,4797
202208,04,4,8,Arizona,29975,29975,8407086,662,1324,148782,70,248,54532,423,12863,2208399,25218,25218,7028016,632,1264,141671,68,242,54147,366,11124,1922600
202208,05,3,7,Arkansas,7211,7211,1896145,228,456,58555,134,469,51467,138,2707,244972,5045,5045,1482427,157,314,46844,86,313,42568,82,2112,204389
202208,06,4,9,California,48042,48042,13936726,877,1754,368607,349,1198,255265,1414,32306,5681079,38301,38301,11241307,784,1568,323339,310,1077,231784,1022,27056,4858134
202208,08,4,8,Colorado,18713,18713,6463655,249,498,110097,91,326,84790,520,17205,2915794,15231,15231,5267277,223,446,100318,79,289,75939,425,15695,2350025
202208,09,1,1,Connecticut,1717,1717,683128,74,148,15199,6,20,2192,91,1560,221777,949,949,337325,63,126,12189,3,10,1013,24,1015,171086
202208,10,3,5,Delaware,4238,4238,612705,78,156,21374,0,0,0,4,64,7135,3486,3486,521854,78,156,21374,0,0,0,1,24,3062
202208,11,3,5,District of Columbia,200,200,49207,25,50,6475,1,4,601,40,4026,510638,200,200,49207,25,50,6475,1,4,601,40,4026,510638
202208,12,3,5,Florida,99402,99402,28827999,887,1774,279906,329,1172,176735,1707,48174,6607666,71852,71852,21543293,526,1052,161403,291,1031,142285,1429,41897,5810178
202208,13,3,5,Georgia,34418,34418,8353578,211,422,64567,154,573,73479,618,17703,2254604,24323,24323,6059113,150,300,51572,135,512,66377,460,15415,1890736
202208,15,4,9,Hawaii,1412,1412,674986,82,164,22489,0,0,0,33,757,226490,899,899,497404,32,64,9690,0,0,0,2,14,41000
202208,16,4,8,Idaho,9741,9741,2817429,85,170,32305,166,646,83735,251,4435,699773,7648,7648,2200520,60,120,22971,142,562,68380,201,3707,625266
202208,17,2,3,Illinois,6964,6964,2155258,124,248,43072,182,603,111344,222,5222,885359,5459,5459,1745750,94,188,34812,170,565,105359,158,4781,817203
202208,18,2,3,Indiana,13833,13833,4395988,195,390,61155,16,61,6264,198,5358,645949,10786,10786,3631183,142,284,47378,14,55,5581,129,3990,489120
202208,19,2,4,Iowa,5603,5603,1651001,137,274,56293,57,198,40701,102,2558,402092,4203,4203,1277075,90,180,37849,49,174,36515,50,2221,365553
202208,20,2,4,Kansas,4103,4103,1388783,371,742,97582,30,104,15206,59,2025,284232,2923,2923,984255,302,604,71968,18,67,10501,44,1618,221066
202208,21,3,6,Kentucky,6464,6464,1648259,168,336,40945,49,174,16297,163,2310,241054,3783,3783,1030133,116,232,28035,30,111,9215,97,836,78335
202208,22,3,7,Louisiana,10235,10235,2505632,214,428,52736,16,52,8105,73,1456,191330,5216,5216,1334873,86,172,16511,0,0,0,14,252,31942
202208,23,1,1,Maine,3301,3301,913739,72,144,24603,14,52,6983,69,1620,209326,957,957,323566,39,78,14084,9,35,5619,22,913,149793
202208,24,3,5,Maryland,7044,7044,1945634,40,80,13402,10,36,5428,126,7498,1054512,6613,6613,1823971,34,68,12282,10,36,5428,112,7417,1040125
