Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,       5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202304,01,3,6,Alabama,4750,4750,1243519,48,96,20094,31,106,18717,43,1518,283299,3163,3163,854455,35,70,16121,14,52,12732,28,1153,228325
202304,02,4,9,Alaska,162,162,57620,3,6,1150,1,4,690,5,79,14761,49,49,16310,3,6,1150,0,0,0,3,61,12031
202304,04,4,8,Arizona,9156,9156,2736501,241,482,61180,26,101,22161,232,7707,1171365,7777,7777,2318047,222,444,55953,25,98,21923,204,6896,1037217
202304,05,3,7,Arkansas,2511,2511,633731,183,366,60657,42,136,12085,44,568,83602,1546,1546,420417,156,312,55664,19,60,7906,9,155,20197
202304,06,4,9,California,15953,15953,4677469,337,674,145148,133,457,113893,813,15242,2275385,12528,12528,3791512,295,590,126247,116,403,106053,640,12859,1922448
202304,08,4,8,Colorado,5837,5837,2115101,90,180,38092,46,168,36724,281,7803,1226451,5104,5104,1834581,74,148,30432,39,146,29723,199,6634,1050080
202304,09,1,1,Connecticut,597,597,261398,20,40,8838,6,21,3682,39,1357,162056,356,356,166839,13,26,5591,5,18,3352,10,898,117938
202304,10,3,5,Delaware,1627,1627,239238,18,36,8170,0,0,0,4,63,7875,1581,1581,227508,18,36,8170,0,0,0,4,63,7875
202304,11,3,5,District of Columbia,62,62,16266,10,20,2672,1,4,601,13,1366,176404,62,62,16266,10,20,2672,1,4,601,13,1366,176404
202304,12,3,5,Florida,37189,37189,11436440,579,1158,191391,117,447,70687,795,26690,4256943,29126,29126,9130382,464,928,157038,84,325,46335,633,23255,3762489
202304,13,3,5,Georgia,13774,13774,3514839,89,178,26691,61,213,23000,228,7133,1018807,10314,10314,2722737,75,150,23326,54,191,20461,169,6299,912592
202304,15,4,9,Hawaii,747,747,386801,23,46,5243,0,0,0,8,227,68879,561,561,317941,13,26,1522,0,0,0,0,0,0
202304,16,4,8,Idaho,3087,3087,876001,40,80,14018,60,231,26846,51,1175,185400,2417,2417,689041,23,46,9269,43,171,19136,39,1035,173124
202304,17,2,3,Illinois,2450,2450,820801,45,90,17520,62,207,40862,121,2506,469835,1924,1924,667714,32,64,13806,52,174,37269,91,2346,442835
202304,18,2,3,Indiana,4850,4850,1629028,54,108,19766,16,49,9500,90,2608,453893,4006,4006,1407368,40,80,15965,16,49,9500,71,2266,412476
202304,19,2,4,Iowa,1953,1953,623421,46,92,21370,29,104,21517,39,803,124718,1534,1534,509771,29,58,13966,22,83,17393,24,718,114852
202304,20,2,4,Kansas,1385,1385,488628,143,286,33214,13,44,7067,11,154,19199,942,942,338463,87,174,21286,11,37,6376,10,149,18689
202304,21,3,6,Kentucky,2436,2436,640900,83,166,21484,38,140,16418,166,2562,311297,1746,1746,494728,62,124,17384,30,115,13274,140,2070,264059
202304,22,3,7,Louisiana,3498,3498,868530,87,174,18768,6,19,3233,36,1149,160021,1805,1805,448391,18,36,3983,1,3,298,15,559,82977
202304,23,1,1,Maine,1174,1174,343368,25,50,8252,6,20,2656,20,328,37063,339,339,128059,16,32,6125,3,11,1346,10,270,31820
202304,24,3,5,Maryland,3388,3388,845727,9,18,2387,2,8,1051,60,2569,283641,3292,3292,825616,3,6,1157,2,8,1051,50,2503,269262
202304,25,1,1,Massachusetts,1550,1550,662741,91,182,35284,38,127,27928,159,2463,557044,647,647,325783,62,124,20995,33,112,24530,65,1623,449809
