Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,       5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202207,01,3,6,Alabama,10751,10751,2733568,49,98,7471,22,84,6937,31,1432,212914,6427,6427,1626986,40,80,4511,4,16,1844,7,606,97945
202207,02,4,9,Alaska,663,663,206059,14,28,5120,9,34,5640,15,164,27151,102,102,28211,10,20,3625,2,7,987,2,16,4797
202207,04,4,8,Arizona,27146,27146,7599576,603,1206,133645,64,229,52066,359,11226,1944213,23016,23016,6387023,576,1152,127099,63,226,51906,309,9704,1693152
202207,05,3,7,Arkansas,6383,6383,1678558,194,388,51519,114,404,38762,129,2247,224155,4421,4421,1312332,132,264,41517,72,269,31255,80,1729,188765
202207,06,4,9,California,42092,42092,12275542,728,1456,305527,310,1058,234214,1220,27281,4775286,30912,30912,9091148,645,1290,269197,259,901,200598,877,23043,4095717
202207,08,4,8,Colorado,16853,16853,5757735,232,464,98086,79,283,76068,470,15110,2569847,13098,13098,4550346,211,422,90384,57,212,63580,318,9310,1780723
202207,09,1,1,Connecticut,1519,1519,604363,67,134,12774,7,24,3511,83,1398,198854,852,852,348447,55,110,9711,4,14,1463,36,1041,171014
202207,10,3,5,Delaware,3684,3684,532312,65,130,16603,0,0,0,3,51,6205,2971,2971,441872,65,130,16603,0,0,0,0,0,0
202207,11,3,5,District of Columbia,186,186,45620,22,44,5694,0,0,0,31,2495,315304,186,186,45620,22,44,5694,0,0,0,31,2495,315304
202207,12,3,5,Florida,87581,87581,25150760,807,1614,253528,285,1018,144154,1539,42544,5912574,69370,69370,20045474,436,872,134452,252,902,114855,1295,37519,5338748
202207,13,3,5,Georgia,30110,30110,7282331,187,374,58155,132,489,57513,489,13270,1735954,21888,21888,5444493,137,274,46818,122,458,53742,362,11331,1440984
202207,15,4,9,Hawaii,1227,1227,576669,79,158,20977,0,0,0,32,720,217514,1227,1227,576669,79,158,20977,0,0,0,32,720,217514
202207,16,4,8,Idaho,8643,8643,2468945,66,132,25361,139,541,71269,236,4093,632861,7001,7001,1997287,43,86,16328,124,490,59915,189,3383,541098
202207,17,2,3,Illinois,6101,6101,1875207,108,216,36855,156,522,96393,188,4435,748163,4680,4680,1496053,78,156,28177,143,477,89588,132,4006,681469
202207,18,2,3,Indiana,12393,12393,3924533,175,350,53035,12,47,4881,174,4469,521400,9643,9643,3199485,140,280,43816,12,47,4881,102,3161,351727
202207,19,2,4,Iowa,4928,4928,1446290,124,248,50780,48,163,33754,75,2026,326158,3727,3727,1129872,76,152,32805,40,139,29972,31,1751,296133
202207,20,2,4,Kansas,3556,3556,1194487,338,676,87760,29,100,14583,55,1944,275259,2724,2724,955337,310,620,82089,24,84,13163,49,1651,235846
202207,21,3,6,Kentucky,5727,5727,1449363,144,288,35669,42,149,13637,113,1721,180577,3452,3452,951780,112,224,28394,28,104,8270,66,773,90201
202207,22,3,7,Louisiana,9191,9191,2223342,174,348,43680,14,45,6865,68,1313,171562,4486,4486,1125395,62,124,10864,0,0,0,26,519,61981
202207,23,1,1,Maine,2815,2815,777516,58,116,20044,10,36,5010,65,1581,200988,807,807,264486,35,70,12333,7,27,4313,32,1143,175032
202207,24,3,5,Maryland,6442,6442,1737889,38,76,12742,4,13,2188,111,6619,997210,5893,5893,1578589,32,64,11412,4,13,2188,92,5926,861264
