Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202199,42,1,2,Pennsylvania,18764,18764,4886551,559,1118,178021,419,1422,186177,663,26590,4060382,15862,15862,4225461,546,1092,174515,404,1374,177434,596,24728,3850931
202199,43,0,0,Puerto Rico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202199,44,1,1,Rhode Island,1033,1033,287267,74,148,21258,22,85,9011,9,126,10959,852,852,237640,66,132,19593,22,85,9011,9,126,10959
202199,45,3,5,South Carolina,43264,43264,10770285,208,416,47718,12,42,8136,272,6958,826123,36753,36753,9049740,208,416,47718,11,39,7836,182,5432,689450
202199,46,2,4,South Dakota,4324,4324,1126573,72,144,25550,74,274,35918,172,3175,377439,3982,3982,1041732,72,144,25550,63,238,35918,172,3175,377439
202199,47,3,6,Tennessee,36986,36986,9597497,148,296,31252,137,512,68143,630,19690,1780659,33068,33068,8771880,104,208,24931,127,480,65992,590,19015,1717573
202199,48,3,7,Texas,179620,179620,42406772,2175,4350,472054,569,2133,241551,2151,79852,9198847,166262,166262,39504488,2108,4216,457980,553,2083,234894,2085,78854,9108451
202199,49,4,8,Utah,24423,24423,7045024,240,480,69418,251,879,153678,573,13276,1919906,22832,22832,6638458,218,436,65904,201,717,121039,490,9577,1416623
202199,50,1,1,Vermont,1361,1361,385777,66,132,22894,5,20,1484,55,806,89570,975,975,285659,57,114,20955,4,16,1292,23,489,58423
202199,51,3,5,Virginia,25118,25118,6210452,251,502,54626,45,156,22161,309,13612,1462963,22974,22974,5706075,241,482,51232,41,143,19897,268,12359,1324821
202199,52,0,0,Virgin Islands,93,93,22896,34,68,13764,2,7,1291,0,0,0,93,93,22896,34,68,13764,2,7,1291,0,0,0
202199,53,4,9,Washington,25076,25076,7541508,767,1534,313042,421,1486,274008,744,28845,4372770,22762,22762,6949008,750,1500,308463,414,1464,270874,683,27923,4254000
202199,54,3,5,West Virginia,3112,3112,701534,42,84,11341,5,18,1765,21,478,63364,2946,2946,682033,42,84,11341,5,18,1765,19,464,61635
202199,55,2,3,Wisconsin,13199,13199,4368305,725,1450,292842,27,103,20503,418,10692,1303981,12301,12301,4137546,717,1434,289039,27,103,20503,404,10613,1298584
202199,56,4,8,Wyoming,2158,2158,989013,48,96,18960,44,165,13186,24,287,36967,1981,1981,936260,38,76,12727,39,150,12604,23,282,35927
202199,US,0,0,United States,1115360,1115360,295965122,15880,31760,4877360,5898,21093,3264994,19126,568769,75928711,1023816,1023816,274882032,15066,30132,4653663,5455,19615,3076017,16966,530611,71461987
202199,R1,1,0,Northeast Region,65006,65006,18729922,2360,4720,766728,1003,3412,463275,3340,91622,12086696,55698,55698,16505880,2213,4426,725401,935,3193,435619,2572,81799,11048544
202199,R2,2,0,Midwest Region,142917,142917,42525853,3129,6258,1066289,1054,3771,602556,2676,74654,9366661,132299,132299,40135191,3081,6162,1054278,987,3544,583309,2533,72397,9141504
202199,R3,3,0,South Region,655212,655212,161693454,6132,12264,1470653,1704,6289,836230,7340,243768,29675030,600893,600893,149977512,5730,11460,1391897,1562,5814,790995,6714,231585,28469855
202199,R4,4,0,West Region,252225,252225,73015893,4259,8518,1573690,2137,7621,1362933,5770,158725,24800324,234926,234926,68263449,4042,8084,1482087,1971,7064,1266094,5147,144830,22802084
202199,D1,1,1,New England Division,21230,21230,7001902,751,1502,283019,210,727,123729,887,16178,2440599,16827,16827,5890113,674,1348,259066,185,648,113616,365,11420,1980702
202199,D2,1,2,Middle Atlantic Division,43776,43776,11728020,1609,3218,483709,793,2685,339546,2453,75444,9646097,38871,38871,10615767,1539,3078,466335,750,2545,322003,2207,70379,9067842
202199,D3,2,3,East North Central Division,83627,83627,25362042,1729,3458,626878,570,2001,327898,1599,38026,4548482,76619,76619,23809112,1693,3386,617761,528,1861,314254,1495,36358,4383416
202199,D4,2,4,West North Central Division,59290,59290,17163811,1400,2800,439411,484,1770,274658,1077,36628,4818179,55680,55680,16326079,1388,2776,436517,459,1683,269055,1038,36039,4758088
202199,D5,3,5,South Atlantic Division,362441,362441,91826508,2812,5624,749743,656,2430,391936,3810,130592,17274350,335494,335494,85811011,2760,5520,737623,644,2390,387148,3457,123089,16538015
202199,D6,3,6,East South Central Division,72336,72336,17852414,354,708,88580,272,1000,114338,1126,28369,2692388,63004,63004,15957850,282,564,76898,236,877,102351,1015,26482,2522314
202199,D7,3,7,West South Central Division,220435,220435,52014532,2966,5932,632330,776,2859,329956,2404,84807,9708292,202395,202395,48208651,2688,5376,577376,682,2547,301496,2242,82014,9409526
202199,D8,4,8,Mountain Division,144471,144471,41521432,2008,4016,630450,1144,4138,649034,2857,71160,9788059,134177,134177,38787664,1866,3732,588605,1016,3708,575117,2452,60793,8306896
202199,D9,4,9,Pacific Division,107754,107754,31494461,2251,4502,943240,993,3483,713899,2913,87565,15012265,100749,100749,29475785,2176,4352,893482,955,3356,690977,2695,84037,14495188
