Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep       ,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
201699,01,3,6,Alabama,11692,11692,2341744,53,106,14961,64,232,25627,181,2971,340624,10985,10985,2214543,53,106,14961,62,225,25408,180,2962,340404
201699,02,4,9,Alaska,1035,1035,301850,38,76,11849,26,88,12004,30,304,43339,303,303,73597,37,74,11617,14,51,5581,12,130,15831
201699,04,4,8,Arizona,24853,24853,6645128,233,484,53061,42,168,28932,290,10073,1317403,24288,24288,6462750,227,472,51780,42,168,28932,287,9963,1303783
201699,05,3,7,Arkansas,6816,6816,1362332,269,538,53086,61,214,11452,138,1906,136012,5955,5955,1230841,232,464,48431,54,190,10416,110,1651,121678
201699,06,4,9,California,50311,50311,15201727,799,1598,293218,461,1591,299666,1544,48850,8250579,47610,47610,14484140,775,1550,279836,430,1485,285157,1401,46714,7963542
201699,08,4,8,Colorado,21577,21577,6675789,278,556,112393,68,242,39617,543,16599,2101098,20465,20465,6310714,254,508,101546,56,203,31554,523,16445,2076197
201699,09,1,1,Connecticut,2461,2461,796928,64,128,17698,21,73,8308,122,2842,374002,2205,2205,705670,62,124,17274,21,73,8308,85,2564,354307
201699,10,3,5,Delaware,4687,4687,618631,94,188,19886,23,83,11115,56,846,71914,4647,4647,614921,94,188,19886,23,83,11115,41,750,70378
201699,11,3,5,District of Columbia,336,336,76260,13,26,2808,2,8,987,35,4320,430463,336,336,76260,13,26,2808,2,8,987,35,4320,430463
201699,12,3,5,Florida,75148,75148,20334523,503,1006,140001,345,1309,220473,1236,38777,5168505,72571,72571,19584100,498,996,138220,335,1276,214814,1175,37931,5114359
201699,13,3,5,Georgia,36481,36481,7684460,61,122,11874,65,241,30106,309,14831,1654237,34195,34195,7240889,53,106,10654,57,214,26771,294,14521,1623127
201699,15,4,9,Hawaii,2044,2044,820110,52,104,40257,11,43,22845,50,1178,382921,2044,2044,820110,52,104,40257,11,43,22845,50,1178,382921
201699,16,4,8,Idaho,9739,9739,2140004,69,138,16630,95,379,30956,114,1909,179964,9484,9484,2064184,69,138,16630,94,375,30654,113,1898,178548
201699,17,2,3,Illinois,10187,10187,2719891,175,350,55844,208,712,126962,347,11354,1485781,9341,9341,2515905,167,334,53110,204,698,125850,315,11045,1460170
201699,18,2,3,Indiana,14068,14068,3417822,286,572,64063,46,163,21320,219,3910,372642,13217,13217,3257575,265,530,57788,46,163,21320,166,3373,300385
201699,19,2,4,Iowa,8203,8203,1933857,192,384,45100,45,158,18936,178,5572,662860,7883,7883,1875533,160,320,35681,35,121,14196,167,5482,652450
201699,20,2,4,Kansas,5230,5230,1336026,215,430,38557,32,109,11065,190,4038,384304,4316,4316,1127542,100,200,19503,27,93,9471,151,3514,347336
201699,21,3,6,Kentucky,7264,7264,1368419,146,292,20137,81,295,20040,299,4863,318417,6563,6563,1266416,114,228,15178,76,275,19540,260,4433,291375
201699,22,3,7,Louisiana,12518,12518,2561013,177,354,30679,46,164,16939,84,1467,158019,11182,11182,2297860,168,336,28435,34,123,12223,72,1330,141338
201699,23,1,1,Maine,3265,3265,698508,63,126,15444,27,105,14605,42,514,48387,2607,2607,567200,57,114,13717,27,105,14605,42,514,48387
201699,24,3,5,Maryland,11059,11059,2353850,85,170,18108,10,36,5398,177,5779,789489,10962,10962,2332180,85,170,18108,10,36,5398,177,5779,789489
