Survey,FIPS,Region,Division,State,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,State,Code,Code,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8799,01,3,6,Alabama,10649,10649,559019,69,138,3796,75,291,6435,346,3445,79232,10375,10375,548362,69,138,3796,74,288,6395,335,3378,77697
8799,02,4,9,Alaska,401,401,41975,28,56,4599,36,127,9474,3,147,7281,351,351,38486,27,54,4476,29,105,8530,2,142,7000
8799,04,4,8,Arizona,27680,27680,2275712,112,224,9268,185,665,30706,817,11612,459035,27437,27437,2264242,108,216,9143,182,654,30418,817,11612,459035
8799,05,3,7,Arkansas,5042,5042,287111,144,288,7148,77,278,6467,98,868,18995,4718,4718,268215,129,258,6433,65,237,5754,87,813,17288
8799,06,4,9,California,134691,134691,13711376,2462,4924,313536,3252,11822,658573,8152,100387,4876494,131515,131515,13473691,2418,4836,308479,3202,11652,651946,7985,98958,4829175
8799,08,4,8,Colorado,12903,12903,1051628,157,314,21848,91,341,17128,233,4430,144279,12785,12785,1043119,157,314,21848,91,341,17128,229,4410,143283
8799,09,1,1,Connecticut,18081,18081,1477491,417,834,31528,135,512,20710,591,7323,276457,17812,17812,1458639,411,822,31280,134,509,20605,591,7323,276457
8799,10,3,5,Delaware,4986,4986,253776,35,70,2364,1,4,185,113,1998,62395,4951,4951,252155,35,70,2364,1,4,185,108,1973,61804
8799,11,3,5,District of Columbia,286,286,17790,5,10,344,4,16,538,9,886,24361,286,286,17790,5,10,344,4,16,538,9,886,24361
8799,12,3,5,Florida,113130,113130,6951404,2472,4944,180214,1507,5782,237182,4042,54908,1841685,112293,112293,6887339,2439,4878,177123,1475,5669,232080,3999,54544,1829019
8799,13,3,5,Georgia,46415,46415,3215840,674,1348,41907,270,1007,27614,1200,15447,437246,45604,45604,3169408,648,1296,41019,251,936,26091,1179,15242,430974
8799,15,4,9,Hawaii,5348,5348,403789,81,162,10244,16,60,3872,103,1339,52088,4346,4346,347436,64,128,8719,13,50,2840,95,1293,47700
8799,16,4,8,Idaho,2570,2570,182850,30,60,3364,47,174,6002,53,381,8787,2407,2407,172394,29,58,3292,44,164,5087,53,381,8787
8799,17,2,3,Illinois,32972,32972,3091275,559,1118,58258,577,2218,94080,890,14139,562892,32105,32105,3035686,526,1052,56141,495,1898,86900,879,14047,561102
8799,18,2,3,Indiana,18889,18889,1488165,559,1118,49709,235,876,35999,510,6390,182052,18160,18160,1453819,518,1036,46970,235,876,35999,483,6172,177768
8799,19,2,4,Iowa,3815,3815,261467,56,112,4869,54,206,7988,105,1645,39382,3729,3729,257165,56,112,4869,54,206,7988,105,1645,39382
8799,20,2,4,Kansas,7839,7839,682269,410,820,42394,127,452,17444,224,2671,60295,7710,7710,661865,403,806,41761,110,396,15746,217,2581,57795
8799,21,3,6,Kentucky,9027,9027,638346,185,370,10820,103,374,9658,248,3452,81216,8331,8331,605497,163,326,9848,78,290,7605,206,3171,73884
8799,22,3,7,Louisiana,7070,7070,414320,83,166,5382,41,157,5215,96,1127,24658,6463,6463,381525,70,140,4148,38,145,4920,81,899,18334
8799,23,1,1,Maine,7228,7228,485767,119,238,9815,84,308,10613,175,2026,77556,5809,5809,423563,111,222,9279,75,278,10135,150,1672,65352
8799,24,3,5,Maryland,33642,33642,2206862,73,146,4045,120,476,9424,473,6866,264407,33074,33074,2170094,70,140,3843,120,476,9424,462,6758,260225
