Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,09,137000,013,    ,278,25540, ,06238      ,1,1,12,,Coventry town,58,58,8840961,0,0,0,0,0,0,0,0,0,58,58,8840961,0,0,0,0,0,0,0,0,0
2003,09,141000,007,    ,278,25540, ,06416      ,1,1,12,,Cromwell town,70,70,11956336,0,0,0,0,0,0,0,0,0,70,70,11956336,0,0,0,0,0,0,0,0,0
2003,09,145000,001,0530,408,14860,1,06810      ,1,1,12,,Danbury,199,199,20501456,0,0,0,0,0,0,1,7,800000,199,199,20501456,0,0,0,0,0,0,1,7,800000
2003,09,157000,001,    ,408,14860, ,06820      ,1,1,12,,Darien town,30,30,29061000,0,0,0,0,0,0,24,192,12600000,30,30,29061000,0,0,0,0,0,0,24,192,12600000
2003,09,161000,007,    ,278,25540, ,06417      ,1,1,12,,Deep River town,7,7,1790080,0,0,0,0,0,0,0,0,0,7,7,1790080,0,0,0,0,0,0,0,0,0
2003,09,165000,009,0590,408,35300, ,06418      ,1,1,12,,Derby,15,15,1569750,0,0,0,0,0,0,0,0,0,15,15,1569750,0,0,0,0,0,0,0,0,0
2003,09,169000,007,    ,278,25540, ,06422      ,1,1,6,,Durham town,46,46,7500333,0,0,0,0,0,0,0,0,0,17,17,3055000,0,0,0,0,0,0,0,0,0
2003,09,173000,003,    ,278,25540, ,06026      ,1,1,12,,East Granby town,22,22,4186899,1,2,300000,0,0,0,0,0,0,22,22,4186899,1,2,300000,0,0,0,0,0,0
2003,09,177000,007,    ,278,25540, ,06423      ,1,1,12,,East Haddam town,62,62,11582730,0,0,0,0,0,0,0,0,0,62,62,11582730,0,0,0,0,0,0,0,0,0
2003,09,181000,007,    ,278,25540, ,06424      ,1,1,12,,East Hampton town,144,144,14806205,0,0,0,0,0,0,0,0,0,144,144,14806205,0,0,0,0,0,0,0,0,0
2003,09,185000,003,    ,278,25540, ,06108      ,1,1,12,,East Hartford town,5,5,465692,0,0,0,0,0,0,0,0,0,5,5,465692,0,0,0,0,0,0,0,0,0
2003,09,189000,009,    ,408,35300, ,06512      ,1,1,12,,East Haven town,46,46,5490759,0,0,0,0,0,0,3,18,634752,46,46,5490759,0,0,0,0,0,0,3,18,634752
2003,09,193000,011,    ,999,35980, ,06357      ,1,1,12,,East Lyme town,76,76,17911685,0,0,0,0,0,0,0,0,0,76,76,17911685,0,0,0,0,0,0,0,0,0
2003,09,197000,003,    ,278,25540, ,06016      ,1,1,12,,East Windsor town,53,53,7132953,0,0,0,0,0,0,0,0,0,53,53,7132953,0,0,0,0,0,0,0,0,0
2003,09,201000,015,    ,999,99999, ,06242      ,1,1,12,,Eastford town,19,19,1610084,0,0,0,0,0,0,0,0,0,19,19,1610084,0,0,0,0,0,0,0,0,0
2003,09,205000,001,    ,408,14860, ,06612      ,1,1,12,,Easton town,6,6,2345923,0,0,0,0,0,0,0,0,0,6,6,2345923,0,0,0,0,0,0,0,0,0
2003,09,209000,013,    ,278,25540, ,06029      ,1,1,12,,Ellington town,122,122,20888006,0,0,0,0,0,0,0,0,0,122,122,20888006,0,0,0,0,0,0,0,0,0
2003,09,213000,003,    ,278,25540, ,06082      ,1,1,12,,Enfield town,50,50,5863850,0,0,0,0,0,0,0,0,0,50,50,5863850,0,0,0,0,0,0,0,0,0
2003,09,217000,007,    ,278,25540, ,06426      ,1,1,12,,Essex town,27,27,6752716,0,0,0,0,0,0,0,0,0,27,27,6752716,0,0,0,0,0,0,0,0,0
2003,09,221000,001,    ,408,14860, ,06430      ,1,1,12,,Fairfield town,72,72,19841765,1,2,225000,6,21,1940000,0,0,0,72,72,19841765,1,2,225000,6,21,1940000,0,0,0
2003,09,225000,003,    ,278,25540, ,06032      ,1,1,12,,Farmington town,69,69,10924022,13,26,1534000,0,0,0,4,20,2424000,69,69,10924022,13,26,1534000,0,0,0,4,20,2424000
2003,09,229000,007,0800,278,25540, ,06475      ,1,1,12,,Fenwick borough,1,1,1600000,0,0,0,0,0,0,0,0,0,1,1,1600000,0,0,0,0,0,0,0,0,0
2003,09,233000,011,    ,999,35980, ,06254      ,1,1,12,,Franklin town,11,11,1709000,0,0,0,0,0,0,0,0,0,11,11,1709000,0,0,0,0,0,0,0,0,0
2003,09,237000,003,    ,278,25540, ,06033      ,1,1,12,,Glastonbury town,74,74,15196843,0,0,0,0,0,0,0,0,0,74,74,15196843,0,0,0,0,0,0,0,0,0
2003,09,241000,005,    ,999,99999, ,06756      ,1,1,0,,Goshen town,44,44,7194658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,09,245000,003,    ,278,25540, ,06035      ,1,1,6,,Granby town,60,60,9288361,0,0,0,0,0,0,0,0,0,24,24,4135820,0,0,0,0,0,0,0,0,0
2003,09,249000,001,    ,408,14860, ,06830      ,1,1,6,,Greenwich town,132,132,87588636,4,8,1460000,0,0,0,0,0,0,58,58,40679730,0,0,0,0,0,0,0,0,0
2003,09,253000,011,    ,999,35980, ,06351      ,1,1,12,,Griswold town,55,55,6740150,0,0,0,0,0,0,0,0,0,55,55,6740150,0,0,0,0,0,0,0,0,0
2003,09,257000,011,0900,999,35980, ,06340      ,1,1,12,,Groton,10,10,1086835,0,0,0,0,0,0,0,0,0,10,10,1086835,0,0,0,0,0,0,0,0,0
2003,09,261000,011,0912,999,35980, ,06340      ,1,1,12,,Groton Long Point borough,6,6,2269000,0,0,0,0,0,0,0,0,0,6,6,2269000,0,0,0,0,0,0,0,0,0
2003,09,265000,011,    ,999,35980, ,06340      ,1,1,12,,Groton town,63,63,7102673,2,4,98500,0,0,0,5,77,3856237,63,63,7102673,2,4,98500,0,0,0,5,77,3856237
2003,09,269000,009,    ,408,35300, ,06437      ,1,1,12,,Guilford town,82,82,24005325,0,0,0,0,0,0,0,0,0,82,82,24005325,0,0,0,0,0,0,0,0,0
2003,09,273000,007,    ,278,25540, ,06438      ,1,1,12,,Haddam town,51,51,5472887,0,0,0,0,0,0,0,0,0,51,51,5472887,0,0,0,0,0,0,0,0,0
2003,09,277000,009,    ,408,35300, ,06518      ,1,1,12,,Hamden town,27,27,4678570,0,0,0,0,0,0,0,0,0,27,27,4678570,0,0,0,0,0,0,0,0,0
2003,09,281000,015,    ,999,99999, ,06247      ,1,1,0,,Hampton town,20,20,2061977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,09,285000,003,0970,278,25540,1,06103      ,1,1,11,,Hartford,87,87,7207083,32,64,3003300,2,8,924392,5,176,11942639,84,84,6955929,31,62,2918300,2,8,924392,5,176,11942639
