Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,09,133000,005,    ,9999,9999, ,06069      ,1,1,12,,Cornwall town,10,10,1443617,0,0,0,0,0,0,0,0,0,10,10,1443617,0,0,0,0,0,0,0,0,0
2002,09,137000,013,    ,3280,9999, ,06238      ,1,1,12,,Coventry town,52,52,6708608,0,0,0,0,0,0,0,0,0,52,52,6708608,0,0,0,0,0,0,0,0,0
2002,09,141000,007,    ,3280,9999, ,06416      ,1,1,12,,Cromwell town,50,50,7783703,0,0,0,0,0,0,0,0,0,50,50,7783703,0,0,0,0,0,0,0,0,0
2002,09,145000,001,0530,5602,1930,1,06810      ,1,1,12,,Danbury,256,256,37187346,1,2,166256,1,3,229573,0,0,0,256,256,37187346,1,2,166256,1,3,229573,0,0,0
2002,09,157000,001,    ,5602,8040, ,06820      ,1,1,12,,Darien town,32,32,34392000,0,0,0,0,0,0,0,0,0,32,32,34392000,0,0,0,0,0,0,0,0,0
2002,09,161000,007,    ,9999,9999, ,06417      ,1,1,12,,Deep River town,10,10,2209559,0,0,0,0,0,0,0,0,0,10,10,2209559,0,0,0,0,0,0,0,0,0
2002,09,165000,009,0590,5602,1160, ,06418      ,1,1,12,,Derby,17,17,2022390,0,0,0,0,0,0,0,0,0,17,17,2022390,0,0,0,0,0,0,0,0,0
2002,09,169000,007,    ,3280,9999, ,06422      ,1,1,12,,Durham town,55,55,8430805,0,0,0,0,0,0,0,0,0,55,55,8430805,0,0,0,0,0,0,0,0,0
2002,09,173000,003,    ,3280,9999, ,06026      ,1,1,11,,East Granby town,30,30,4468608,0,0,0,0,0,0,0,0,0,27,27,4068334,0,0,0,0,0,0,0,0,0
2002,09,177000,007,    ,3280,9999, ,06423      ,1,1,12,,East Haddam town,61,61,9550460,0,0,0,0,0,0,0,0,0,61,61,9550460,0,0,0,0,0,0,0,0,0
