Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2018,09,121000,011,    ,00000 ,15910 ,16068 ,278,35980, , ,06415      ,1,1,7,Colchester town,19,19,3895200,6,12,1752000,0,0,0,0,0,0,9,9,1929280,0,0,0,0,0,0,0,0,0
2018,09,125000,005,    ,00000 ,16050 ,1485 ,999,99999, , ,06021      ,1,1,12,Colebrook town,1,1,180000,0,0,0,0,0,0,0,0,0,1,1,180000,0,0,0,0,0,0,0,0,0
2018,09,129000,013,    ,00000 ,16400 ,5485 ,278,25540, , ,06237      ,1,1,12,Columbia town,4,4,905000,0,0,0,0,0,0,0,0,0,4,4,905000,0,0,0,0,0,0,0,0,0
2018,09,133000,005,    ,00000 ,17240 ,1420 ,999,99999, , ,06754      ,1,1,12,Cornwall town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,09,137000,013,    ,00000 ,17800 ,12435 ,278,25540, , ,062383615  ,1,1,12,Coventry town,16,16,3047962,0,0,0,0,0,0,0,0,0,16,16,3047962,0,0,0,0,0,0,0,0,0
2018,09,141000,007,    ,00000 ,18080 ,14005 ,278,25540, , ,06416      ,1,1,12,Cromwell town,9,9,2521000,0,0,0,0,0,0,0,0,0,9,9,2521000,0,0,0,0,0,0,0,0,0
2018,09,145000,001,0230,18430 ,18500 ,80893 ,408,14860,2,1,06810      ,1,1,12,Danbury,80,80,21323424,1,2,332000,1,3,372923,2,41,5848353,80,80,21323424,1,2,332000,1,3,372923,2,41,5848353
2018,09,157000,001,    ,00000 ,18850 ,20732 ,408,14860, , ,06820      ,1,1,11,Darien town,24,24,39668914,0,0,0,0,0,0,0,0,0,21,21,35925000,0,0,0,0,0,0,0,0,0
2018,09,161000,007,    ,00000 ,19130 ,4629 ,278,25540, , ,06417      ,1,1,12,Deep River town,2,2,462000,0,0,0,0,0,0,0,0,0,2,2,462000,0,0,0,0,0,0,0,0,0
2018,09,165000,009,0270,19480 ,19550 ,12902 ,408,35300,2, ,06418      ,1,1,0,Derby,5,5,530200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,09,169000,007,    ,00000 ,20810 ,7388 ,278,25540, , ,06422      ,1,1,11,Durham town,3,3,785500,0,0,0,0,0,0,0,0,0,2,2,518000,0,0,0,0,0,0,0,0,0
2018,09,173000,003,    ,00000 ,22070 ,5148 ,278,25540, , ,06026      ,1,1,12,East Granby town,3,3,892000,0,0,0,0,0,0,0,0,0,3,3,892000,0,0,0,0,0,0,0,0,0
2018,09,177000,007,    ,00000 ,22280 ,9126 ,278,25540, , ,064690000  ,1,1,12,East Haddam town,30,30,4605622,0,0,0,0,0,0,0,0,0,30,30,4605622,0,0,0,0,0,0,0,0,0
2018,09,181000,007,    ,00000 ,22490 ,12959 ,278,25540, , ,064241002  ,1,1,12,East Hampton town,15,15,2587000,0,0,0,0,0,0,0,0,0,15,15,2587000,0,0,0,0,0,0,0,0,0
