Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
1999,17,001000,095,0005,9999,9999, ,61410      ,2,3,12,,Abingdon,2,2,249000,0,0,0,0,0,0,0,0,0,2,2,249000,0,0,0,0,0,0,0,0,0
1999,17,001900,099,    ,9999,9999, ,60531      ,2,3,12,,Adams township,2,2,80000,0,0,0,0,0,0,0,0,0,2,2,80000,0,0,0,0,0,0,0,0,0
1999,17,002800,043,0015,1602,1600, ,60101      ,2,3,12,,Addison village,35,35,8316374,0,0,0,0,0,0,0,0,0,35,35,8316374,0,0,0,0,0,0,0,0,0
1999,17,004900,195,0025,9999,9999, ,61230      ,2,3,12,,Albany village,1,1,135500,0,0,0,0,0,0,0,0,0,1,1,135500,0,0,0,0,0,0,0,0,0
1999,17,005200,027,0030,7040,9999, ,62215      ,2,3,12,,Albers village,19,19,2006000,0,0,0,0,0,0,0,0,0,19,19,2006000,0,0,0,0,0,0,0,0,0
1999,17,006100,131,0040,9999,9999, ,61231      ,2,3,12,,Aledo,7,7,610000,0,0,0,0,0,0,0,0,0,7,7,610000,0,0,0,0,0,0,0,0,0
1999,17,007000,187,0045,9999,9999, ,61412      ,2,3,12,,Alexis village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,007900,111,0050,1602,1600, ,60102      ,2,3,12,,Algonquin village,384,384,58041498,7,14,1858150,5,20,1747165,2,116,4063200,384,384,58041498,7,14,1858150,5,20,1747165,2,116,4063200
1999,17,008500,119,0055,7040,9999, ,62001      ,2,3,11,,Alhambra village,1,1,95000,2,4,210000,0,0,0,0,0,0,1,1,95000,2,4,210000,0,0,0,0,0,0
1999,17,009400,185,0060,9999,9999, ,62410      ,2,3,12,,Allendale village,2,2,90000,0,0,0,0,0,0,0,0,0,2,2,90000,0,0,0,0,0,0,0,0,0
1999,17,009700,139,0065,9999,9999, ,61951      ,2,3,0,,Allenville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,010300,183,0070,9999,9999, ,61810      ,2,3,12,,Allerton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,012100,073,0085,1960,9999, ,61413      ,2,3,12,,Alpha village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,012700,031,0095,1602,1600, ,60658      ,2,3,12,,Alsip village,30,30,2241000,0,0,0,4,16,1420000,1,10,533000,30,30,2241000,0,0,0,4,16,1420000,1,10,533000
1999,17,013000,049,0100,9999,9999, ,62411      ,2,3,12,,Altamont,6,6,418600,0,0,0,0,0,0,1,8,308500,6,6,418600,0,0,0,0,0,0,1,8,308500
1999,17,013900,119,0115,7040,9999,1,62002      ,2,3,12,,Alton,12,12,1357000,0,0,0,0,0,0,1,18,900000,12,12,1357000,0,0,0,0,0,0,1,18,900000
1999,17,015100,103,0130,9999,9999, ,61310      ,2,3,12,,Amboy,11,11,1076000,0,0,0,0,0,0,1,6,250000,11,11,1076000,0,0,0,0,0,0,1,6,250000
1999,17,016300,113,0133,1040,9999, ,61720      ,2,3,12,,Anchor village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,016900,161,0135,1960,9999, ,61232      ,2,3,0,,Andalusia village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,017800,073,0145,1960,9999, ,61233      ,2,3,12,,Andover village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,018100,181,0150,9999,9999, ,62906      ,2,3,12,,Anna,4,4,590000,0,0,0,0,0,0,0,0,0,4,4,590000,0,0,0,0,0,0,0,0,0
1999,17,018400,073,0155,1960,9999, ,61234      ,2,3,12,,Annawan town,1,1,71000,0,0,0,0,0,0,0,0,0,1,1,71000,0,0,0,0,0,0,0,0,0
1999,17,019300,097,0160,1602,1600, ,60002      ,2,3,12,,Antioch village,149,149,17396843,0,0,0,0,0,0,0,0,0,149,149,17396843,0,0,0,0,0,0,0,0,0
1999,17,020500,041,0170,9999,9999, ,61910      ,2,3,12,,Arcola,8,8,1052799,0,0,0,0,0,0,0,0,0,8,8,1052799,0,0,0,0,0,0,0,0,0
1999,17,021700,115,0180,2040,9999, ,62501      ,2,3,0,,Argenta village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,022300,031,0190,1602,1600, ,60005      ,2,3,12,,Arlington Heights village,56,56,17106400,2,4,700000,5,19,1948453,8,136,5244303,56,56,17106400,2,4,700000,5,19,1948453,8,136,5244303
1999,17,022900,179,0195,6120,9999, ,61721      ,2,3,12,,Armington village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,023200,091,0200,1602,3740, ,60910      ,2,3,12,,Aroma Park village,1,1,160000,0,0,0,0,0,0,0,0,0,1,1,160000,0,0,0,0,0,0,0,0,0
1999,17,024400,113,0205,1040,9999, ,617720101  ,2,3,12,,Arrowsmith village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,025000,041,0210,9999,9999, ,619110139  ,2,3,12,,Arthur village,3,3,371000,0,0,0,0,0,0,0,0,0,3,3,371000,0,0,0,0,0,0,0,0,0
1999,17,026800,075,0215,9999,9999, ,60911      ,2,3,12,,Ashkum village,1,1,150000,0,0,0,0,0,0,0,0,0,1,1,150000,0,0,0,0,0,0,0,0,0
1999,17,027400,017,0220,9999,9999, ,62612      ,2,3,12,,Ashland village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,027700,189,0225,9999,9999, ,62808      ,2,3,12,,Ashley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,028600,029,0230,9999,9999, ,61912      ,2,3,12,,Ashmore village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,17,029200,103,0235,9999,9999, ,61006      ,2,3,0,,Ashton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
