Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2002,17,027400,017,0220,9999,9999, ,62612      ,2,3,12,,Ashland village,4,4,465370,0,0,0,0,0,0,0,0,0,4,4,465370,0,0,0,0,0,0,0,0,0
2002,17,027700,189,0225,9999,9999, ,62808      ,2,3,12,,Ashley,3,3,350000,0,0,0,0,0,0,0,0,0,3,3,350000,0,0,0,0,0,0,0,0,0
2002,17,028600,029,0230,9999,9999, ,61912      ,2,3,12,,Ashmore village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,029200,103,0235,9999,9999, ,61006      ,2,3,0,,Ashton village,1,1,140000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,030400,057,0245,9999,9999, ,61501      ,2,3,12,,Astoria village,1,1,42000,0,0,0,0,0,0,0,0,0,1,1,42000,0,0,0,0,0,0,0,0,0
2002,17,030700,129,0250,7880,9999, ,62613      ,2,3,12,,Athens,10,10,1251000,0,0,0,0,0,0,0,0,0,10,10,1251000,0,0,0,0,0,0,0,0,0
2002,17,031300,073,0255,1960,9999, ,61235      ,2,3,12,,Atkinson town,2,2,245000,0,0,0,0,0,0,0,0,0,2,2,245000,0,0,0,0,0,0,0,0,0
2002,17,031900,107,0260,9999,9999, ,61723      ,2,3,12,,Atlanta,6,6,605000,1,2,70000,0,0,0,0,0,0,6,6,605000,1,2,70000,0,0,0,0,0,0
2002,17,033100,147,0265,9999,9999, ,619130319  ,2,3,12,,Atwood village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,033400,167,0270,7880,9999, ,62615      ,2,3,0,,Auburn,21,21,2503753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,035500,089,0280,1602,1600,1,60504      ,2,3,12,,Aurora,1067,1067,120427672,0,0,0,66,260,19674787,131,777,57857002,1067,1067,120427672,0,0,0,66,260,19674787,131,777,57857002
2002,17,037300,027,0290,7040,9999, ,62216      ,2,3,11,,Aviston village,17,17,2610889,0,0,0,0,0,0,0,0,0,16,16,2468000,0,0,0,0,0,0,0,0,0
2002,17,038200,057,0295,9999,9999, ,61415      ,2,3,12,,Avon village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,039700,157,0300,9999,9999, ,622171008  ,2,3,0,,Baldwin village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,041200,097,0310,1602,1600, ,60015      ,2,3,11,,Bannockburn village,2,2,2083000,0,0,0,0,0,0,0,0,0,2,2,2083000,0,0,0,0,0,0,0,0,0
2002,17,043000,031,0323,1602,1600, ,60010      ,2,3,12,,Barrington Hills village,53,53,24887563,0,0,0,0,0,0,0,0,0,53,53,24887563,0,0,0,0,0,0,0,0,0
2002,17,044500,031,0320,1602,1600, ,60010      ,2,3,12,,Barrington village,11,11,3952000,0,0,0,0,0,0,0,0,0,11,11,3952000,0,0,0,0,0,0,0,0,0
2002,17,045100,149,0330,9999,9999, ,62312      ,2,3,12,,Barry,7,7,895000,0,0,0,0,0,0,0,0,0,7,7,895000,0,0,0,0,0,0,0,0,0
2002,17,046300,043,0340,1602,1600, ,60103      ,2,3,12,,Bartlett village,226,226,39661289,0,0,0,0,0,0,0,0,0,226,226,39661289,0,0,0,0,0,0,0,0,0
2002,17,046900,143,0345,6120,9999, ,61607      ,2,3,12,,Bartonville village,7,7,850000,0,0,0,0,0,0,0,0,0,7,7,850000,0,0,0,0,0,0,0,0,0
2002,17,047800,089,0355,1602,1600, ,60510      ,2,3,12,,Batavia,187,187,42973401,0,0,0,0,0,0,1,44,6620000,187,187,42973401,0,0,0,0,0,0,1,44,6620000
2002,17,049000,125,0365,9999,9999, ,62617      ,2,3,0,,Bath village,1,1,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,049300,203,0367,6120,9999, ,61611      ,2,3,0,,Bay View Gardens village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,049900,097,0368,1602,1600, ,60099      ,2,3,12,,Beach Park village,163,163,23910950,19,38,3791900,9,36,3083350,13,65,5418800,163,163,23910950,19,38,3791900,9,36,3083350,13,65,5418800
2002,17,051100,017,0375,9999,9999, ,62618      ,2,3,12,,Beardstown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,052900,075,0380,9999,9999, ,60912      ,2,3,12,,Beaverville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,053200,027,0385,7040,9999, ,62219      ,2,3,12,,Beckemeyer village,4,4,400000,0,0,0,0,0,0,0,0,0,4,4,400000,0,0,0,0,0,0,0,0,0
2002,17,053500,031,0390,1602,1600, ,60501      ,2,3,12,,Bedford Park village,1,1,100000,0,0,0,0,0,0,0,0,0,1,1,100000,0,0,0,0,0,0,0,0,0
2002,17,054400,197,0395,1602,1600, ,60401      ,2,3,1,,Beecher village,51,51,4750127,0,0,0,0,0,0,0,0,0,6,6,490000,0,0,0,0,0,0,0,0,0
2002,17,054700,183,0405,9999,9999, ,61883      ,2,3,0,,Belgium village,3,3,201000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,056500,163,0430,7040,9999,1,62220      ,2,3,12,,Belleville,97,97,10287840,9,18,1128600,2,6,254000,2,72,3675000,97,97,10287840,9,18,1128600,2,6,254000,2,72,3675000
2002,17,057100,143,0435,6120,9999, ,61604      ,2,3,0,,Bellevue village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,057700,113,0437,1040,9999, ,61724      ,2,3,0,,Bellflower village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,17,058300,031,0445,1602,1600, ,60104      ,2,3,8,,Bellwood village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
