Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202206,17,001000,095,0005,00113 ,11891 ,3319 ,999,99999, , ,61410      ,2,3,0,Abingdon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,17,002800,043,0015,00243 ,00250 ,36942 ,176,16980, , ,601012786  ,2,3,6,Addison village,20,20,4663000,0,0,0,0,0,0,1,5,1250000,20,20,4663000,0,0,0,0,0,0,1,5,1250000
202206,17,004900,195,0025,00516 ,00529 ,891 ,999,99999, , ,61230      ,2,3,0,Albany village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,17,005200,027,0030,00555 ,44667 ,1190 ,476,41180, , ,62215      ,2,3,0,Albers village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,17,006100,131,0040,00646 ,48398 ,3640 ,209,19340, , ,61231      ,2,3,0,Aledo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,17,007000,187,0045,00672 ,72065 ,498 ,999,99999,2, ,61412      ,2,3,0,Alexis village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,17,007900,111,0050,00685 ,00698 ,21613 ,176,16980,2, ,60102      ,2,3,1,Algonquin village,40,40,10603762,0,0,0,0,0,0,2,18,2927711,8,8,2188460,0,0,0,0,0,0,0,0,0
202206,17,008500,119,0055,00737 ,00750 ,681 ,476,41180, , ,62001      ,2,3,0,Alhambra village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,17,009400,185,0060,00815 ,00000 ,475 ,999,99999, , ,62410      ,2,3,0,Allendale village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,17,009700,139,0065,00867 ,22099 ,148 ,999,99999, , ,61951      ,2,3,0,Allenville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,17,010300,183,0070,00880 ,69849 ,291 ,999,19180,2, ,61810      ,2,3,0,Allerton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,17,012100,073,0085,00971 ,57108 ,671 ,209,19340, , ,61413      ,2,3,0,Alpha village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202206,17,012700,031,0095,01010 ,83531 ,19277 ,176,16980, , ,60803      ,2,3,0,Alsip village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
