Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2006,17,027700,189,0225,999,99999, , ,62808      ,2,3,12,Ashley,2,2,120000,0,0,0,0,0,0,0,0,0,2,2,120000,0,0,0,0,0,0,0,0,0
2006,17,028600,029,0230,999,99999, , ,61912      ,2,3,12,Ashmore village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,029200,103,0235,999,99999, , ,61006      ,2,3,0,Ashton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,029500,021,0240,999,99999, , ,625100106  ,2,3,0,Assumption,1,1,110000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,030400,057,0245,999,99999, , ,61501      ,2,3,12,Astoria village,2,2,180000,0,0,0,0,0,0,0,0,0,2,2,180000,0,0,0,0,0,0,0,0,0
2006,17,030700,129,0250,999,44100, , ,62613      ,2,3,12,Athens,6,6,775000,0,0,0,0,0,0,0,0,0,6,6,775000,0,0,0,0,0,0,0,0,0
2006,17,031300,073,0255,999,19340, , ,61235      ,2,3,12,Atkinson town,2,2,339000,1,2,180000,0,0,0,0,0,0,2,2,339000,1,2,180000,0,0,0,0,0,0
2006,17,031900,107,0260,999,99999, , ,61723      ,2,3,12,Atlanta,5,5,535000,0,0,0,0,0,0,0,0,0,5,5,535000,0,0,0,0,0,0,0,0,0
2006,17,033100,147,0265,999,16580,2, ,619130319  ,2,3,12,Atwood village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,033400,167,0270,999,44100, , ,62615      ,2,3,12,Auburn,16,16,3136000,5,10,560000,0,0,0,0,0,0,16,16,3136000,5,10,560000,0,0,0,0,0,0
2006,17,035500,089,0280,176,16980,2, ,60504      ,2,3,12,Aurora,696,696,71416928,0,0,0,0,0,0,0,0,0,696,696,71416928,0,0,0,0,0,0,0,0,0
2006,17,037300,027,0290,476,41180, , ,62216      ,2,3,12,Aviston village,28,28,4796600,0,0,0,0,0,0,0,0,0,28,28,4796600,0,0,0,0,0,0,0,0,0
2006,17,038200,057,0295,999,99999, , ,61415      ,2,3,0,Avon village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,039700,157,0300,999,99999, , ,622171008  ,2,3,0,Baldwin village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,041200,097,0310,176,16980, , ,60015      ,2,3,12,Bannockburn village,4,4,6566875,0,0,0,0,0,0,0,0,0,4,4,6566875,0,0,0,0,0,0,0,0,0
2006,17,043000,031,0323,176,16980,2, ,60010      ,2,3,12,Barrington Hills village,22,22,32927569,0,0,0,0,0,0,0,0,0,22,22,32927569,0,0,0,0,0,0,0,0,0
2006,17,044500,031,0320,176,16980,2, ,60010      ,2,3,12,Barrington village,19,19,5877127,12,24,3137160,0,0,0,1,45,5265400,19,19,5877127,12,24,3137160,0,0,0,1,45,5265400
2006,17,045100,149,0330,999,99999, , ,62312      ,2,3,12,Barry,2,2,370000,0,0,0,0,0,0,0,0,0,2,2,370000,0,0,0,0,0,0,0,0,0
2006,17,046300,043,0340,176,16980,2, ,60103      ,2,3,0,Bartlett village,342,342,49970704,0,0,0,0,0,0,10,170,15469878,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,046900,143,0345,426,37900, , ,61607      ,2,3,12,Bartonville village,10,10,2425000,0,0,0,0,0,0,0,0,0,10,10,2425000,0,0,0,0,0,0,0,0,0
2006,17,047800,089,0355,176,16980,2, ,60510      ,2,3,12,Batavia,51,51,20608110,0,0,0,0,0,0,0,0,0,51,51,20608110,0,0,0,0,0,0,0,0,0
2006,17,049000,125,0365,999,99999, , ,62617      ,2,3,0,Bath village,1,1,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,049300,203,0367,426,37900, , ,61611      ,2,3,0,Bay View Gardens village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,049900,097,0368,176,16980, , ,60099      ,2,3,12,Beach Park village,114,114,18775950,0,0,0,0,0,0,0,0,0,114,114,18775950,0,0,0,0,0,0,0,0,0
2006,17,051100,017,0375,999,99999, , ,626181142  ,2,3,12,Beardstown,6,6,317300,0,0,0,0,0,0,0,0,0,6,6,317300,0,0,0,0,0,0,0,0,0
2006,17,052900,075,0380,999,99999, , ,60912      ,2,3,12,Beaverville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,053200,027,0385,476,41180, , ,62219      ,2,3,12,Beckemeyer village,2,2,300000,0,0,0,0,0,0,0,0,0,2,2,300000,0,0,0,0,0,0,0,0,0
2006,17,053500,031,0390,176,16980, , ,60501      ,2,3,12,Bedford Park village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,054400,197,0395,176,16980, , ,60401      ,2,3,0,Beecher village,38,38,3550638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,054700,183,0405,999,19180, , ,61883      ,2,3,12,Belgium village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,056500,163,0430,476,41180,2, ,62220      ,2,3,12,Belleville,260,260,31373678,1,2,25000,0,0,0,0,0,0,260,260,31373678,1,2,25000,0,0,0,0,0,0
2006,17,057100,143,0435,426,37900, , ,61604      ,2,3,0,Bellevue village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,057700,113,0437,999,14060, , ,61724      ,2,3,12,Bellflower village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,058300,031,0445,176,16980, , ,60104      ,2,3,11,Bellwood village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,058900,007,0450,466,40420, , ,61008      ,2,3,12,Belvidere,196,196,37035324,0,0,0,0,0,0,1,6,600000,196,196,37035324,0,0,0,0,0,0,1,6,600000
2006,17,059800,147,0455,999,16580, , ,61813      ,2,3,12,Bement village,4,4,496000,0,0,0,0,0,0,0,0,0,4,4,496000,0,0,0,0,0,0,0,0,0
2006,17,060100,117,0460,476,41180, , ,620091427  ,2,3,12,Benld,4,4,735526,0,0,0,0,0,0,0,0,0,4,4,735526,0,0,0,0,0,0,0,0,0
2006,17,061000,043,0465,176,16980,2, ,60106      ,2,3,12,Bensenville village,11,11,4350000,0,0,0,0,0,0,0,0,0,11,11,4350000,0,0,0,0,0,0,0,0,0
2006,17,061300,203,0470,426,37900, , ,61516      ,2,3,12,Benson village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,061900,055,0480,999,99999, , ,62812      ,2,3,12,Benton,9,9,597776,0,0,0,0,0,0,0,0,0,9,9,597776,0,0,0,0,0,0,0,0,0
2006,17,062800,031,0485,176,16980, , ,60163      ,2,3,11,Berkeley village,12,12,3259000,0,0,0,0,0,0,0,0,0,12,12,3259000,0,0,0,0,0,0,0,0,0
2006,17,064900,031,0495,176,16980,2, ,60402      ,2,3,11,Berwyn,10,10,1883383,1,2,212500,0,0,0,1,12,642400,9,9,1713883,1,2,212500,0,0,0,1,12,642400
2006,17,065500,119,0500,476,41180, , ,62010      ,2,3,12,Bethalto village,58,58,10092237,0,0,0,0,0,0,0,0,0,58,58,10092237,0,0,0,0,0,0,0,0,0
2006,17,065800,139,0505,999,99999, , ,619140352  ,2,3,12,Bethany village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,068500,071,0510,999,99999, , ,61418      ,2,3,12,Biggsville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,070000,073,0525,999,19340, , ,61419      ,2,3,12,Bishop Hill village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,17,070500,183,0527,999,19180, , ,61814      ,2,3,12,Bismarck village,4,4,595883,0,0,0,0,0,0,0,0,0,4,4,595883,0,0,0,0,0,0,0,0,0
2006,17,073000,043,0535,176,16980, , ,601081487  ,2,3,12,Bloomingdale village,32,32,11386950,0,0,0,0,0,0,1,36,6500000,32,32,11386950,0,0,0,0,0,0,1,36,6500000
