Survey,State,6-Digit,County,MSA/,PMSA,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,CMSA,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8899,17,000500,095,9999,9999,2,3,12,12,Abingdon,1,1,17431,0,0,0,0,0,0,0,0,0,1,1,17431,0,0,0,0,0,0,0,0,0
8899,17,001000,043,1602,1600,2,3,12,12,Addison village,166,166,18405426,0,0,0,0,0,0,0,0,0,166,166,18405426,0,0,0,0,0,0,0,0,0
8899,17,001500,195,9999,9999,2,3,12,12,Albany village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,001800,027,7040,9999,2,3,12,12,Albers village,3,3,179000,0,0,0,0,0,0,0,0,0,3,3,179000,0,0,0,0,0,0,0,0,0
8899,17,002000,131,9999,9999,2,3,12,12,Aledo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,002300,187,9999,9999,2,3,12,12,Alexis village,1,1,40000,0,0,0,0,0,0,0,0,0,1,1,40000,0,0,0,0,0,0,0,0,0
8899,17,002500,111,1602,1600,2,3,7,7,Algonquin village,247,247,19917666,0,0,0,12,40,2506088,2,10,632856,100,100,8197060,0,0,0,6,21,1553133,0,0,0
8899,17,002600,119,7040,9999,2,3,12,12,Alhambra village,5,5,370000,0,0,0,0,0,0,0,0,0,5,5,370000,0,0,0,0,0,0,0,0,0
8899,17,002800,139,9999,9999,2,3,0,0,Allenville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,002900,183,9999,9999,2,3,12,12,Allerton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,003000,163,7040,9999,2,3,0,0,Alorton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,003200,073,1960,9999,2,3,12,12,Alpha village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,003500,031,1602,1600,2,3,12,12,Alsip village,65,65,3045900,0,0,0,4,16,515000,0,0,0,65,65,3045900,0,0,0,4,16,515000,0,0,0
8899,17,003800,049,9999,9999,2,3,12,12,Altamont,2,2,140000,0,0,0,0,0,0,0,0,0,2,2,140000,0,0,0,0,0,0,0,0,0
8899,17,004000,119,7040,9999,2,3,12,12,Alton,10,10,569710,0,0,0,0,0,0,0,0,0,10,10,569710,0,0,0,0,0,0,0,0,0
8899,17,004125,103,9999,9999,2,3,12,12,Amboy,5,5,210600,0,0,0,0,0,0,0,0,0,5,5,210600,0,0,0,0,0,0,0,0,0
8899,17,004200,113,1040,9999,2,3,12,12,Anchor village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,004500,161,1960,9999,2,3,12,12,Andalusia village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,005000,073,1960,9999,2,3,12,12,Andover village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,005500,181,9999,9999,2,3,12,12,Anna,5,5,238000,0,0,0,0,0,0,3,16,402981,5,5,238000,0,0,0,0,0,0,3,16,402981
8899,17,005700,073,1960,9999,2,3,1,1,Annawan village,2,2,100052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,006000,097,1602,3965,2,3,12,12,Antioch village,47,47,3986340,0,0,0,1,4,100000,4,104,2600000,47,47,3986340,0,0,0,1,4,100000,4,104,2600000
8899,17,006500,041,9999,9999,2,3,12,12,Arcola,6,6,264864,0,0,0,0,0,0,0,0,0,6,6,264864,0,0,0,0,0,0,0,0,0
8899,17,007000,115,2040,9999,2,3,12,12,Argenta village,12,12,684228,0,0,0,0,0,0,0,0,0,12,12,684228,0,0,0,0,0,0,0,0,0
8899,17,007500,031,1602,1600,2,3,12,12,Arlington Heights village,104,104,15977470,9,18,1759200,26,103,9531256,50,531,34518650,104,104,15977470,9,18,1759200,26,103,9531256,50,531,34518650
8899,17,007700,179,6120,9999,2,3,12,12,Armington village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,008000,091,3740,9999,2,3,0,0,Aroma Park village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,008500,041,9999,9999,2,3,12,12,Arthur village,6,6,240000,0,0,0,0,0,0,1,6,98000,6,6,240000,0,0,0,0,0,0,1,6,98000
8899,17,008600,075,9999,9999,2,3,12,12,Ashkum village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,008700,029,9999,9999,2,3,12,12,Ashmore village,1,1,55509,0,0,0,0,0,0,0,0,0,1,1,55509,0,0,0,0,0,0,0,0,0
8899,17,009000,103,9999,9999,2,3,12,12,Ashton village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,009200,073,1960,9999,2,3,12,12,Atkinson town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,009300,107,9999,9999,2,3,12,12,Atlanta,3,3,93000,0,0,0,0,0,0,0,0,0,3,3,93000,0,0,0,0,0,0,0,0,0
8899,17,009400,147,9999,9999,2,3,12,12,Atwood village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,009425,167,7880,9999,2,3,12,12,Auburn,15,15,532000,0,0,0,0,0,0,0,0,0,15,15,532000,0,0,0,0,0,0,0,0,0
8899,17,009500,089,1602,0620,2,3,12,12,Aurora,603,603,65840339,93,186,8256000,34,133,9201249,13,236,9010000,603,603,65840339,93,186,8256000,34,133,9201249,13,236,9010000
8899,17,009800,057,9999,9999,2,3,12,12,Avon village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,010000,097,1602,3965,2,3,0,0,Bannockburn village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,010500,031,1602,1600,2,3,12,12,Barrington village,46,46,6393607,0,0,0,0,0,0,0,0,0,46,46,6393607,0,0,0,0,0,0,0,0,0
8899,17,011000,031,1602,1600,2,3,12,12,Barrington Hills village,38,38,13602819,0,0,0,0,0,0,0,0,0,38,38,13602819,0,0,0,0,0,0,0,0,0
8899,17,011500,043,1602,1600,2,3,12,12,Bartlett village,407,407,45759211,0,0,0,22,88,5099500,7,54,2688000,407,407,45759211,0,0,0,22,88,5099500,7,54,2688000
8899,17,012000,143,6120,9999,2,3,12,12,Bartonville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,012500,089,1602,0620,2,3,12,12,Batavia,304,304,32255870,2,4,230000,2,6,564000,0,0,0,304,304,32255870,2,4,230000,2,6,564000,0,0,0
8899,17,012600,125,9999,9999,2,3,12,12,Bath village,2,2,111018,0,0,0,0,0,0,0,0,0,2,2,111018,0,0,0,0,0,0,0,0,0
8899,17,012700,203,6120,9999,2,3,12,12,Bayview Gardens village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,013000,017,9999,9999,2,3,12,12,Beardstown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,013200,075,9999,9999,2,3,12,12,Beaverville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,013500,031,1602,1600,2,3,12,12,Bedford Park village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,014000,197,1602,3690,2,3,12,12,Beecher village,7,7,584892,0,0,0,0,0,0,0,0,0,7,7,584892,0,0,0,0,0,0,0,0,0
8899,17,014500,183,9999,9999,2,3,0,0,Belgium village,1,1,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,015000,163,7040,9999,2,3,12,12,Belleville,32,32,2151400,2,4,130000,1,4,100000,6,75,1099200,32,32,2151400,2,4,130000,1,4,100000,6,75,1099200
8899,17,015500,143,6120,9999,2,3,12,12,Bellevue village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,016000,031,1602,1600,2,3,12,12,Bellwood village,1,1,35000,0,0,0,0,0,0,0,0,0,1,1,35000,0,0,0,0,0,0,0,0,0
8899,17,016500,007,6880,9999,2,3,12,12,Belvidere,12,12,800000,1,2,28000,0,0,0,0,0,0,12,12,800000,1,2,28000,0,0,0,0,0,0
8899,17,016700,147,9999,9999,2,3,12,12,Bement village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,017000,043,1602,1600,2,3,12,12,Bensenville village,27,27,2726000,0,0,0,6,24,1027000,7,226,11830000,27,27,2726000,0,0,0,6,24,1027000,7,226,11830000
8899,17,017200,203,6120,9999,2,3,12,12,Benson village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,017300,055,9999,9999,2,3,12,12,Benton,7,7,354232,0,0,0,0,0,0,0,0,0,7,7,354232,0,0,0,0,0,0,0,0,0
8899,17,017500,031,1602,1600,2,3,12,12,Berkeley village,2,2,135000,0,0,0,0,0,0,0,0,0,2,2,135000,0,0,0,0,0,0,0,0,0
8899,17,018000,031,1602,1600,2,3,12,12,Berwyn,0,0,0,2,4,150000,0,0,0,1,6,175000,0,0,0,2,4,150000,0,0,0,1,6,175000
8899,17,018500,119,7040,9999,2,3,12,12,Bethalto village,62,62,4738000,1,2,75000,0,0,0,0,0,0,62,62,4738000,1,2,75000,0,0,0,0,0,0
8899,17,019000,139,9999,9999,2,3,0,0,Bethany village,1,1,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,019500,071,9999,9999,2,3,12,12,Biggsville village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,019600,073,1960,9999,2,3,0,0,Bishop Hill village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,019700,051,9999,9999,2,3,0,0,Bingham village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,020000,043,1602,1600,2,3,12,12,Bloomingdale village,422,422,49711231,0,0,0,1,3,254400,9,248,8796800,422,422,49711231,0,0,0,1,3,254400,9,248,8796800
8899,17,020500,113,1040,9999,2,3,12,12,Bloomington,342,342,20653050,2,4,105000,3,11,338250,4,33,901000,342,342,20653050,2,4,105000,3,11,338250,4,33,901000
8899,17,021000,031,1602,1600,2,3,12,12,Blue Island,2,2,80000,1,2,40000,0,0,0,0,0,0,2,2,80000,1,2,40000,0,0,0,0,0,0
8899,17,021300,115,2040,9999,2,3,12,12,Blue Mound village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,021500,171,9999,9999,2,3,0,0,Bluffs village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,021550,081,9999,9999,2,3,0,0,Bluford village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,021600,197,1602,3690,2,3,12,12,Bolingbrook village,206,206,17559105,0,0,0,0,0,0,0,0,0,206,206,17559105,0,0,0,0,0,0,0,0,0
8899,17,021800,005,9999,9999,2,3,12,12,Bond County Unincorporated Area,5,5,318000,0,0,0,0,0,0,0,0,0,5,5,318000,0,0,0,0,0,0,0,0,0
8899,17,021850,019,1400,9999,2,3,12,12,Bondville village,3,3,230000,0,0,0,0,0,0,0,0,0,3,3,230000,0,0,0,0,0,0,0,0,0
8899,17,021900,091,3740,9999,2,3,12,12,Bonfield village,1,1,72000,0,0,0,0,0,0,0,0,0,1,1,72000,0,0,0,0,0,0,0,0,0
8899,17,022000,007,6880,9999,2,3,12,12,Boone County Unincorporated Area,146,146,13179276,0,0,0,0,0,0,0,0,0,146,146,13179276,0,0,0,0,0,0,0,0,0
8899,17,022500,091,3740,9999,2,3,12,12,Bourbonnais village,78,78,6476521,0,0,0,0,0,0,1,5,335000,78,78,6476521,0,0,0,0,0,0,1,5,335000
8899,17,023000,091,3740,9999,2,3,12,12,Bradley village,13,13,576000,0,0,0,0,0,0,0,0,0,13,13,576000,0,0,0,0,0,0,0,0,0
8899,17,023200,197,1602,3690,2,3,10,10,Braidwood,10,10,489467,0,0,0,0,0,0,1,5,156250,9,9,430717,0,0,0,0,0,0,0,0,0
8899,17,023300,027,7040,9999,2,3,12,12,Breese,18,18,1295500,3,6,350000,0,0,0,1,8,225000,18,18,1295500,3,6,350000,0,0,0,1,8,225000
8899,17,023500,031,1602,1600,2,3,12,12,Bridge View village,54,54,3323000,2,4,320000,0,0,0,0,0,0,54,54,3323000,2,4,320000,0,0,0,0,0,0
8899,17,023600,083,7040,9999,2,3,11,11,Brighton village,10,10,838222,0,0,0,0,0,0,0,0,0,9,9,763521,0,0,0,0,0,0,0,0,0
8899,17,023700,143,6120,9999,2,3,12,12,Brimfield village,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,024000,019,1400,9999,2,3,0,0,Broadlands village,1,1,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8899,17,024500,031,1602,1600,2,3,12,12,Broadview village,3,3,155000,0,0,0,2,8,240000,0,0,0,3,3,155000,0,0,0,2,8,240000,0,0,0
8899,17,025000,031,1602,1600,2,3,3,3,Brookfield village,10,10,584750,0,0,0,1,3,82125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
