Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8299,8040,9999, ,STAMFORD SMSA,221,221,30632,13,26,976,8,27,1356,17,452,22022,221,221,30632,13,26,976,8,27,1356,17,452,22022
8299,8050,9999, ,STATE COLLEGE SMSA,231,231,9446,0,0,0,2,8,240,3,24,750,231,231,9446,0,0,0,2,8,240,3,24,750
8299,8080,9999, ,STEUBENVILLE-WEIRTON OH-WV SMSA,25,25,1239,0,0,0,0,0,0,0,0,0,25,25,1239,0,0,0,0,0,0,0,0,0
8299,8120,9999, ,STOCKTON SMSA,1346,1346,77332,41,82,3217,27,100,3191,48,874,31474,1346,1346,77332,41,82,3217,27,100,3191,48,874,31474
8299,8160,9999, ,SYRACUSE SMSA,881,881,38446,8,16,460,2,7,162,28,282,6435,881,881,38446,8,16,460,2,7,162,28,282,6435
8299,8200,9999, ,TACOMA SMSA,1671,1671,89842,53,106,3754,38,149,4899,20,225,5828,1671,1671,89842,53,106,3754,38,149,4899,20,225,5828
8299,8240,9999, ,TALLAHASSEE SMSA,1225,1225,55420,159,318,9600,135,531,11298,31,230,4181,1225,1225,55420,159,318,9600,135,531,11298,31,230,4181
8299,8280,9999, ,TAMPA-ST. PETERSBURG SMSA,8951,8951,277352,648,1296,22660,310,1142,25865,394,4920,138213,8951,8951,277352,648,1296,22660,310,1142,25865,393,4904,137574
8299,8320,9999, ,TERRE HAUTE SMSA,178,178,6830,3,6,60,2,8,380,2,14,875,178,178,6830,3,6,60,2,8,380,2,14,875
8299,8360,9999, ,TEXARKANA TX-TEXARKANA AR SMSA,124,124,5345,32,64,1880,12,48,927,19,124,2584,124,124,5345,32,64,1880,12,48,927,19,124,2584
8299,8400,9999, ,TOLEDO OHIO-MICH. SMSA,611,611,42016,28,56,2721,12,48,2740,63,1135,21517,608,608,41938,28,56,2721,12,48,2740,63,1135,21517
8299,8440,9999, ,TOPEKA SMSA,249,249,13270,7,14,523,6,23,810,9,126,2654,249,249,13270,7,14,523,6,23,810,9,126,2654
8299,8480,9999, ,TRENTON SMSA,404,404,27941,0,0,0,3,11,529,9,96,2952,404,404,27941,0,0,0,3,11,529,9,96,2952
8299,8520,9999, ,TUCSON SMSA,2543,2543,138372,49,98,2528,23,81,2313,131,3689,77507,2543,2543,138372,49,98,2528,23,81,2313,131,3689,77507
