Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8899,0040,9999,    ,Abilene TX MSA,144,144,12338,0,0,0,0,0,0,0,0,0,96,96,10081,0,0,0,0,0,0,0,0,0
8899,0120,9999,    ,Albany GA MSA,206,206,10994,14,28,806,10,39,492,0,0,0,206,206,10994,14,28,806,10,39,492,0,0,0
8899,0160,9999,    ,Albany-Schenectady-Troy NY MSA,3764,3764,342906,172,344,13707,65,247,8430,82,892,30649,3574,3574,331410,172,344,13707,53,211,7531,82,892,30649
8899,0200,9999,    ,Albuquerque NM MSA,2302,2302,184060,3,6,179,3,11,622,17,321,8126,2077,2077,167679,2,4,103,3,11,622,15,252,5999
8899,0220,9999,    ,Alexandria LA MSA,84,84,6840,0,0,0,1,3,0,4,27,400,84,84,6840,0,0,0,0,0,0,4,27,400
8899,0240,9999,    ,Allentown-Bethlehem PA-NJ MSA,3920,3920,340590,41,82,3895,11,42,2863,19,170,6765,3890,3890,338072,41,82,3895,11,42,2863,19,170,6765
8899,0280,9999,    ,Altoona PA MSA,269,269,16898,1,2,40,3,12,195,2,50,4080,258,258,16539,1,2,40,1,4,75,2,50,4080
8899,0320,9999,    ,Amarillo TX MSA,228,228,18722,0,0,0,0,0,0,0,0,0,189,189,17001,0,0,0,0,0,0,0,0,0
8899,0380,9999,    ,Anchorage AK MSA,230,230,32803,0,0,0,0,0,0,0,0,0,230,230,32803,0,0,0,0,0,0,0,0,0
8899,0400,9999,    ,Anderson IN MSA,147,147,9483,9,18,847,0,0,0,3,44,1300,142,142,9208,9,18,847,0,0,0,3,44,1300
8899,0405,9999,    ,Anderson SC MSA,630,630,42476,23,46,1336,15,59,1395,8,48,1302,625,625,42098,23,46,1336,15,59,1395,8,48,1302
8899,0450,9999,    ,Anniston AL MSA,230,230,13181,2,4,90,8,30,769,5,30,535,224,224,12928,2,4,90,8,30,769,5,30,535
8899,0460,9999,    ,Appleton-Oshkosh-Neenah WI MSA,1124,1124,89398,90,180,7337,9,33,1003,31,349,7478,975,975,81949,76,152,6672,1,4,400,20,207,4748
8899,0480,9999,    ,Asheville NC MSA,1019,1019,66620,15,30,1171,15,51,2061,20,244,9662,1019,1019,66620,15,30,1171,15,51,2061,20,244,9662
8899,0500,9999,    ,Athens GA MSA,871,871,62340,42,84,3008,4,12,1571,40,400,15442,871,871,62340,42,84,3008,4,12,1571,40,400,15442
8899,0520,9999,    ,Atlanta GA MSA,28468,28468,2205816,271,542,16887,77,287,8136,929,15138,478086,28358,28358,2199329,259,518,16577,75,281,8070,918,15081,477010
8899,0560,9999,    ,Atlantic City NJ MSA,2544,2544,189159,372,744,53789,35,125,9352,78,1730,93616,2446,2446,184138,361,722,52933,35,125,9352,65,1091,40595
8899,0600,9999,    ,Augusta GA-SC MSA,1949,1949,138190,10,20,760,3,10,226,19,192,4146,1941,1941,137818,10,20,760,3,10,226,19,192,4146
8899,0640,9999,    ,Austin TX MSA,2020,2020,189301,5,10,314,3,12,353,6,305,21017,2013,2013,188956,5,10,314,3,12,353,6,305,21017
8899,0680,9999,    ,Bakersfield CA MSA,2864,2864,231638,20,40,1507,32,121,4998,20,133,14099,2791,2791,226423,17,34,1282,29,109,4613,19,121,13704
8899,0720,9999,    ,Baltimore MD MSA,14372,14372,1130048,0,0,0,10,39,929,207,3619,151535,14372,14372,1130048,0,0,0,10,39,929,207,3619,151535
8899,0730,9999,    ,Bangor ME MSA,338,338,25473,4,8,245,21,84,3070,17,119,3609,316,316,24339,4,8,245,21,84,3070,9,79,2159
8899,0760,9999,    ,Baton Rouge LA MSA,809,809,64474,20,40,894,1,4,147,13,191,5731,760,760,60744,20,40,894,1,4,147,12,185,5501
8899,0780,9999,    ,Battle Creek MI MSA,144,144,9722,1,2,84,0,0,0,9,252,7206,104,104,7252,1,2,84,0,0,0,6,144,2634
8899,0840,9999,    ,Beaumont-Port Arthur TX MSA,378,378,25192,0,0,0,0,0,0,0,0,0,373,373,24964,0,0,0,0,0,0,0,0,0
8899,0860,9999,    ,Bellingham WA MSA,619,619,44171,26,52,2862,25,98,3508,31,489,17127,619,619,44171,26,52,2862,25,98,3508,31,489,17127
8899,0870,9999,    ,Benton Harbor MI MSA,463,463,34646,3,6,230,6,22,1146,9,74,4758,392,392,29610,3,6,230,2,8,390,9,74,4758
8899,0880,9999,    ,Billings MT MSA,97,97,8136,1,2,189,0,0,0,0,0,0,94,94,8002,1,2,189,0,0,0,0,0,0
8899,0920,9999,    ,Biloxi-Gulfport MS MSA,629,629,35668,16,32,1058,1,4,33,3,63,1792,628,628,35582,16,32,1058,1,4,33,2,58,1649
8899,0960,9999,    ,Binghamton NY MSA,795,795,70498,22,44,1964,3,12,400,0,0,0,720,720,65542,18,36,1674,3,12,400,0,0,0
