Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8499,0040,9999,,ABILENE TX. . . . . . . . . . . .,501,501,36623,31,62,3094,24,96,2070,40,520,12140,450,450,34225,31,62,3094,24,96,2070,40,520,12140
8499,0080,9999,,AKRON OH (P). . . . . . . . . . .,917,917,67542,31,62,2710,55,213,7657,47,456,13780,775,775,59020,28,56,2516,49,187,6905,47,456,13780
8499,0120,9999,,ALBANY GA . . . . . . . . . . . .,376,376,16000,62,124,2683,18,71,2244,32,220,3935,365,365,15421,60,120,2581,18,71,2244,31,211,3698
8499,0160,9999,,ALBANY-SCHENECTADY-TROY NY. . . .,2429,2429,144291,114,228,6481,91,348,3677,45,596,14925,2210,2210,132734,110,220,6354,89,339,3565,45,596,14925
8499,0200,9999,,ALBUQUERQUE NM. . . . . . . . . .,3011,3011,196491,7,14,404,43,170,4221,430,5663,138399,3011,3011,196491,7,14,404,43,170,4221,430,5663,138399
8499,0220,9999,,ALEXANDRIA LA . . . . . . . . . .,282,282,12959,5,10,340,3,12,225,5,52,1115,282,282,12959,5,10,340,3,12,225,5,52,1115
8499,0240,9999,,ALLENTOWN-BETHLEHEM PA-NJ . . . .,2613,2613,135020,56,112,2659,47,191,3081,38,545,13069,2426,2426,125687,55,110,2609,47,185,3081,34,525,12213
8499,0280,9999,,ALTOONA PA. . . . . . . . . . . .,162,162,7850,6,12,405,3,12,60,4,68,2128,162,162,7850,6,12,405,3,12,60,4,68,2128
8499,0320,9999,,AMARILLO TX . . . . . . . . . . .,846,846,60456,30,60,1896,0,0,0,19,629,12872,846,846,60456,30,60,1896,0,0,0,19,629,12872
8499,0360,9999,,ANAHEIM-SANTA ANA CA (P). . . . .,9789,9789,728378,235,470,32458,209,766,40934,637,6412,247693,9781,9781,727504,235,470,32458,209,766,40934,637,6412,247693
8499,0380,9999,,ANCHORAGE AK. . . . . . . . . . .,2615,2615,238348,149,298,19951,168,644,39285,104,1028,59564,2615,2615,238348,149,298,19951,168,644,39285,104,1028,59564
8499,0400,9999,,ANDERSON IN . . . . . . . . . . .,87,87,5272,3,6,281,9,36,879,0,0,0,79,79,4669,3,6,281,9,36,879,0,0,0
8499,0405,9999,,ANDERSON SC . . . . . . . . . . .,634,634,28114,13,26,621,7,28,575,8,90,1903,634,634,28114,13,26,621,7,28,575,8,90,1903
8499,0440,9999,,ANN ARBOR MI (P). . . . . . . . .,331,331,33427,10,20,751,2,7,382,45,380,8933,316,316,29860,10,20,751,2,7,382,45,380,8933
8499,0450,9999,,ANNISTON AL . . . . . . . . . . .,142,142,7297,2,4,85,2,8,100,11,119,3000,81,81,3556,2,4,85,2,8,100,11,119,3000
8499,0460,9999,,APPLETON-OSHKOSH-NEENAH WI. . . .,908,908,55021,145,290,9993,40,158,4121,80,814,21395,903,903,54793,145,290,9993,40,158,4121,80,814,21395
8499,0480,9999,,ASHEVILLE NC. . . . . . . . . . .,719,719,33389,20,40,1222,40,154,4018,22,205,3605,680,680,31706,19,38,1156,39,151,3935,21,197,3396
8499,0500,9999,,ATHENS GA . . . . . . . . . . . .,619,619,31871,97,194,3907,38,146,4672,25,363,6053,597,597,31072,95,190,3859,38,143,4672,25,363,6053
8499,0520,9999,,ATLANTA GA. . . . . . . . . . . .,31506,31506,1631586,821,1642,47323,356,1358,32807,1224,15625,439956,31464,31464,1629862,792,1584,46243,354,1337,32648,1223,15620,439951
8499,0560,9999,,ATLANTIC CITY NJ. . . . . . . . .,1798,1798,88686,308,616,31127,14,59,2563,105,2046,131820,1718,1718,84957,308,616,31127,14,56,2563,96,1188,53346
8499,0600,9999,,AUGUSTA GA-SC . . . . . . . . . .,2902,2902,122089,118,236,5855,123,490,9530,79,637,11920,2899,2899,121951,118,236,5855,123,490,9530,79,637,11920
8499,0620,9999,,AURORA-ELGIN IL (P) . . . . . . .,1091,1091,73473,4,8,507,11,44,2381,10,84,2565,1090,1090,73424,4,8,507,11,44,2381,10,84,2565
8499,0640,9999,,AUSTIN TX . . . . . . . . . . . .,8566,8566,676721,1261,2522,110687,189,741,21610,328,11898,295692,8459,8459,670447,1261,2522,110687,189,741,21610,328,11898,295692
8499,0680,9999,,BAKERSFIELD CA. . . . . . . . . .,3126,3126,183587,110,220,9378,250,914,33365,251,1960,54775,3126,3126,183587,110,220,9378,250,914,33365,251,1960,54775
8499,0720,9999,,BALTIMORE MD. . . . . . . . . . .,13718,13718,720870,0,0,0,10,40,1440,105,3777,123340,13717,13717,720822,0,0,0,10,40,1440,105,3777,123340
8499,0730,9999,,BANGOR ME . . . . . . . . . . . .,141,141,6298,3,6,156,14,58,1129,26,329,8368,132,132,5841,3,6,156,14,55,1129,22,309,7960
