Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8099,0040,9999, ,ABILENE SMSA,569,569,40702,7,14,542,5,20,555,2,352,5995,554,554,40144,7,14,542,5,20,555,2,352,5995
8099,0080,9999, ,AKRON SMSA,1053,1053,62926,73,146,4570,17,63,1531,96,1296,34693,1048,1048,62718,73,146,4570,15,57,1316,96,1296,34693
8099,0120,9999, ,ALBANY SMSA,532,532,18958,23,46,924,2,6,120,10,112,1800,532,532,18958,23,46,924,2,6,120,10,112,1800
8099,0160,9999, ,ALBANY-SCHENECTADY-TROY SMSA,1057,1057,46120,39,78,1764,6,22,970,8,196,3531,1003,1003,43838,39,78,1764,6,22,970,8,196,3531
8099,0200,9999, ,ALBUQUERQUE SMSA,1839,1839,101178,7,14,266,82,298,5282,23,922,17040,1839,1839,101178,7,14,266,82,298,5282,23,922,17040
8099,0220,9999, ,ALEXANDRIA SMSA,184,184,8797,33,66,1774,21,83,1610,0,0,0,184,184,8797,33,66,1774,21,83,1610,0,0,0
8099,0240,9999, ,ALLENTOWN-BETHLEHEM-EASTON,1410,1410,63083,13,26,549,18,68,2116,18,159,1616,1347,1347,60152,12,24,505,18,68,2116,18,159,1616
8099,0280,9999, ,ALTOONA SMSA,241,241,8448,4,8,190,1,4,22,0,0,0,236,236,8331,4,8,190,1,4,22,0,0,0
8099,0320,9999, ,AMARILLO SMSA,617,617,34454,14,28,930,5,20,600,5,608,12301,617,617,34454,14,28,930,5,20,600,5,608,12301
8099,0360,9999, ,ANAHEIM-SANTA ANA-GARDEN GR. SMSA,7019,7019,500135,279,558,28953,212,780,33265,270,2558,91648,7019,7019,500135,279,558,28953,211,777,33173,270,2558,91648
8099,0380,9999, ,ANCHORAGE SMSA,809,809,71940,56,112,6257,20,72,3744,11,75,4559,809,809,71940,56,112,6257,20,72,3744,11,75,4559
8099,0400,9999, ,ANDERSON SMSA,155,155,7454,5,10,307,3,11,622,1,140,2100,155,155,7454,5,10,307,3,11,622,1,140,2100
8099,0440,9999, ,ANN ARBOR SMSA,453,453,31342,11,22,939,1,4,157,9,442,12852,443,443,30906,11,22,939,1,4,157,9,442,12852
8099,0450,9999, ,ANNISTON SMSA,145,145,4861,2,4,55,0,0,0,9,85,1731,114,114,4098,2,4,55,0,0,0,8,77,1470
8099,0460,9999, ,APPLETON-OSHKOSH SMSA,740,740,33595,71,142,3933,5,20,722,33,391,6972,592,592,26288,60,120,3227,5,20,722,33,391,6972
8099,0480,9999, ,ASHEVILLE SMSA,769,769,21666,1,2,25,15,51,740,12,368,6131,769,769,21666,1,2,25,15,51,740,12,368,6131
8099,0520,9999, ,ATLANTA SMSA,16176,16176,640226,173,346,7890,71,271,6641,453,5265,91345,16151,16151,639173,173,346,7890,71,271,6641,453,5265,91345
8099,0560,9999, ,ATLANTIC CITY SMSA,692,692,35621,37,74,1521,2,6,203,48,552,19266,684,684,35315,37,74,1521,2,6,203,48,552,19266
8099,0600,9999, ,AUGUSTA GA.-S.C. SMSA,1507,1507,48607,12,24,307,26,104,2224,5,32,936,1497,1497,48332,12,24,307,26,104,2224,5,32,936
8099,0640,9999, ,AUSTIN SMSA,4149,4149,236253,576,1152,39001,45,178,4876,81,2790,47348,4134,4134,235573,576,1152,39001,45,178,4876,81,2790,47348
8099,0680,9999, ,BAKERSFIELD SMSA,2153,2153,106795,85,170,4084,76,275,6495,58,404,11537,2153,2153,106795,85,170,4084,76,275,6495,58,404,11537
8099,0720,9999, ,BALTIMORE SMSA,6746,6746,285408,7,14,518,2,7,530,41,1288,30189,6746,6746,285408,7,14,518,2,7,530,41,1288,30189
8099,0760,9999, ,BATON ROUGE SMSA,2074,2074,56156,85,170,2282,124,494,9567,69,1194,19880,2074,2074,56156,85,170,2282,124,494,9567,69,1194,19880
8099,0780,9999, ,BATTLE CREEK SMSA,273,273,11720,5,10,292,0,0,0,20,409,8254,271,271,11662,5,10,292,0,0,0,20,409,8254
8099,0800,9999, ,BAY CITY SMSA,169,169,6739,0,0,0,0,0,0,1,5,363,145,145,6093,0,0,0,0,0,0,1,5,363
8099,0840,9999, ,BEAUMONT-PORT ARTHUR-ORANGE SMSA,1262,1262,57456,29,58,1649,1,4,112,95,1165,21529,1234,1234,56388,29,58,1649,1,4,112,93,1140,21026
8099,0880,9999, ,BILLINGS SMSA,328,328,9146,16,32,600,6,23,528,10,198,4369,211,211,5558,9,18,329,5,20,481,2,117,2710
8099,0920,9999, ,BILOXI-GULFPORT SMSA,1041,1041,31476,16,32,829,13,52,1287,32,551,9794,1038,1038,31409,16,32,829,13,52,1287,32,551,9794
8099,0960,9999, ,BINGHAMTON N.Y.-PA. SMSA,246,246,10365,18,36,1009,2,8,145,7,90,1382,241,241,10129,18,36,1009,2,8,145,5,65,750
