Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9599,0040,9999, ,Abilene TX MSA,230,230,25790,3,6,300,1,3,270,9,173,4498,0,0,0,0,0,0,0,0,0,0,0,0
9599,0120,9999, ,Albany GA MSA,601,601,46028,49,98,4238,27,106,3273,25,356,4259,601,601,46028,49,98,4238,27,106,3273,25,356,4259
9599,0160,9999, ,Albany-Schenectady-Troy NY MSA,1736,1736,192209,32,64,3257,10,39,1465,52,696,28674,1629,1629,182944,32,64,3257,10,39,1465,52,696,28674
9599,0200,9999, ,Albuquerque NM MSA,4650,4650,400685,7,14,549,2,7,140,176,1910,80654,3743,3743,349371,7,14,549,2,7,140,168,1870,79394
9599,0220,9999, ,Alexandria LA MSA,293,293,25827,2,4,230,1,3,200,4,32,940,286,286,25330,2,4,230,1,3,200,4,32,940
9599,0240,9999, ,Allentown-Bethlehem-Easton PA MSA,2033,2033,216799,1,2,60,1,3,150,12,222,8023,1931,1931,207076,1,2,60,1,3,150,12,222,8023
9599,0280,9999, ,Altoona PA MSA,308,308,24453,2,4,195,1,4,126,4,63,2198,265,265,22595,2,4,195,1,4,126,4,63,2198
9599,0320,9999, ,Amarillo TX MSA,451,451,53938,1,2,167,0,0,0,0,0,0,451,451,53938,1,2,167,0,0,0,0,0,0
9599,0380,9999, ,Anchorage AK MSA,779,779,109796,44,88,6709,9,34,2464,9,155,12956,779,779,109796,44,88,6709,9,34,2464,9,155,12956
9599,0450,9999, ,Anniston AL MSA,182,182,14904,2,4,114,1,4,100,9,85,3664,66,66,7260,2,4,114,1,4,100,4,60,2740
9599,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,1488,1488,170311,127,254,16393,16,62,2968,38,506,16351,1408,1408,160392,127,254,16393,16,62,2968,36,495,16087
9599,0480,9999, ,Asheville NC MSA,852,852,93230,48,96,5800,18,62,4150,14,82,4398,852,852,93230,48,96,5800,18,62,4150,14,82,4398
9599,0500,9999, ,Athens GA MSA,781,781,77155,40,80,3015,6,23,1151,49,633,23669,781,781,77155,40,80,3015,6,23,1151,49,633,23669
9599,0520,9999, ,Atlanta GA MSA,35162,35162,3330786,96,192,9286,42,166,6300,624,12757,541655,34888,34888,3315964,96,192,9286,42,166,6300,621,12688,540013
9599,0600,9999, ,Augusta-Aiken GA-SC MSA,1859,1859,156909,1,2,144,15,59,1624,25,176,3032,1859,1859,156909,1,2,144,15,59,1624,25,176,3032
9599,0640,9999, ,Austin-San Marcos TX MSA,7435,7435,769718,72,144,6925,16,53,2439,289,6133,226891,7133,7133,747124,72,144,6925,16,53,2439,289,6133,226891
9599,0680,9999, ,Bakersfield CA MSA,2830,2830,277573,7,14,739,38,146,7357,60,506,35700,2422,2422,238783,5,10,539,34,131,6434,52,460,33383
9599,0730,9999, ,Bangor ME MSA,204,204,17904,1,2,80,0,0,0,0,0,0,183,183,16005,1,2,80,0,0,0,0,0,0
9599,0740,9999, ,Barnstable-Yarmouth MA MSA,1126,1126,136414,3,6,654,11,35,3818,2,56,7100,1126,1126,136414,3,6,654,11,35,3818,2,56,7100
9599,0760,9999, ,Baton Rouge LA MSA,2599,2599,212852,4,8,240,0,0,0,38,713,23435,2000,2000,167500,4,8,240,0,0,0,38,713,23435
9599,0840,9999, ,Beaumont-Port Arthur TX MSA,531,531,49289,3,6,365,10,37,902,2,18,728,531,531,49289,3,6,365,10,37,902,2,18,728
9599,0860,9999, ,Bellingham WA MSA,854,854,102845,25,50,4629,25,92,4837,31,352,16388,854,854,102845,25,50,4629,25,92,4837,31,352,16388
9599,0870,9999, ,Benton Harbor MI MSA,513,513,59594,4,8,487,8,26,1723,0,0,0,342,342,44818,4,8,487,0,0,0,0,0,0
9599,0880,9999, ,Billings MT MSA,353,353,38452,13,26,1878,1,3,149,7,133,8099,353,353,38452,13,26,1878,1,3,149,7,133,8099
9599,0920,9999, ,Biloxi-Gulfport-Pascagoula MS MSA,1538,1538,101378,12,24,894,5,18,628,53,740,31672,1466,1466,95255,12,24,894,5,18,628,53,740,31672
9599,0960,9999, ,Binghamton NY MSA,177,177,15332,5,10,401,0,0,0,4,47,2529,130,130,12099,3,6,261,0,0,0,4,47,2529
9599,1000,9999, ,Birmingham AL MSA,4265,4265,467533,13,26,1145,5,17,339,108,1690,66739,3563,3563,402472,9,18,865,0,0,0,98,1639,65521
9599,1010,9999, ,Bismarck ND MSA,338,338,35638,4,8,805,3,12,836,8,157,6478,337,337,35538,4,8,805,3,12,836,8,157,6478
9599,1020,9999, ,Bloomington IN MSA,654,654,67345,14,28,1980,10,38,1854,31,259,11460,627,627,64339,14,28,1980,10,38,1854,31,259,11460
9599,1040,9999, ,Bloomington-Normal IL MSA,734,734,69872,16,32,1680,4,15,591,38,508,14279,731,731,69588,16,32,1680,4,15,591,38,508,14279
