Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8399,0040,9999, ,ABILENE SMSA,1072,1072,71385,69,138,8556,25,99,2541,7,744,21990,1014,1014,68857,69,138,8556,25,99,2541,7,744,21990
8399,0080,9999, ,AKRON SMSA,939,939,68760,39,78,3515,21,77,3569,33,339,9992,908,908,67295,38,76,3460,18,66,3225,33,339,9992
8399,0120,9999, ,ALBANY SMSA,389,389,12656,48,96,2023,8,32,570,13,120,3030,389,389,12656,48,96,2023,8,32,570,13,120,3030
8399,0160,9999, ,ALBANY-SCHENECTADY-TROY SMSA,1713,1713,94693,59,118,3341,54,197,3296,40,548,14523,1634,1634,90733,59,118,3341,54,197,3296,40,548,14523
8399,0200,9999, ,ALBUQUERQUE SMSA,2760,2760,162112,3,6,123,39,141,3874,39,674,13442,2760,2760,162112,3,6,123,39,141,3874,39,674,13442
8399,0220,9999, ,ALEXANDRIA SMSA,270,270,12217,27,54,1518,2,8,176,14,105,2891,270,270,12217,27,54,1518,2,8,176,14,105,2891
8399,0240,9999, ,ALLENTOWN-BETHLEHEM-EASTON,1971,1971,97122,65,130,3165,22,87,3470,20,302,12383,1909,1909,93496,65,130,3165,22,87,3470,18,273,10729
8399,0280,9999, ,ALTOONA SMSA,120,120,5428,32,64,1552,9,28,679,2,57,2062,120,120,5428,32,64,1552,9,28,679,2,57,2062
8399,0320,9999, ,AMARILLO SMSA,1083,1083,78895,50,100,3300,11,37,359,135,2409,52396,1083,1083,78895,50,100,3300,11,37,359,135,2409,52396
8399,0360,9999, ,ANAHEIM-SANTA ANA-GARDEN GROVE SMS,7368,7368,525975,105,210,13543,257,924,47223,494,4851,184772,7363,7363,525482,105,210,13543,257,924,47223,494,4851,184772
8399,0380,9999, ,ANCHORAGE SMSA,3487,3487,341059,160,320,20571,428,1665,87328,259,3434,144951,3487,3487,341059,160,320,20571,428,1665,87328,259,3434,144951
8399,0400,9999, ,ANDERSON SMSA,86,86,5279,1,2,20,1,4,78,1,100,1350,86,86,5279,1,2,20,1,4,78,1,100,1350
8399,0405,9999, ,ANDERSON SMSA,571,571,25141,5,10,189,10,40,933,1,6,274,568,568,25034,5,10,189,10,40,933,1,6,274
8399,0440,9999, ,ANN ARBOR SMSA,327,327,28562,2,4,140,2,8,500,1,6,154,317,317,26057,2,4,140,2,8,500,1,6,154
8399,0450,9999, ,ANNISTON SMSA,147,147,6995,1,2,30,0,0,0,4,72,950,84,84,3366,1,2,30,0,0,0,4,72,950
8399,0460,9999, ,APPLETON-OSHKOSH SMSA,882,882,48745,94,188,6132,20,80,2352,34,314,8054,853,853,47257,93,186,6060,20,80,2352,34,314,8054
8399,0480,9999, ,ASHEVILLE SMSA,890,890,33176,25,50,1421,26,104,3008,26,203,14151,877,877,31902,25,50,1421,26,104,3008,23,156,4004
8399,0500,9999, ,ATHENS SMSA,623,623,29278,196,392,8186,67,257,5668,65,665,13481,605,605,28639,192,384,8118,67,257,5668,65,665,13481
8399,0520,9999, ,ATLANTA SMSA,28992,28992,1278612,641,1282,34268,333,1133,18124,1115,13053,294167,28971,28971,1277982,640,1280,34242,332,1130,18074,1115,13053,294167
8399,0560,9999, ,ATLANTIC CITY SMSA,718,718,33419,7,14,652,20,66,2078,52,1664,104224,617,617,30631,7,14,652,20,66,2078,52,1664,104224
8399,0600,9999, ,AUGUSTA GA.-S.C. SMSA,2398,2398,99959,87,174,3660,37,145,2491,89,861,14202,2390,2390,99508,86,172,3644,37,145,2491,89,861,14202
8399,0640,9999, ,AUSTIN SMSA,7286,7286,536076,1055,2110,85636,158,610,16247,550,16153,331920,7286,7286,536076,1055,2110,85636,158,610,16247,550,16153,331920
8399,0680,9999, ,BAKERSFIELD SMSA,2988,2988,185022,183,366,13482,215,780,27049,210,1916,49218,2977,2977,184538,183,366,13482,215,780,27049,210,1916,49218
8399,0720,9999, ,BALTIMORE SMSA,13451,13451,664368,0,0,0,3,10,518,168,2744,77516,13451,13451,664368,0,0,0,3,10,518,168,2744,77516
8399,0730,9999, ,BANGOR SMSA,139,139,5577,0,0,0,9,36,812,3,30,600,132,132,5315,0,0,0,9,36,812,3,30,600
8399,0760,9999, ,BATON ROUGE SMSA,3785,3785,134546,96,192,4113,166,644,17779,257,2602,65338,3785,3785,134546,96,192,4113,166,644,17779,257,2602,65338
8399,0780,9999, ,BATTLE CREEK SMSA,264,264,10538,1,2,80,0,0,0,1,24,147,215,215,8642,1,2,80,0,0,0,1,24,147
8399,0800,9999, ,BAY CITY SMSA,97,97,4048,2,4,80,2,8,365,0,0,0,92,92,3961,2,4,80,2,8,365,0,0,0
8399,0840,9999, ,BEAUMONT-PORT ARTHUR-ORANGE SMSA,1440,1440,79256,22,44,1101,11,36,662,94,723,16797,941,941,49832,1,2,66,7,24,577,66,514,11118
