Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9199,0040,9999, ,Abilene TX MSA,143,143,14668,0,0,0,1,4,300,0,0,0,104,104,12835,0,0,0,1,4,300,0,0,0
9199,0120,9999, ,Albany GA MSA,341,341,22248,26,52,1893,13,41,749,0,0,0,341,341,22248,26,52,1893,13,41,749,0,0,0
9199,0160,9999, ,Albany-Schenectady-Troy NY MSA,2295,2295,229784,64,128,6105,9,30,940,41,423,15395,2169,2169,219176,62,124,5944,9,30,940,41,423,15395
9199,0200,9999, ,Albuquerque NM MSA,1532,1532,145586,1,2,76,0,0,0,23,258,11848,1532,1532,145586,1,2,76,0,0,0,23,258,11848
9199,0220,9999, ,Alexandria LA MSA,49,49,3621,0,0,0,0,0,0,0,0,0,44,44,3395,0,0,0,0,0,0,0,0,0
9199,0240,9999, ,Allentown-Bethlehem-Easton PA-NJ MSA,1909,1909,184603,12,24,1246,10,37,1908,28,312,12823,1844,1844,178833,11,22,1143,10,37,1908,28,312,12823
9199,0280,9999, ,Altoona PA MSA,290,290,21288,0,0,0,3,11,145,3,54,1556,279,279,20958,0,0,0,1,4,60,3,54,1556
9199,0320,9999, ,Amarillo TX MSA,217,217,22817,0,0,0,0,0,0,0,0,0,185,185,21405,0,0,0,0,0,0,0,0,0
9199,0380,9999, ,Anchorage AK MSA,617,617,98812,1,2,167,1,4,508,0,0,0,617,617,98812,1,2,167,1,4,508,0,0,0
9199,0400,9999, ,Anderson IN MSA,202,202,17210,19,38,1451,1,4,240,0,0,0,168,168,14156,17,34,1359,1,4,240,0,0,0
9199,0405,9999, ,Anderson SC MSA,687,687,48654,19,38,1297,3,11,270,4,32,642,687,687,48654,19,38,1297,3,11,270,4,32,642
9199,0450,9999, ,Anniston AL MSA,117,117,7543,0,0,0,5,20,320,3,18,400,112,112,7217,0,0,0,5,20,320,3,18,400
9199,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,1273,1273,117890,85,170,8242,6,23,500,46,557,15352,1038,1038,95612,67,134,6346,6,23,500,37,495,13968
9199,0480,9999, ,Asheville NC MSA,807,807,69983,22,44,1830,1,4,192,18,131,1794,795,795,68729,22,44,1830,1,4,192,18,131,1794
9199,0500,9999, ,Athens GA MSA,722,722,55907,32,64,2280,5,18,751,37,474,18433,722,722,55907,32,64,2280,5,18,751,37,474,18433
9199,0520,9999, ,Atlanta GA MSA,21611,21611,1768551,66,132,4713,7,27,772,88,1672,63434,21215,21215,1745588,57,114,4286,7,27,772,88,1672,63434
9199,0560,9999, ,Atlantic City NJ MSA,741,741,69901,49,98,8481,3,12,490,13,169,8272,700,700,63507,45,90,6905,3,12,490,10,143,6117
9199,0600,9999, ,Augusta GA-SC MSA,2247,2247,186124,2,4,130,8,26,530,3,109,1032,2247,2247,186124,2,4,130,8,26,530,3,109,1032
9199,0640,9999, ,Austin TX MSA,2971,2971,315935,2,4,154,1,4,120,19,220,6739,2968,2968,315773,2,4,154,1,4,120,19,220,6739
9199,0680,9999, ,Bakersfield CA MSA,3109,3109,292867,11,22,1122,51,184,8710,5,85,4047,3109,3109,292867,11,22,1122,51,184,8710,5,85,4047
9199,0720,9999, ,Baltimore MD MSA,9400,9400,782270,0,0,0,0,0,0,107,1759,81641,9400,9400,782270,0,0,0,0,0,0,107,1759,81641
9199,0730,9999, ,Bangor ME MSA,187,187,14525,1,2,140,0,0,0,5,35,1362,186,186,14481,1,2,140,0,0,0,5,35,1362
9199,0760,9999, ,Baton Rouge LA MSA,1123,1123,89265,3,6,74,0,0,0,1,68,2671,1116,1116,88096,3,6,74,0,0,0,1,68,2671
9199,0780,9999, ,Battle Creek MI MSA,148,148,11446,1,2,80,0,0,0,2,89,1498,128,128,10138,1,2,80,0,0,0,2,89,1498
9199,0840,9999, ,Beaumont-Port Arthur TX MSA,599,599,46905,2,4,150,0,0,0,0,0,0,440,440,37792,2,4,150,0,0,0,0,0,0
9199,0860,9999, ,Bellingham WA MSA,929,929,84545,32,64,3575,13,49,2022,33,497,21814,914,914,83845,32,64,3575,13,49,2022,33,497,21814
9199,0870,9999, ,Benton Harbor MI MSA,408,408,36939,5,10,463,7,26,2342,4,28,806,313,313,30159,4,8,363,3,11,1279,2,18,656
9199,0880,9999, ,Billings MT MSA,204,204,19583,3,6,628,0,0,0,3,23,792,197,197,19269,3,6,628,0,0,0,3,23,792
9199,0920,9999, ,Biloxi-Gulfport MS MSA,486,486,30372,3,6,155,1,4,92,0,0,0,444,444,28921,3,6,155,1,4,92,0,0,0
9199,0960,9999, ,Binghamton NY MSA,383,383,38193,10,20,765,2,8,416,0,0,0,381,381,38054,9,18,695,2,8,416,0,0,0
