Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8199,0040,9999, ,ABILENE SMSA,550,550,43510,20,40,1831,11,40,1415,18,268,4525,518,518,42157,20,40,1831,11,40,1415,18,268,4525
8199,0080,9999, ,AKRON SMSA,708,708,41415,20,40,1502,27,105,2855,50,714,18776,701,701,41188,20,40,1502,27,105,2855,50,714,18776
8199,0120,9999, ,ALBANY SMSA,389,389,11309,25,50,1091,2,6,92,0,0,0,389,389,11309,25,50,1091,2,6,92,0,0,0
8199,0160,9999, ,ALBANY-SCHENECTADY-TROY SMSA,1010,1010,48998,59,118,2802,18,71,1769,28,356,6955,943,943,46108,59,118,2802,18,71,1769,27,346,6689
8199,0200,9999, ,ALBUQUERQUE SMSA,1388,1388,75524,3,6,105,47,181,4041,8,168,3777,1388,1388,75524,3,6,105,47,181,4041,8,168,3777
8199,0220,9999, ,ALEXANDRIA SMSA,79,79,4664,26,52,1340,0,0,0,1,7,182,77,77,4558,26,52,1340,0,0,0,1,7,182
8199,0240,9999, ,ALLENTOWN-BETHLEHEM-EASTON,1094,1094,55896,23,46,1540,9,32,1200,22,739,25465,1039,1039,53261,23,46,1540,9,32,1200,22,739,25465
8199,0280,9999, ,ALTOONA SMSA,145,145,6032,0,0,0,1,4,85,8,81,2111,145,145,6032,0,0,0,1,4,85,8,81,2111
8199,0320,9999, ,AMARILLO SMSA,432,432,31556,6,12,312,2,8,240,29,345,3590,432,432,31556,6,12,312,2,8,240,29,345,3590
8199,0360,9999, ,ANAHEIM-SANTA ANA-GARDEN GR. SMSA,4124,4124,359830,132,264,17883,306,1122,43068,379,3886,126588,4119,4119,359576,132,264,17883,306,1122,43068,379,3886,126588
8199,0380,9999, ,ANCHORAGE SMSA,2160,2160,195979,147,294,19599,58,225,12995,44,436,18798,2160,2160,195979,147,294,19599,58,225,12995,44,436,18798
8199,0400,9999, ,ANDERSON SMSA,81,81,4062,2,4,200,4,16,380,1,8,65,81,81,4062,2,4,200,4,16,380,1,8,65
8199,0405,9999, ,ANDERSON SMSA,452,452,18425,12,24,452,18,68,1394,0,0,0,445,445,18258,12,24,452,18,68,1394,0,0,0
8199,0440,9999, ,ANN ARBOR SMSA,245,245,19398,13,26,1025,0,0,0,0,0,0,245,245,19398,13,26,1025,0,0,0,0,0,0
8199,0450,9999, ,ANNISTON SMSA,102,102,5087,3,6,87,0,0,0,1,5,75,94,94,5002,3,6,87,0,0,0,1,5,75
8199,0460,9999, ,APPLETON-OSHKOSH SMSA,582,582,28091,46,92,2508,22,86,1657,21,207,4549,481,481,22693,37,74,2074,22,86,1657,21,207,4549
8199,0480,9999, ,ASHEVILLE SMSA,634,634,21807,10,20,538,60,234,7387,20,196,5111,634,634,21807,10,20,538,60,234,7387,20,196,5111
8199,0500,9999, ,ATHENS SMSA,313,313,13441,112,224,3468,6,23,294,20,153,2867,313,313,13441,112,224,3468,6,23,294,20,153,2867
8199,0520,9999, ,ATLANTA SMSA,12702,12702,530765,374,748,19162,152,541,12638,522,4605,86223,12660,12660,528783,367,734,18822,149,530,12323,517,4528,84895
8199,0560,9999, ,ATLANTIC CITY SMSA,728,728,36885,27,54,1749,12,44,1391,71,1170,38290,728,728,36885,27,54,1749,12,44,1391,71,1170,38290
8199,0600,9999, ,AUGUSTA GA.-S.C. SMSA,825,825,34333,40,80,1270,5,20,299,31,260,3477,816,816,34082,40,80,1270,5,20,299,31,260,3477
8199,0640,9999, ,AUSTIN SMSA,3351,3351,203583,717,1434,49158,152,605,16988,149,4900,119805,3315,3315,201581,717,1434,49158,152,605,16988,149,4900,119805
8199,0680,9999, ,BAKERSFIELD SMSA,1662,1662,92009,63,126,3511,126,469,16710,58,391,11325,1662,1662,92009,63,126,3511,126,469,16710,58,391,11325
8199,0720,9999, ,BALTIMORE SMSA,5301,5301,267243,5,10,260,4,14,340,30,1221,37874,5301,5301,267243,5,10,260,4,14,340,30,1221,37874
8199,0730,9999, ,BANGOR SMSA,85,85,3328,1,2,60,5,19,250,1,12,360,75,75,3011,1,2,60,5,19,250,1,12,360
8199,0760,9999, ,BATON ROUGE SMSA,1715,1715,48133,112,224,3669,180,712,14743,78,1148,18478,1715,1715,48133,112,224,3669,180,712,14743,78,1148,18478
8199,0780,9999, ,BATTLE CREEK SMSA,207,207,9252,2,4,88,2,8,180,0,0,0,189,189,8551,2,4,88,2,8,180,0,0,0
8199,0800,9999, ,BAY CITY SMSA,87,87,3391,0,0,0,0,0,0,0,0,0,87,87,3391,0,0,0,0,0,0,0,0,0
8199,0840,9999, ,BEAUMONT-PORT ARTHUR-ORANGE SMSA,955,955,43865,6,12,384,1,3,71,61,844,17394,911,911,42170,6,12,384,1,3,71,61,844,17394
