Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202207,174,19140,C,Dalton  GA ,232,232,42680,7,14,695,3,12,1760,6,30,1610,188,188,32294,7,14,695,3,12,1760,6,30,1610
202207,176,16980,C,Chicago-Naperville-Elgin  IL-IN-WI ,5436,5436,1730572,71,142,27776,132,428,87729,151,3586,619949,4546,4546,1471319,69,138,27076,124,402,83573,109,3245,567316
202207,176,28100,C,Kankakee  IL ,71,71,18276,0,0,0,0,0,0,0,0,0,57,57,13766,0,0,0,0,0,0,0,0,0
202207,176,33140,C,Michigan City-La Porte  IN ,66,66,20601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202207,178,17140,C,Cincinnati  OH-KY-IN ,2696,2696,855371,88,176,26680,30,104,12976,50,948,109068,2368,2368,772116,88,176,26680,30,104,12976,44,838,100597
202207,184,10420,C,Akron  OH ,429,429,147810,0,0,0,19,69,11118,53,296,32800,363,363,122145,0,0,0,14,54,5943,43,230,29921
202207,184,15940,C,Canton-Massillon  OH ,254,254,83693,15,30,5730,13,43,4999,14,87,7138,219,219,78836,15,30,5730,8,28,4230,5,32,2914
202207,184,17460,C,Cleveland-Elyria  OH ,1766,1766,552503,10,20,1996,19,69,8379,17,238,38756,1349,1349,453715,2,4,1290,16,60,7757,15,228,34235
202207,190,17860,C,Columbia  MO ,401,401,137593,2,4,396,0,0,0,6,65,8609,343,343,124947,2,4,396,0,0,0,6,65,8609
202207,192,17900,C,Columbia  SC ,3124,3124,707450,2,4,1026,46,172,24859,50,1009,148292,854,854,164999,2,4,1026,46,172,24859,35,919,135089
202207,194,12220,C,Auburn-Opelika  AL ,788,788,207378,8,16,2601,2,7,645,10,457,57952,170,170,48706,0,0,0,0,0,0,0,0,0
202207,194,17980,C,Columbus  GA-AL ,470,470,121104,12,24,4500,0,0,0,21,573,123718,312,312,82865,0,0,0,0,0,0,0,0,0
202207,198,18140,C,Columbus  OH ,3605,3605,1255102,24,48,9609,11,40,4561,167,2867,222853,3038,3038,1059068,22,44,8834,9,34,3532,153,2753,214852
202207,204,18580,C,Corpus Christi  TX ,1212,1212,294166,0,0,0,0,0,0,14,238,19495,876,876,208717,0,0,0,0,0,0,0,0,0
202207,206,19100,C,Dallas-Fort Worth-Arlington  TX ,29673,29673,8119241,239,478,61735,123,463,56884,421,19351,2418401,25344,25344,6894984,221,442,56637,109,412,52833,400,19015,2378735
202207,206,43300,C,Sherman-Denison  TX ,1038,1038,202692,18,36,4052,0,0,0,16,469,57662,837,837,168548,11,22,2861,0,0,0,9,396,50458
202207,209,19340,C,Davenport-Moline-Rock Island  IA-IL ,300,300,75536,7,14,2725,15,53,10304,3,15,1713,214,214,58133,6,12,2400,14,50,10054,0,0,0
202207,212,19430,C,Dayton-Kettering  OH ,824,824,301475,2,4,507,10,35,4730,32,554,66703,513,513,202536,0,0,0,8,29,4133,25,357,42806
202207,212,44220,C,Springfield  OH ,78,78,25982,0,0,0,13,51,5303,1,6,652,78,78,25982,0,0,0,13,51,5303,1,6,652
202207,216,14500,C,Boulder  CO ,285,285,147294,9,18,8053,12,40,24363,24,320,70701,261,261,122045,8,16,6930,11,37,23660,14,155,30528
202207,216,19740,C,Denver-Aurora-Lakewood  CO ,7194,7194,2186470,172,344,64802,34,126,26851,175,8061,1189916,6132,6132,1871520,171,342,64186,29,111,24779,96,3035,540861
202207,216,24540,C,Greeley  CO ,2327,2327,683218,11,22,2894,10,34,7078,76,1468,207510,945,945,289390,0,0,0,4,16,3408,57,1136,157327
202207,218,11180,C,Ames  IA ,151,151,45736,1,2,482,0,0,0,0,0,0,76,76,26650,1,2,482,0,0,0,0,0,0
202207,218,19780,C,Des Moines-West Des Moines  IA ,2515,2515,781459,25,50,11850,11,39,9282,27,982,168933,2343,2343,719553,23,46,11269,7,27,6763,15,909,161021
202207,220,11460,C,Ann Arbor  MI ,382,382,121734,2,4,861,3,9,1458,2,13,685,281,281,96109,2,4,861,1,3,700,1,8,135
202207,220,19820,C,Detroit-Warren-Dearborn  MI ,3170,3170,1082960,17,34,6826,52,193,35943,79,2015,496513,2505,2505,877383,15,30,6170,42,159,33254,72,1977,489223
202207,220,22420,C,Flint  MI ,232,232,60986,0,0,0,16,51,1767,0,0,0,144,144,39897,0,0,0,15,48,1099,0,0,0
202207,220,33780,C,Monroe  MI ,135,135,33851,0,0,0,1,4,500,7,44,2693,83,83,22012,0,0,0,1,4,500,0,0,0
202207,222,20020,C,Dothan  AL ,283,283,80091,5,10,866,1,4,479,0,0,0,162,162,53474,5,10,866,1,4,479,0,0,0
202207,232,20740,C,Eau Claire  WI ,232,232,83220,35,70,13950,3,12,2193,13,245,32815,175,175,66066,11,22,4682,3,12,2193,6,65,9680
202207,236,21300,C,Elmira  NY ,13,13,2717,0,0,0,0,0,0,2,20,2241,3,3,600,0,0,0,0,0,0,0,0,0
202207,238,21340,C,El Paso  TX ,1674,1674,394568,36,72,9106,6,18,2369,16,126,14909,242,242,60443,0,0,0,0,0,0,0,0,0
202207,238,29740,C,Las Cruces  NM ,726,726,193787,3,6,1065,2,8,1659,0,0,0,646,646,176009,3,6,1065,2,8,1659,0,0,0
202207,240,21500,C,Erie  PA ,106,106,35606,4,8,1005,0,0,0,5,30,2152,69,69,26976,4,8,1005,0,0,0,5,30,2152
202207,244,22020,C,Fargo  ND-MN ,705,705,230344,0,0,0,0,0,0,14,741,87254,686,686,223268,0,0,0,0,0,0,14,741,87254
202207,246,22180,C,Fayetteville  NC ,1466,1466,289875,1,2,340,1,4,531,5,74,5902,986,986,223630,1,2,340,1,4,531,5,74,5902
202207,258,23060,C,Fort Wayne  IN ,889,889,273466,15,30,3662,0,0,0,11,452,53446,889,889,273466,15,30,3662,0,0,0,11,452,53446
