Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9099,0040,9999, ,Abilene TX MSA,109,109,9412,0,0,0,3,9,750,0,0,0,73,73,7720,0,0,0,3,9,750,0,0,0
9099,0120,9999, ,Albany GA MSA,334,334,19925,4,8,237,7,28,372,2,14,300,334,334,19925,4,8,237,7,28,372,2,14,300
9099,0160,9999, ,Albany-Schenectady-Troy NY MSA,2121,2121,221422,84,168,6553,29,115,4595,44,520,15734,2094,2094,219073,84,168,6553,29,115,4595,44,520,15734
9099,0200,9999, ,Albuquerque NM MSA,1470,1470,134200,0,0,0,0,0,0,53,420,17542,1470,1470,134200,0,0,0,0,0,0,53,420,17542
9099,0220,9999, ,Alexandria LA MSA,56,56,4505,2,4,40,0,0,0,0,0,0,52,52,4324,2,4,40,0,0,0,0,0,0
9099,0240,9999, ,Allentown-Bethlehem-Easton PA-NJ MSA,1867,1867,173597,17,34,1475,4,13,360,25,237,8066,1860,1860,173133,17,34,1475,4,13,360,25,237,8066
9099,0280,9999, ,Altoona PA MSA,286,286,18730,3,6,165,6,24,595,3,21,1448,281,281,18576,3,6,165,5,20,535,3,21,1448
9099,0320,9999, ,Amarillo TX MSA,149,149,14819,3,6,304,0,0,0,0,0,0,119,119,13495,3,6,304,0,0,0,0,0,0
9099,0380,9999, ,Anchorage AK MSA,399,399,62476,0,0,0,0,0,0,0,0,0,399,399,62476,0,0,0,0,0,0,0,0,0
9099,0400,9999, ,Anderson IN MSA,158,158,13991,27,54,2137,1,4,300,1,5,156,119,119,10697,25,50,2045,1,4,300,1,5,156
9099,0405,9999, ,Anderson SC MSA,676,676,47114,18,36,906,20,77,3081,14,126,2668,673,673,46887,18,36,906,20,77,3081,14,126,2668
9099,0450,9999, ,Anniston AL MSA,163,163,9204,3,6,90,5,19,362,7,43,656,157,157,8963,3,6,90,5,19,362,7,43,656
9099,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,1084,1084,95034,120,240,9511,7,27,963,82,651,12716,1074,1074,94327,120,240,9511,7,27,963,82,651,12716
9099,0480,9999, ,Asheville NC MSA,767,767,70072,11,22,1266,5,19,1122,1,8,304,767,767,70072,11,22,1266,5,19,1122,1,8,304
9099,0500,9999, ,Athens GA MSA,809,809,62078,38,76,3152,2,7,360,7,65,1923,809,809,62078,38,76,3152,2,7,360,7,65,1923
9099,0520,9999, ,Atlanta GA MSA,20654,20654,1622094,160,320,10254,6,21,925,210,5641,248465,20648,20648,1621731,159,318,10214,6,21,925,209,5636,248153
9099,0560,9999, ,Atlantic City NJ MSA,1097,1097,102686,93,186,17310,8,30,1587,27,334,11393,1096,1096,102600,93,186,17310,8,30,1587,27,334,11393
9099,0600,9999, ,Augusta GA-SC MSA,2289,2289,177594,3,6,126,2,8,512,10,64,912,2288,2288,177553,3,6,126,2,8,512,10,64,912
9099,0640,9999, ,Austin TX MSA,1900,1900,225997,5,10,641,9,36,649,0,0,408,1900,1900,225997,5,10,641,9,36,649,0,0,408
9099,0680,9999, ,Bakersfield CA MSA,4557,4557,427017,29,58,3438,23,84,3422,28,255,11474,4557,4557,427017,29,58,3438,23,84,3422,28,255,11474
9099,0720,9999, ,Baltimore MD MSA,9529,9529,776138,1,2,75,0,0,0,135,4029,127773,9529,9529,776138,1,2,75,0,0,0,135,4029,127773
9099,0730,9999, ,Bangor ME MSA,258,258,18764,3,6,237,19,76,2602,13,102,3587,258,258,18764,3,6,237,19,76,2602,13,102,3587
9099,0760,9999, ,Baton Rouge LA MSA,1011,1011,81276,1,2,60,0,0,0,2,11,304,974,974,78028,1,2,60,0,0,0,2,11,304
9099,0780,9999, ,Battle Creek MI MSA,182,182,13023,0,0,0,0,0,0,2,47,1217,166,166,12234,0,0,0,0,0,0,2,47,1217
9099,0840,9999, ,Beaumont-Port Arthur TX MSA,488,488,40577,1,2,86,0,0,0,0,0,0,488,488,40577,1,2,86,0,0,0,0,0,0
9099,0860,9999, ,Bellingham WA MSA,1109,1109,87487,42,84,4434,47,182,5965,50,599,26428,1074,1074,83862,41,82,4386,42,162,5264,48,584,25003
9099,0870,9999, ,Benton Harbor MI MSA,458,458,38754,27,54,4043,4,16,1152,3,26,1940,431,431,37238,27,54,4043,4,16,1152,3,26,1940
9099,0880,9999, ,Billings MT MSA,152,152,15352,2,4,226,1,4,450,0,0,0,147,147,15128,2,4,226,1,4,450,0,0,0
9099,0920,9999, ,Biloxi-Gulfport MS MSA,483,483,28450,1,2,31,0,0,0,0,0,0,483,483,28450,1,2,31,0,0,0,0,0,0
9099,0960,9999, ,Binghamton NY MSA,428,428,41323,6,12,658,0,0,0,2,72,2650,426,426,41245,5,10,588,0,0,0,2,72,2650
