Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9399,0040,9999, ,Abilene TX MSA,293,293,29083,3,6,300,3,12,1080,0,0,0,229,229,26074,3,6,300,3,12,1080,0,0,0
9399,0120,9999, ,Albany GA MSA,429,429,27299,78,156,5215,11,41,940,3,42,841,429,429,27299,78,156,5215,11,41,940,3,42,841
9399,0160,9999, ,Albany-Schenectady-Troy NY MSA,2488,2488,278299,36,72,3461,13,52,1820,26,305,11218,2381,2381,268659,36,72,3461,13,52,1820,26,305,11218
9399,0200,9999, ,Albuquerque NM MSA,3982,3982,337984,1,2,56,6,22,679,14,329,11048,3764,3764,319916,1,2,56,6,22,679,13,323,10820
9399,0220,9999, ,Alexandria LA MSA,85,85,8366,0,0,0,0,0,0,1,60,1696,77,77,8005,0,0,0,0,0,0,1,60,1696
9399,0240,9999, ,Allentown-Bethlehem-Easton PA MSA,2017,2017,220192,7,14,768,7,25,1488,26,418,13831,1986,1986,217270,7,14,768,7,25,1488,26,418,13831
9399,0280,9999, ,Altoona PA MSA,291,291,25091,0,0,0,2,8,200,0,0,0,280,280,24558,0,0,0,1,4,160,0,0,0
9399,0320,9999, ,Amarillo TX MSA,525,525,55986,2,4,220,3,9,310,0,0,0,473,473,53691,2,4,220,3,9,310,0,0,0
9399,0380,9999, ,Anchorage AK MSA,994,994,157817,3,6,542,15,60,7095,7,135,17065,994,994,157817,3,6,542,15,60,7095,7,135,17065
9399,0450,9999, ,Anniston AL MSA,165,165,11127,0,0,0,0,0,0,3,24,888,159,159,10752,0,0,0,0,0,0,3,24,888
9399,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,1475,1475,149650,111,222,12247,10,39,1702,55,650,14713,1022,1022,107775,80,160,9027,9,35,1589,37,511,11873
9399,0480,9999, ,Asheville NC MSA,1030,1030,100599,37,74,4668,2,7,554,1,8,180,1010,1010,98508,37,74,4668,2,7,554,1,8,180
9399,0500,9999, ,Athens GA MSA,716,716,64755,35,70,2267,2,7,281,6,113,4115,716,716,64755,35,70,2267,2,7,281,6,113,4115
9399,0520,9999, ,Atlanta GA MSA,32091,32091,2913036,57,114,3139,6,24,986,244,3444,150715,31976,31976,2907998,57,114,3139,6,24,986,244,3444,150715
9399,0600,9999, ,Augusta-Aiken GA-SC MSA,2433,2433,210913,2,4,64,6,24,384,9,72,1679,2433,2433,210913,2,4,64,6,24,384,9,72,1679
9399,0640,9999, ,Austin-San Marcos TX MSA,6318,6318,684125,41,82,3487,2,8,173,145,2084,56326,6235,6235,677205,41,82,3487,2,8,173,145,2084,56326
9399,0680,9999, ,Bakersfield CA MSA,3082,3082,295959,18,36,2105,36,136,7499,23,142,7040,3082,3082,295959,18,36,2105,36,136,7499,23,142,7040
9399,0730,9999, ,Bangor ME MSA,196,196,16902,0,0,0,0,0,0,2,32,1000,173,173,15170,0,0,0,0,0,0,2,32,1000
9399,0740,9999, ,Barnstable-Yarmouth MA MSA,1101,1101,122455,3,6,710,9,31,2658,0,0,2336,1097,1097,121834,3,6,710,9,31,2658,0,0,2336
9399,0760,9999, ,Baton Rouge LA MSA,1799,1799,137587,0,0,0,3,12,455,11,187,6948,1791,1791,136874,0,0,0,3,12,455,11,187,6948
9399,0840,9999, ,Beaumont-Port Arthur TX MSA,1072,1072,58933,7,14,659,2,8,365,3,48,1666,1072,1072,58933,7,14,659,2,8,365,3,48,1666
9399,0860,9999, ,Bellingham WA MSA,1099,1099,112563,70,140,12312,53,202,12402,30,218,9842,452,452,55842,67,134,11602,48,187,11569,18,153,7103
9399,0870,9999, ,Benton Harbor MI MSA,495,495,49655,5,10,434,7,27,1935,1,7,800,379,379,41276,5,10,434,3,11,875,1,7,800
9399,0880,9999, ,Billings MT MSA,438,438,44960,20,40,2721,6,24,1500,22,180,6826,438,438,44960,20,40,2721,6,24,1500,22,180,6826
9399,0920,9999, ,Biloxi-Gulfport-Pascagoula MS MSA,1761,1761,109555,16,32,1030,7,28,874,7,67,1863,1626,1626,101003,16,32,1030,7,28,874,7,67,1863
9399,0960,9999, ,Binghamton NY MSA,224,224,22226,5,10,415,3,12,396,4,32,435,204,204,20880,4,8,345,3,12,396,4,32,435
9399,1000,9999, ,Birmingham AL MSA,4211,4211,458064,6,12,409,7,21,528,68,700,23947,3383,3383,385843,1,2,60,2,6,194,65,684,23585
9399,1010,9999, ,Bismarck ND MSA,484,484,49519,9,18,1373,9,36,1592,7,129,4981,481,481,49299,9,18,1373,9,36,1592,7,129,4981
9399,1020,9999, ,Bloomington IN MSA,821,821,75845,51,102,4780,7,23,877,15,99,3338,821,821,75845,51,102,4780,7,23,877,15,99,3338
9399,1040,9999, ,Bloomington-Normal IL MSA,847,847,75205,15,30,1656,6,24,705,19,223,6504,845,845,75105,15,30,1656,6,24,705,19,223,6504
