Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9299,0040,9999, ,Abilene TX MSA,269,269,27001,2,4,140,1,4,1500,0,0,0,217,217,24555,2,4,140,1,4,1500,0,0,0
9299,0120,9999, ,Albany GA MSA,398,398,27073,76,152,5070,0,0,0,1,16,650,398,398,27073,76,152,5070,0,0,0,1,16,650
9299,0160,9999, ,Albany-Schenectady-Troy NY MSA,2463,2463,265498,53,106,4966,10,34,3198,29,436,18383,2410,2410,260298,53,106,4966,10,34,3198,29,436,18383
9299,0200,9999, ,Albuquerque NM MSA,2405,2405,230792,0,0,0,1,4,134,1,56,2132,2405,2405,230792,0,0,0,1,4,134,1,56,2132
9299,0220,9999, ,Alexandria LA MSA,62,62,5941,0,0,0,0,0,0,4,24,500,62,62,5941,0,0,0,0,0,0,4,24,500
9299,0240,9999, ,Allentown-Bethlehem-Easton PA-NJ MSA,2374,2374,247508,8,16,595,15,54,2638,17,385,15992,2354,2354,245827,8,16,595,15,54,2638,17,385,15992
9299,0280,9999, ,Altoona PA MSA,272,272,22677,17,34,1143,3,9,407,3,54,1855,272,272,22677,17,34,1143,3,9,407,3,54,1855
9299,0320,9999, ,Amarillo TX MSA,352,352,38394,6,12,466,0,0,0,0,0,0,309,309,36497,6,12,466,0,0,0,0,0,0
9299,0380,9999, ,Anchorage AK MSA,639,639,99878,5,10,943,0,0,0,0,0,0,639,639,99878,5,10,943,0,0,0,0,0,0
9299,0400,9999, ,Anderson IN MSA,292,292,29940,8,16,878,7,25,1268,1,12,180,287,287,29648,8,16,878,7,25,1268,1,12,180
9299,0405,9999, ,Anderson SC MSA,789,789,60938,2,4,130,2,7,185,1,8,190,786,786,60784,2,4,130,2,7,185,1,8,190
9299,0450,9999, ,Anniston AL MSA,155,155,10361,0,0,0,0,0,0,3,24,680,155,155,10361,0,0,0,0,0,0,3,24,680
9299,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,1598,1598,152568,121,242,12017,14,50,1804,54,648,13514,1245,1245,120524,93,186,9260,11,41,1660,34,463,9880
9299,0480,9999, ,Asheville NC MSA,913,913,88716,21,42,2433,4,16,521,24,309,5769,913,913,88716,21,42,2433,4,16,521,24,309,5769
9299,0500,9999, ,Athens GA MSA,836,836,69535,51,102,3709,1,3,289,8,76,3523,836,836,69535,51,102,3709,1,3,289,8,76,3523
9299,0520,9999, ,Atlanta GA MSA,27171,27171,2357262,65,130,4267,7,27,1058,45,708,31286,27017,27017,2348680,65,130,4267,7,27,1058,45,708,31286
9299,0560,9999, ,Atlantic City NJ MSA,816,816,68491,63,126,8655,0,0,0,1,78,4100,811,811,67328,63,126,8655,0,0,0,1,78,4100
9299,0600,9999, ,Augusta GA-SC MSA,2563,2563,218144,5,10,228,10,32,754,2,28,420,2562,2562,218104,5,10,228,10,32,754,2,28,420
9299,0640,9999, ,Austin TX MSA,4619,4619,456421,13,26,1502,2,8,448,49,996,18489,4581,4581,453296,13,26,1502,2,8,448,49,996,18489
9299,0680,9999, ,Bakersfield CA MSA,3851,3851,341190,26,52,2625,56,197,9874,31,266,13451,3851,3851,341190,26,52,2625,56,197,9874,31,266,13451
9299,0720,9999, ,Baltimore MD MSA,13335,13335,1164462,4,8,288,22,87,3748,89,2051,78505,13335,13335,1164462,4,8,288,22,87,3748,89,2051,78505
9299,0730,9999, ,Bangor ME MSA,190,190,14927,2,4,165,5,20,720,0,0,0,187,187,14718,2,4,165,5,20,720,0,0,0
9299,0760,9999, ,Baton Rouge LA MSA,1575,1575,119116,1,2,45,0,0,0,24,216,9971,1575,1575,119116,1,2,45,0,0,0,24,216,9971
9299,0780,9999, ,Battle Creek MI MSA,177,177,14750,1,2,200,0,0,0,6,216,3577,152,152,13082,1,2,200,0,0,0,6,216,3577
9299,0840,9999, ,Beaumont-Port Arthur TX MSA,755,755,62744,3,6,223,0,0,0,0,0,0,754,754,62612,3,6,223,0,0,0,0,0,0
9299,0860,9999, ,Bellingham WA MSA,1049,1049,101706,60,120,8936,13,46,2805,33,369,17852,800,800,79626,60,120,8936,12,42,2680,28,327,16083
9299,0870,9999, ,Benton Harbor MI MSA,488,488,50182,2,4,150,1,4,800,0,0,0,485,485,50058,2,4,150,1,4,800,0,0,0
9299,0880,9999, ,Billings MT MSA,431,431,42474,8,16,1151,0,0,0,0,0,0,424,424,42160,8,16,1151,0,0,0,0,0,0
9299,0920,9999, ,Biloxi-Gulfport MS MSA,643,643,43057,4,8,273,2,8,366,0,0,0,589,589,41193,4,8,273,2,8,366,0,0,0
9299,0960,9999, ,Binghamton NY MSA,370,370,38429,5,10,349,0,0,0,0,0,0,361,361,37799,4,8,279,0,0,0,0,0,0
