Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202204,104,10580,C,Albany-Schenectady-Troy  NY ,492,492,151287,33,66,15200,3,12,2563,24,265,28416,400,400,128290,27,54,13720,2,8,2040,13,160,12935
202204,104,24020,C,Glens Falls  NY ,73,73,20019,1,2,297,3,11,1439,2,10,1155,39,39,11875,1,2,297,3,11,1439,2,10,1155
202204,106,10740,C,Albuquerque  NM ,869,869,219881,0,0,0,1,4,400,12,602,65369,736,736,174633,0,0,0,1,4,400,5,565,63827
202204,106,42140,C,Santa Fe  NM ,94,94,34703,0,0,0,0,0,0,0,0,0,94,94,34703,0,0,0,0,0,0,0,0,0
202204,107,11020,C,Altoona  PA ,22,22,6037,0,0,0,0,0,0,6,52,7654,10,10,3342,0,0,0,0,0,0,6,52,7654
202204,108,11100,C,Amarillo  TX ,316,316,77340,10,20,2569,0,0,0,0,0,0,309,309,75200,10,20,2569,0,0,0,0,0,0
202204,118,11540,C,Appleton  WI ,185,185,64402,16,32,5948,0,0,0,4,32,3130,135,135,50089,16,32,5948,0,0,0,0,0,0
202204,118,36780,C,Oshkosh-Neenah  WI ,110,110,40040,2,4,598,0,0,0,6,46,4600,96,96,35187,2,4,598,0,0,0,6,46,4600
202204,120,11700,C,Asheville  NC ,1067,1067,343696,4,8,1352,0,0,0,22,469,47037,467,467,161120,1,2,30,0,0,0,1,12,912
202204,122,12020,C,Athens-Clarke County  GA ,308,308,88259,1,2,60,0,0,0,32,666,76583,174,174,59036,1,2,60,0,0,0,32,666,76583
202204,122,12060,C,Atlanta-Sandy Springs-Alpharetta  GA ,10137,10137,2522836,24,48,9715,38,139,15991,137,5430,653403,9082,9082,2302134,24,48,9715,38,139,15991,124,4893,588483
202204,122,23580,C,Gainesville  GA ,473,473,113912,0,0,0,12,44,4390,9,204,42638,105,105,27281,0,0,0,12,44,4390,9,204,42638
202204,122,40660,C,Rome  GA ,84,84,14268,0,0,0,0,0,0,0,0,0,84,84,14268,0,0,0,0,0,0,0,0,0
202204,140,13460,C,Bend  OR ,443,443,162748,26,52,9057,11,35,3208,13,221,29708,443,443,162748,26,52,9057,11,35,3208,13,221,29708
202204,142,13820,C,Birmingham-Hoover  AL ,1191,1191,378382,1,2,160,0,0,0,6,333,47930,904,904,275571,1,2,160,0,0,0,6,333,47930
202204,144,14020,C,Bloomington  IN ,100,100,27442,3,6,852,0,0,0,7,329,36864,21,21,6145,0,0,0,0,0,0,0,0,0
202204,145,14010,C,Bloomington  IL ,100,100,27445,0,0,0,0,0,0,0,0,0,97,97,26654,0,0,0,0,0,0,0,0,0
202204,146,14100,C,Bloomsburg-Berwick  PA ,32,32,7430,0,0,0,0,0,0,1,5,454,14,14,3523,0,0,0,0,0,0,0,0,0
202204,147,14260,C,Boise City  ID ,2658,2658,693309,5,10,2200,40,159,16144,89,1483,200467,1870,1870,512597,5,10,2200,40,159,16144,52,959,116045
202204,148,12700,C,Barnstable Town  MA ,179,179,96045,8,16,1362,1,3,900,0,0,0,90,90,53773,7,14,1090,0,0,0,0,0,0
202204,148,14460,C,Boston-Cambridge-Newton  MA-NH ,1381,1381,510340,69,138,33706,37,119,26715,123,3767,878847,796,796,323639,48,96,23104,27,88,20268,55,2971,746974
202204,148,31700,C,Manchester-Nashua  NH ,243,243,67453,5,10,1910,1,3,539,1,40,3835,79,79,29255,0,0,0,0,0,0,1,40,3835
202204,148,39300,C,Providence-Warwick  RI-MA ,525,525,141110,35,70,9271,2,8,1173,4,21,2807,238,238,78970,30,60,7644,2,8,1173,1,6,949
202204,148,49340,C,Worcester  MA-CT ,403,403,112582,13,26,5422,1,3,465,14,206,26090,172,172,49375,9,18,3840,1,3,465,1,14,2416
202204,150,14540,C,Bowling Green  KY ,295,295,72015,2,4,400,3,11,1025,23,184,13317,294,294,71865,2,4,400,2,8,800,23,184,13317
202204,154,15180,C,Brownsville-Harlingen  TX ,743,743,86048,12,24,1839,9,29,3387,8,84,6760,312,312,36115,2,4,202,0,0,0,0,0,0
202204,160,15380,C,Buffalo-Cheektowaga  NY ,312,312,109827,7,14,2622,0,0,0,12,133,22625,239,239,91693,7,14,2622,0,0,0,3,22,2794
202204,162,15540,C,Burlington-South Burlington  VT ,150,150,47970,4,8,1579,1,3,145,17,129,14985,63,63,19525,0,0,0,0,0,0,5,38,4608
202204,163,15980,C,Cape Coral-Fort Myers  FL ,3723,3723,788716,27,54,6709,16,64,8243,37,953,173277,3723,3723,788716,27,54,6709,16,64,8243,37,953,173277
202204,163,34940,C,Naples-Marco Island  FL ,1357,1357,561050,7,14,2060,15,57,12591,20,552,102716,128,128,239308,0,0,0,0,0,0,1,72,36000
202204,164,16020,C,Cape Girardeau  MO-IL ,34,34,9693,1,2,325,2,6,150,3,15,1732,0,0,0,0,0,0,0,0,0,0,0,0
202204,168,16300,C,Cedar Rapids  IA ,151,151,33499,9,18,3456,0,0,0,5,225,21260,111,111,22384,7,14,2781,0,0,0,5,225,21260
202204,168,26980,C,Iowa City  IA ,165,165,51551,16,32,7601,1,4,700,4,191,38568,116,116,38411,1,2,800,1,4,700,3,178,36705
202204,170,16620,C,Charleston  WV ,59,59,8461,0,0,0,0,0,0,0,0,0,33,33,4923,0,0,0,0,0,0,0,0,0
202204,170,26580,C,Huntington-Ashland  WV-KY-OH ,91,91,17795,3,6,300,2,6,280,0,0,0,0,0,0,3,6,300,2,6,280,0,0,0
