Survey,CSA,CBSA,MONCOV,CBSA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,Code,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,      Bldgs,Units,Value,Bldgs,Units,Value
 
202206,104,10580, ,Albany-Schenectady-Troy  NY ,710,710,227235,34,68,15376,6,22,3871,33,440,59896,410,410,138621,1,2,720,2,8,2040,3,61,6195
202206,104,24020, ,Glens Falls  NY ,114,114,31425,1,2,297,3,11,1439,2,10,1155,62,62,18953,1,2,297,3,11,1439,2,10,1155
202206,106,10740, ,Albuquerque  NM ,1240,1240,325463,0,0,0,1,4,400,17,957,93718,1160,1160,305442,0,0,0,1,4,400,7,898,91260
202206,106,42140,C,Santa Fe  NM ,112,112,47647,0,0,0,0,0,0,0,0,0,112,112,47647,0,0,0,0,0,0,0,0,0
202206,107,11020, ,Altoona  PA ,40,40,11691,0,0,0,0,0,0,6,52,7654,16,16,5812,0,0,0,0,0,0,6,52,7654
202206,108,11100, ,Amarillo  TX ,450,450,111786,13,26,3350,0,0,0,2,72,9186,441,441,109021,13,26,3350,0,0,0,2,72,9186
202206,118,11540, ,Appleton  WI ,281,281,102174,37,74,14063,0,0,0,9,141,21656,238,238,89132,37,74,14063,0,0,0,1,77,15703
202206,118,36780, ,Oshkosh-Neenah  WI ,162,162,58913,5,10,2013,0,0,0,6,46,4600,149,149,54524,5,10,2013,0,0,0,6,46,4600
202206,120,11700, ,Asheville  NC ,1628,1628,550298,3,6,911,0,0,0,29,569,59972,717,717,255435,1,2,30,0,0,0,2,22,2112
202206,122,12020, ,Athens-Clarke County  GA ,476,476,140605,2,4,383,0,0,0,32,666,76583,264,264,88751,2,4,383,0,0,0,32,666,76583
202206,122,12060, ,Atlanta-Sandy Springs-Alpharetta  GA ,14987,14987,3624359,31,62,12132,38,139,15991,194,7318,917753,13223,13223,3234248,31,62,12132,38,139,15991,176,6748,846196
202206,122,23580,C,Gainesville  GA ,718,718,173335,1,2,198,12,44,4390,17,445,82250,174,174,45150,1,2,198,12,44,4390,17,445,82250
202206,122,40660,C,Rome  GA ,147,147,27311,0,0,0,0,0,0,0,0,0,147,147,27311,0,0,0,0,0,0,0,0,0
202206,140,13460,C,Bend  OR ,699,699,256410,28,56,9781,15,47,7513,15,245,29948,699,699,256410,28,56,9781,15,47,7513,15,245,29948
202206,142,13820, ,Birmingham-Hoover  AL ,1785,1785,584272,1,2,160,0,0,0,6,333,47930,1453,1453,448786,1,2,160,0,0,0,6,333,47930
202206,144,14020, ,Bloomington  IN ,173,173,51649,3,6,852,0,0,0,3,99,11625,171,171,51248,3,6,852,0,0,0,3,99,11625
202206,145,14010, ,Bloomington  IL ,158,158,41624,2,4,292,0,0,0,1,54,7800,92,92,24591,0,0,0,0,0,0,1,54,7800
202206,146,14100, ,Bloomsburg-Berwick  PA ,49,49,13076,0,0,0,0,0,0,3,17,1542,22,22,6521,0,0,0,0,0,0,0,0,0
202206,147,14260, ,Boise City  ID ,3879,3879,1000765,12,24,5551,60,239,25097,152,2702,429494,3349,3349,850044,12,24,5551,59,235,24706,126,2510,402744
202206,148,12700,C,Barnstable Town  MA ,287,287,162375,8,16,1590,3,9,2200,0,0,0,122,122,78423,7,14,1400,3,9,2200,0,0,0
202206,148,14460, ,Boston-Cambridge-Newton  MA-NH ,2064,2064,775329,110,220,55973,61,201,44503,225,5431,1252980,1135,1135,485128,71,142,37055,37,126,26898,81,3963,1046661
202206,148,31700, ,Manchester-Nashua  NH ,364,364,105046,7,14,2684,3,9,1616,1,40,3835,137,137,50421,0,0,0,0,0,0,1,40,3835
202206,148,39300, ,Providence-Warwick  RI-MA ,827,827,222574,52,104,15465,8,26,3521,9,61,6481,339,339,117328,15,30,5373,1,4,523,1,18,1800
202206,148,49340, ,Worcester  MA-CT ,620,620,170381,25,50,10329,1,3,465,21,779,122749,323,323,88689,17,34,7246,1,3,465,8,575,98035
202206,150,14540, ,Bowling Green  KY ,497,497,121802,2,4,400,3,11,1025,31,280,20667,495,495,121502,2,4,400,2,8,800,31,280,20667
202206,154,15180, ,Brownsville-Harlingen  TX ,1001,1001,122177,21,42,3537,13,43,5290,13,139,11843,63,63,17408,0,0,0,0,0,0,0,0,0
202206,160,15380, ,Buffalo-Cheektowaga  NY ,505,505,181028,9,18,3382,2,8,1482,17,179,32584,385,385,146758,9,18,3382,2,8,1482,4,27,3745
202206,162,15540, ,Burlington-South Burlington  VT ,236,236,77477,10,20,3358,1,3,145,22,180,19727,130,130,47449,3,6,581,0,0,0,6,47,6408
202206,163,15980,C,Cape Coral-Fort Myers  FL ,5651,5651,1178936,54,108,13799,27,106,13722,78,1398,232287,3422,3422,692807,8,16,1852,23,91,11415,71,1202,216786
202206,163,34940,C,Naples-Marco Island  FL ,1893,1893,803586,8,16,3011,24,96,21880,25,849,127884,1893,1893,803586,8,16,3011,24,96,21880,25,849,127884
202206,164,16020, ,Cape Girardeau  MO-IL ,62,62,17963,1,2,325,2,6,150,3,15,1732,0,0,0,0,0,0,0,0,0,0,0,0
202206,168,16300, ,Cedar Rapids  IA ,256,256,64747,14,28,4945,0,0,0,7,302,29416,243,243,61141,11,22,3837,0,0,0,7,302,29416
202206,168,26980, ,Iowa City  IA ,270,270,86130,20,40,9576,3,11,2180,8,539,106852,189,189,65231,5,10,2775,3,11,2180,5,507,102265
202206,170,16620, ,Charleston  WV ,91,91,12865,0,0,0,0,0,0,0,0,0,60,60,7854,0,0,0,0,0,0,0,0,0
202206,170,26580, ,Huntington-Ashland  WV-KY-OH ,137,137,27049,3,6,300,2,6,280,0,0,0,4,4,722,3,6,300,2,6,280,0,0,0
