Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9699,0040,9999, ,Abilene TX MSA,244,244,28370,1,2,100,3,9,810,8,117,3042,86,86,10653,0,0,0,0,0,0,0,0,0
9699,0120,9999, ,Albany GA MSA,783,783,51853,14,28,1393,13,49,2003,10,96,2384,783,783,51853,14,28,1393,13,49,2003,10,96,2384
9699,0160,9999, ,Albany-Schenectady-Troy NY MSA,1747,1747,200572,31,62,3595,5,19,517,61,813,30722,1500,1500,177366,21,42,2673,3,12,330,52,739,28782
9699,0200,9999, ,Albuquerque NM MSA,4662,4662,624221,6,12,444,12,46,2285,76,1035,43107,3554,3554,553664,5,10,335,12,46,2285,62,958,41016
9699,0220,9999, ,Alexandria LA MSA,369,369,35342,0,0,0,0,0,0,2,65,1816,363,363,34926,0,0,0,0,0,0,2,65,1816
9699,0240,9999, ,Allentown-Bethlehem-Easton PA MSA,2074,2074,214132,11,22,1032,11,41,1862,20,328,19480,1923,1923,199491,11,22,1032,11,41,1862,20,328,19480
9699,0280,9999, ,Altoona PA MSA,239,239,19467,3,6,218,2,8,265,1,6,100,210,210,17908,3,6,218,2,8,265,1,6,100
9699,0320,9999, ,Amarillo TX MSA,568,568,63162,1,2,76,1,3,156,0,0,0,568,568,63162,1,2,76,1,3,156,0,0,0
9699,0380,9999, ,Anchorage AK MSA,859,859,139520,32,64,8246,19,64,8031,14,327,18759,859,859,139520,32,64,8246,19,64,8031,14,327,18759
9699,0450,9999, ,Anniston AL MSA,196,196,15692,2,4,140,0,0,0,20,112,4605,43,43,3585,2,4,140,0,0,0,9,47,1650
9699,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,1746,1746,196620,138,276,17721,16,61,2947,47,663,23096,1386,1386,153908,126,252,16035,16,61,2947,42,631,22237
9699,0480,9999, ,Asheville NC MSA,1007,1007,121029,28,56,3804,18,59,3500,60,482,19351,1000,1000,120315,27,54,3713,18,59,3500,60,482,19351
9699,0500,9999, ,Athens GA MSA,780,780,88752,70,140,5690,10,37,1688,78,934,38716,780,780,88752,70,140,5690,10,37,1688,78,934,38716
9699,0520,9999, ,Atlanta GA MSA,37527,37527,3623459,100,200,7912,23,87,3753,574,10448,462129,37045,37045,3588745,100,200,7912,22,84,3753,574,10448,462129
9699,0600,9999, ,Augusta-Aiken GA-SC MSA,2058,2058,177949,6,12,242,16,62,2200,3,95,3958,2058,2058,177949,6,12,242,16,62,2200,3,95,3958
9699,0640,9999, ,Austin-San Marcos TX MSA,10095,10095,1049700,220,440,22531,16,58,2384,266,6484,234438,9622,9622,1016444,212,424,22349,16,58,2384,266,6484,234438
9699,0680,9999, ,Bakersfield CA MSA,2390,2390,245554,1,2,89,44,159,8309,30,216,13664,2390,2390,245554,1,2,89,44,159,8309,30,216,13664
9699,0730,9999, ,Bangor ME MSA,172,172,17535,0,0,0,0,0,0,0,0,0,170,170,17423,0,0,0,0,0,0,0,0,0
9699,0740,9999, ,Barnstable-Yarmouth MA MSA,1072,1072,143931,7,14,1425,8,25,2239,1,25,875,1072,1072,143931,7,14,1425,8,25,2239,1,25,875
9699,0760,9999, ,Baton Rouge LA MSA,3251,3251,270850,2,4,120,3,12,362,77,1096,40574,2559,2559,218643,2,4,120,3,12,362,77,1096,40574
9699,0840,9999, ,Beaumont-Port Arthur TX MSA,640,640,60769,3,6,309,0,0,0,4,34,909,613,613,58231,3,6,309,0,0,0,4,34,909
9699,0860,9999, ,Bellingham WA MSA,949,949,114186,20,40,3509,37,130,10264,10,169,9315,949,949,114186,20,40,3509,37,130,10264,10,169,9315
9699,0870,9999, ,Benton Harbor MI MSA,579,579,72948,3,6,468,8,25,1591,3,88,1700,413,413,54007,3,6,468,1,4,200,3,88,1700
9699,0880,9999, ,Billings MT MSA,346,346,40018,27,54,4024,1,4,270,10,143,8313,346,346,40018,27,54,4024,1,4,270,10,143,8313
9699,0920,9999, ,Biloxi-Gulfport-Pascagoula MS MSA,1759,1759,151365,10,20,924,5,20,907,31,398,16380,1681,1681,144732,10,20,924,5,20,907,31,398,16380
9699,0960,9999, ,Binghamton NY MSA,155,155,16760,6,12,504,3,12,653,2,30,1826,149,149,16207,3,6,294,3,12,653,2,30,1826
9699,1000,9999, ,Birmingham AL MSA,4774,4774,553539,5,10,404,9,31,1101,118,1884,59266,3981,3981,476910,4,8,335,5,19,963,107,1828,57998
9699,1010,9999, ,Bismarck ND MSA,383,383,40816,4,8,537,1,4,270,7,104,4799,382,382,40716,4,8,537,1,4,270,7,104,4799
9699,1020,9999, ,Bloomington IN MSA,639,639,66261,22,44,2162,4,15,1118,19,181,4547,639,639,66261,22,44,2162,4,15,1118,19,181,4547
