Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

8799,0040,9999,    ,Abilene TX MSA. . . . . . . . . .,208,208,17945,0,0,0,3,12,456,0,0,0,164,164,15876,0,0,0,3,12,456,0,0,0
8799,0120,9999,    ,Albany GA MSA . . . . . . . . . .,345,345,16717,19,38,1114,15,58,741,2,22,380,345,345,16717,19,38,1114,15,58,741,2,22,380
8799,0160,9999,    ,Albany-Schenectady-Troy NY MSA. .,4178,4178,339293,155,310,11050,40,147,7201,45,422,8171,3938,3938,326307,154,308,10970,26,100,6064,45,422,8171
8799,0200,9999,    ,Albuquerque NM MSA. . . . . . . .,3094,3094,237211,5,10,354,13,50,1232,33,868,26754,3060,3060,234306,5,10,354,13,50,1232,33,868,26754
8799,0220,9999,    ,Alexandria LA MSA . . . . . . . .,140,140,11011,0,0,0,0,0,0,0,0,0,138,138,10913,0,0,0,0,0,0,0,0,0
8799,0240,9999,    ,Allentown-Bethlehem PA-NJ MSA . .,4618,4618,363409,61,122,4973,17,64,2259,54,603,19351,4478,4478,356644,59,118,4891,17,64,2259,54,603,19351
8799,0280,9999,    ,Altoona PA MSA. . . . . . . . . .,244,244,13747,7,14,464,5,20,285,1,5,48,222,222,13182,7,14,464,3,12,165,1,5,48
8799,0320,9999,    ,Amarillo TX MSA . . . . . . . . .,501,501,42827,0,0,0,0,0,0,0,0,0,501,501,42827,0,0,0,0,0,0,0,0,0
8799,0380,9999,    ,Anchorage AK MSA. . . . . . . . .,178,178,23621,3,6,240,1,3,175,0,0,0,178,178,23621,3,6,240,1,3,175,0,0,0
8799,0400,9999,    ,Anderson IN MSA . . . . . . . . .,115,115,7425,3,6,165,0,0,0,17,226,3214,110,110,7167,3,6,165,0,0,0,17,226,3214
8799,0405,9999,    ,Anderson SC MSA . . . . . . . . .,626,626,41525,14,28,574,7,28,608,10,73,1460,626,626,41525,14,28,574,7,28,608,10,73,1460
8799,0450,9999,    ,Anniston AL MSA . . . . . . . . .,264,264,14784,0,0,0,4,16,312,0,0,0,234,234,13373,0,0,0,4,16,312,0,0,0
8799,0460,9999,    ,Appleton-Oshkosh-Neenah WI MSA. .,1337,1337,97645,86,172,6566,17,62,1366,55,603,13569,1235,1235,92614,73,146,5968,9,36,825,47,541,12517
8799,0480,9999,    ,Asheville NC MSA. . . . . . . . .,1000,1000,85518,27,54,3063,21,77,3454,24,189,5982,1000,1000,85518,27,54,3063,21,77,3454,24,189,5982
8799,0500,9999,    ,Athens GA MSA . . . . . . . . . .,886,886,62397,33,66,1820,13,46,1404,16,159,4646,886,886,62397,33,66,1820,13,46,1404,16,159,4646
8799,0520,9999,    ,Atlanta GA MSA. . . . . . . . . .,31413,31413,2325126,321,642,21379,83,306,10718,862,11939,353494,31346,31346,2321084,306,612,21001,80,297,10563,857,11908,352857
8799,0560,9999,    ,Atlantic City NJ MSA. . . . . . .,2834,2834,177042,398,796,49731,16,57,3159,146,2351,137304,2823,2823,176605,383,766,48563,16,57,3159,134,1519,68479
8799,0600,9999,    ,Augusta GA-SC MSA . . . . . . . .,2318,2318,154740,5,10,310,15,57,1606,12,93,1754,2308,2308,154282,5,10,310,15,57,1606,12,93,1754
8799,0640,9999,    ,Austin TX MSA . . . . . . . . . .,2374,2374,184764,16,32,1238,0,0,0,36,1000,19080,2366,2366,184401,16,32,1238,0,0,0,36,1000,19080
8799,0680,9999,    ,Bakersfield CA MSA. . . . . . . .,3539,3539,235360,81,162,5588,150,534,18928,54,730,20067,3539,3539,235360,81,162,5588,150,534,18928,54,730,20067
8799,0720,9999,    ,Baltimore MD MSA. . . . . . . . .,14578,14578,1024900,8,16,416,0,0,0,204,3621,156397,14578,14578,1024900,8,16,416,0,0,0,204,3621,156397
8799,0730,9999,    ,Bangor ME MSA . . . . . . . . . .,291,291,20469,2,4,162,8,31,902,14,112,3007,271,271,19456,2,4,162,8,31,902,6,72,1584
8799,0760,9999,    ,Baton Rouge LA MSA. . . . . . . .,933,933,65507,3,6,212,5,19,525,5,157,5638,933,933,65507,3,6,212,5,19,525,5,157,5638
8799,0780,9999,    ,Battle Creek MI MSA . . . . . . .,107,107,6677,6,12,394,0,0,0,26,264,7723,91,91,6090,3,6,124,0,0,0,26,264,7723
8799,0840,9999,    ,Beaumont-Port Arthur TX MSA . . .,418,418,24178,7,14,84,0,0,0,0,0,0,418,418,24178,7,14,84,0,0,0,0,0,0
8799,0860,9999,    ,Bellingham WA MSA . . . . . . . .,386,386,24853,2,4,217,7,25,843,12,77,2511,297,297,20560,2,4,217,5,19,745,2,21,818
8799,0870,9999,    ,Benton Harbor MI MSA. . . . . . .,363,363,28052,4,8,386,5,19,888,4,56,1491,324,324,25460,4,8,386,2,7,240,4,56,1491
