Survey,MSA/,PMSA,,MA,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,CMSA,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value

9499,0040,9999, ,Abilene TX MSA,247,247,27587,1,2,100,0,0,0,10,200,5200,156,156,17226,0,0,0,0,0,0,10,200,5200
9499,0120,9999, ,Albany GA MSA,409,409,26771,94,188,6102,10,37,1022,7,78,1666,409,409,26771,94,188,6102,10,37,1022,7,78,1666
9499,0160,9999, ,Albany-Schenectady-Troy NY MSA,2343,2343,258369,41,82,3715,8,32,705,48,486,18948,2147,2147,242101,34,68,3136,8,32,705,37,424,16697
9499,0200,9999, ,Albuquerque NM MSA,4678,4678,417793,1,2,109,1,4,126,122,1821,82126,4033,4033,379689,1,2,109,1,4,126,116,1791,81181
9499,0220,9999, ,Alexandria LA MSA,358,358,31731,3,6,225,0,0,0,0,0,0,358,358,31731,3,6,225,0,0,0,0,0,0
9499,0240,9999, ,Allentown-Bethlehem-Easton PA MSA,1963,1963,210499,8,16,706,7,23,952,20,280,10577,1944,1944,208781,8,16,706,7,23,952,20,280,10577
9499,0280,9999, ,Altoona PA MSA,274,274,21039,1,2,35,0,0,0,0,0,0,274,274,21039,1,2,35,0,0,0,0,0,0
9499,0320,9999, ,Amarillo TX MSA,497,497,61493,11,22,1049,1,4,160,0,0,0,497,497,61493,11,22,1049,1,4,160,0,0,0
9499,0380,9999, ,Anchorage AK MSA,719,719,108142,6,12,883,0,0,0,12,130,7144,719,719,108142,6,12,883,0,0,0,12,130,7144
9499,0450,9999, ,Anniston AL MSA,200,200,14602,2,4,126,6,24,500,7,41,1274,123,123,9441,2,4,126,6,24,500,2,16,350
9499,0460,9999, ,Appleton-Oshkosh-Neenah WI MSA,1788,1788,192175,151,302,19758,23,91,3208,51,704,21717,1727,1727,184781,147,294,19354,23,91,3208,51,704,21717
9499,0480,9999, ,Asheville NC MSA,911,911,100870,41,82,5016,7,26,1022,12,241,7603,911,911,100870,41,82,5016,7,26,1022,12,241,7603
9499,0500,9999, ,Athens GA MSA,725,725,70821,38,76,2408,4,14,610,27,361,15192,725,725,70821,38,76,2408,4,14,610,27,361,15192
9499,0520,9999, ,Atlanta GA MSA,32860,32860,3096251,57,114,3810,45,175,6035,490,8088,334098,32512,32512,3076734,57,114,3810,45,175,6035,490,8088,334098
9499,0600,9999, ,Augusta-Aiken GA-SC MSA,2376,2376,217153,1,2,82,18,68,1922,23,169,3663,2376,2376,217153,1,2,82,18,68,1922,23,169,3663
9499,0640,9999, ,Austin-San Marcos TX MSA,6267,6267,664682,49,98,4766,5,17,728,213,4403,150516,6150,6150,655380,47,94,4664,5,17,728,213,4403,150516
9499,0680,9999, ,Bakersfield CA MSA,2739,2739,271352,15,30,1448,57,219,12861,21,136,5380,2589,2589,256736,15,30,1448,57,219,12861,17,112,4042
9499,0730,9999, ,Bangor ME MSA,196,196,17716,1,2,60,1,4,125,2,36,1394,177,177,16313,1,2,60,1,4,125,2,36,1394
9499,0740,9999, ,Barnstable-Yarmouth MA MSA,1145,1145,139023,1,2,246,10,30,3405,3,34,2150,1145,1145,139023,1,2,246,10,30,3405,3,34,2150
9499,0760,9999, ,Baton Rouge LA MSA,2341,2341,192470,8,16,519,7,28,1579,45,599,25625,2309,2309,190115,8,16,519,7,28,1579,45,599,25625
9499,0840,9999, ,Beaumont-Port Arthur TX MSA,692,692,62876,7,14,564,4,16,618,7,112,1844,630,630,57093,7,14,564,4,16,618,7,112,1844
9499,0860,9999, ,Bellingham WA MSA,1188,1188,136912,47,94,9478,50,196,13775,60,742,37793,1117,1117,129922,46,92,9308,50,196,13775,59,737,37560
9499,0870,9999, ,Benton Harbor MI MSA,551,551,61788,6,12,635,6,20,1210,2,21,1170,374,374,46512,6,12,635,1,4,150,2,21,1170
9499,0880,9999, ,Billings MT MSA,477,477,48290,8,16,1081,1,4,184,7,45,2004,477,477,48290,8,16,1081,1,4,184,7,45,2004
9499,0920,9999, ,Biloxi-Gulfport-Pascagoula MS MSA,1982,1982,130508,12,24,1003,10,37,1653,46,683,17517,1904,1904,123875,12,24,1003,10,37,1653,46,683,17517
9499,0960,9999, ,Binghamton NY MSA,248,248,18594,5,10,395,1,4,200,0,0,0,232,232,17525,1,2,115,1,4,200,0,0,0
9499,1000,9999, ,Birmingham AL MSA,4105,4105,450147,5,10,351,21,78,1870,52,667,25707,3228,3228,372751,1,2,72,16,63,1590,44,627,24801
9499,1010,9999, ,Bismarck ND MSA,522,522,52633,13,26,2374,8,32,2051,16,304,12890,520,520,52421,13,26,2374,8,32,2051,16,304,12890
9499,1020,9999, ,Bloomington IN MSA,843,843,78835,21,42,2190,4,16,1055,35,311,12618,818,818,76695,18,36,1927,4,16,1055,33,301,12282
