Survey , FIPS , FIPS , Region , Division , County ,   , 1-unit ,   ,   , 2-unit ,   ,   , 34unit ,   ,   , 5-unit ,   ,   , 1-unit rep ,   ,   , 2-unit rep ,   ,   , 34-unit rep ,   ,   , 5-unit rep ,   ,  
Date , State , County , Code , Code , Name , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  ,  Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value 
9099  ,     01  , 047  , 3  , 6  , Dallas County  , 5  , 5  , 202000  , 1  , 2  , 12000  , 1  , 4  , 100000  , 0  , 0  , 0  , 5  , 5  , 202000  , 1  , 2  , 12000  , 1  , 4  , 100000  , 0  , 0  , 0
9099  ,     01  , 049  , 3  , 6  , DeKalb County  , 45  , 45  , 2469300  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 38  , 38  , 2172400  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 051  , 3  , 6  , Elmore County  , 10  , 10  , 595715  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 10  , 10  , 595715  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 053  , 3  , 6  , Escambia County  , 18  , 18  , 1359100  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 15  , 15  , 1221600  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 055  , 3  , 6  , Etowah County  , 114  , 114  , 6575764  , 1  , 2  , 48000  , 0  , 0  , 0  , 2  , 16  , 350000  , 114  , 114  , 6575764  , 1  , 2  , 48000  , 0  , 0  , 0  , 2  , 16  , 350000
9099  ,     01  , 057  , 3  , 6  , Fayette County  , 6  , 6  , 256300  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 059  , 3  , 6  , Franklin County  , 25  , 25  , 1230000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 25  , 25  , 1230000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 061  , 3  , 6  , Geneva County  , 12  , 12  , 367000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 12  , 12  , 367000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 063  , 3  , 6  , Greene County  , 2  , 2  , 95000  , 0  , 0  , 0  , 6  , 24  , 1102788  , 0  , 0  , 0  , 2  , 2  , 95000  , 0  , 0  , 0  , 6  , 24  , 1102788  , 0  , 0  , 0
9099  ,     01  , 065  , 3  , 6  , Hale County  , 1  , 1  , 45000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 1  , 1  , 45000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 067  , 3  , 6  , Henry County  , 39  , 39  , 1987500  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 39  , 39  , 1987500  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 069  , 3  , 6  , Houston County  , 295  , 295  , 17779540  , 6  , 12  , 282100  , 0  , 0  , 0  , 0  , 0  , 0  , 295  , 295  , 17779540  , 6  , 12  , 282100  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 071  , 3  , 6  , Jackson County  , 51  , 51  , 2610785  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 51  , 51  , 2610785  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9099  ,     01  , 073  , 3  , 6  , Jefferson County  , 1693  , 1693  , 159674120  , 0  , 0  , 0  , 0  , 0  , 0  , 78  , 1162  , 44521301  , 1664  , 1664  , 157738988  , 0  , 0  , 0  , 0  , 0  , 0  , 78  , 1162  , 44521301
