Survey , FIPS , FIPS , Region , Division , County ,   , 1-unit ,   ,   , 2-unit ,   ,   , 34unit ,   ,   , 5-unit ,   ,   , 1-unit rep ,   ,   , 2-unit rep ,   ,   , 34-unit rep ,   ,   , 5-unit rep ,   ,  
Date , State , County , Code , Code , Name , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  ,  Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value  , Bldgs  , Units , Value 

9199  ,     01  , 001  , 3  , 6  , Autauga County  , 142  , 142  , 7463350  , 0  , 0  , 0  , 1  , 4  , 75000  , 2  , 32  , 653000  , 142  , 142  , 7463350  , 0  , 0  , 0  , 1  , 4  , 75000  , 2  , 32  , 653000
9199  ,     01  , 003  , 3  , 6  , Baldwin County  , 1030  , 1030  , 81657755  , 27  , 54  , 2182393  , 1  , 3  , 283000  , 1  , 122  , 6100000  , 1030  , 1030  , 81657755  , 27  , 54  , 2182393  , 1  , 3  , 283000  , 1  , 122  , 6100000
9199  ,     01  , 005  , 3  , 6  , Barbour County  , 57  , 57  , 2938750  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 57  , 57  , 2938750  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9199  ,     01  , 007  , 3  , 6  , Bibb County  , 1  , 1  , 32850  , 0  , 0  , 0  , 0  , 0  , 0  , 4  , 36  , 1000000  , 1  , 1  , 32850  , 0  , 0  , 0  , 0  , 0  , 0  , 4  , 36  , 1000000
9199  ,     01  , 009  , 3  , 6  , Blount County  , 24  , 24  , 1464745  , 1  , 2  , 72000  , 0  , 0  , 0  , 0  , 0  , 0  , 24  , 24  , 1464745  , 1  , 2  , 72000  , 0  , 0  , 0  , 0  , 0  , 0
9199  ,     01  , 011  , 3  , 6  , Bullock County  , 3  , 3  , 112000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 3  , 3  , 112000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9199  ,     01  , 013  , 3  , 6  , Butler County  , 8  , 8  , 247075  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 5  , 5  , 246985  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9199  ,     01  , 015  , 3  , 6  , Calhoun County  , 117  , 117  , 7542857  , 0  , 0  , 0  , 5  , 20  , 320000  , 3  , 18  , 400000  , 112  , 112  , 7216607  , 0  , 0  , 0  , 5  , 20  , 320000  , 3  , 18  , 400000
9199  ,     01  , 017  , 3  , 6  , Chambers County  , 8  , 8  , 330000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 8  , 8  , 330000  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9199  ,     01  , 019  , 3  , 6  , Cherokee County  , 15  , 15  , 670900  , 1  , 2  , 35000  , 5  , 19  , 380000  , 0  , 0  , 0  , 11  , 11  , 504500  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
9199  ,     01  , 021  , 3  , 6  , Chilton County  , 27  , 27  , 1466851  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 27  , 27  , 1466851  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0  , 0
