Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2004,02,529000,122,2960,999,99999, , ,99664      ,4,9,12,Seward,10,10,1915000,1,2,200000,0,0,0,0,0,0,10,10,1915000,1,2,200000,0,0,0,0,0,0
2004,02,557000,220,    ,999,99999, , ,99835      ,4,9,12,Sitka Borough,39,39,7953000,0,0,0,2,7,1100000,0,0,0,39,39,7953000,0,0,0,2,7,1100000,0,0,0
2004,02,561000,232,3050,999,99999, , ,99840      ,4,9,12,Skagway,1,1,200000,0,0,0,0,0,0,0,0,0,1,1,200000,0,0,0,0,0,0,0,0,0
2004,02,565000,122,3070,999,99999, , ,99669      ,4,9,12,Soldotna,24,24,3620472,0,0,0,0,0,0,0,0,0,24,24,3620472,0,0,0,0,0,0,0,0,0
2004,02,581000,016,2880,999,99999,2, ,99660      ,4,9,0,St. Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,02,597000,232,3290,999,99999, , ,99841      ,4,9,12,Tenakee Springs,5,5,806175,0,0,0,0,0,0,0,0,0,5,5,806175,0,0,0,0,0,0,0,0,0
2004,02,625000,016,3430,999,99999, , ,99685      ,4,9,0,Unalaska,6,6,577810,0,0,0,0,0,0,1,5,716362,0,0,0,0,0,0,0,0,0,0,0,0
2004,02,633000,261,3470,999,99999, , ,99686      ,4,9,12,Valdez,10,10,1098800,0,0,0,0,0,0,0,0,0,10,10,1098800,0,0,0,0,0,0,0,0,0
2004,02,645000,170,3520,999,11260, , ,99654      ,4,9,12,Wasilla,49,49,7956631,16,32,3141168,7,22,1558248,1,30,2336730,49,49,7956631,16,32,3141168,7,22,1558248,1,30,2336730
2004,02,653000,261,3550,999,99999, , ,99693      ,4,9,12,Whittier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,02,657000,280,3590,999,99999, , ,99929      ,4,9,12,Wrangell,3,3,350000,0,0,0,0,0,0,0,0,0,3,3,350000,0,0,0,0,0,0,0,0,0
2004,02,661000,282,3610,999,99999, , ,99689      ,4,9,4,City and Borough of Yakutat,5,5,552500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
