Survey,State,6-Digit,County,Place,MSA/,PMSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CMSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2001,02,565000,122,3070,9999,9999, ,99669      ,4,9,12,,Soldotna,21,21,3858847,0,0,0,0,0,0,0,0,0,21,21,3858847,0,0,0,0,0,0,0,0,0
2001,02,597000,232,3290,9999,9999, ,99841      ,4,9,12,,Tenakee Springs,2,2,277467,0,0,0,0,0,0,0,0,0,2,2,277467,0,0,0,0,0,0,0,0,0
2001,02,625000,016,3430,9999,9999, ,99685      ,4,9,8,,Unalaska,8,8,1132737,0,0,0,0,0,0,3,15,2149086,2,2,270000,0,0,0,0,0,0,0,0,0
2001,02,633000,261,3470,9999,9999, ,99686      ,4,9,12,,Valdez,29,29,4377618,0,0,0,0,0,0,0,0,0,29,29,4377618,0,0,0,0,0,0,0,0,0
2001,02,645000,170,3520,9999,9999, ,99654      ,4,9,12,,Wasilla,33,33,4997032,2,4,384740,0,0,0,3,24,1679856,33,33,4997032,2,4,384740,0,0,0,3,24,1679856
2001,02,653000,261,3550,9999,9999, ,99693      ,4,9,12,,Whittier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,02,657000,280,3590,9999,9999, ,99929      ,4,9,6,,Wrangell,8,8,782000,0,0,0,0,0,0,0,0,0,3,3,441000,0,0,0,0,0,0,0,0,0
2001,02,661000,282,3610,9999,9999, ,99689      ,4,9,12,,City and Borough of Yakutat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,04,001000,001,    ,9999,9999, ,85936      ,4,8,12,,Apache County Unincorporated Area,67,67,7282001,0,0,0,10,37,1805996,0,0,0,67,67,7282001,0,0,0,10,37,1805996,0,0,0
2001,04,009000,021,0007,6200,9999, ,852192899  ,4,8,12,,Apache Junction,472,472,49544073,0,0,0,1,4,271045,11,176,8323295,472,472,49544073,0,0,0,1,4,271045,11,176,8323295
