Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
202507,02,525000,122,2950,68340 ,00000 ,278 ,999,99999, , ,99663      ,4,9,0,Seldovia,1,1,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,529000,122,2960,68560 ,00000 ,2927 ,999,99999, , ,99664      ,4,9,7,Seward,5,5,1592500,1,2,280000,0,0,0,0,0,0,5,5,1592500,1,2,280000,0,0,0,0,0,0
202507,02,557000,220,    ,99990 ,00000 ,8405 ,999,99999, , ,99835      ,4,9,0,Sitka city and borough,6,6,1307948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,561000,230,3050,70760 ,00000 ,1179 ,999,99999, , ,998400415  ,4,9,7,Municipality of Skagway,4,4,1019000,0,0,0,0,0,0,0,0,0,4,4,1019000,0,0,0,0,0,0,0,0,0
202507,02,565000,122,3070,71640 ,00000 ,4790 ,999,99999, , ,99669      ,4,9,7,Soldotna,8,8,3268727,3,6,1445000,0,0,0,0,0,0,8,8,3268727,3,6,1445000,0,0,0,0,0,0
202507,02,581000,016,2880,66470 ,00000 ,485 ,999,99999, , ,996600901  ,4,9,0,St. Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,597000,105,3290,76260 ,00000 ,136 ,999,99999, , ,998410052  ,4,9,0,Tenakee Springs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,625000,016,3430,80770 ,00000 ,4473 ,999,99999, , ,99685      ,4,9,0,Unalaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,633000,063,3470,82200 ,00000 ,3843 ,999,99999, , ,99686      ,4,9,0,Valdez,4,4,1028220,1,2,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,645000,170,3520,83080 ,00000 ,11099 ,999,11260, , ,99654      ,4,9,1,Wasilla,11,11,4250810,6,12,2463354,0,0,0,1,5,778055,6,6,2400000,1,2,399159,0,0,0,0,0,0
202507,02,653000,063,3550,84510 ,00000 ,203 ,999,99999, , ,996930608  ,4,9,0,Whittier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,657000,275,    ,86380 ,00000 ,2510 ,999,99999, , ,99929      ,4,9,0,Wrangell city and borough,1,1,275000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,02,661000,282,3610,86490 ,00000 ,637 ,999,99999, , ,99689      ,4,9,0,Yakutat city and borough,2,2,386334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,04,001000,001,    ,99990 ,00000 ,61408 ,999,99999, , ,85936      ,4,8,7,Apache County Unincorporated Area,64,64,12554643,0,0,0,0,0,0,0,0,0,64,64,12554643,0,0,0,0,0,0,0,0,0
202507,04,009000,021,0007,02830 ,00000 ,43386 ,429,38060,2, ,851192899  ,4,8,7,Apache Junction,494,494,158613489,1,2,376589,0,0,0,0,0,0,494,494,158613489,1,2,376589,0,0,0,0,0,0
202507,04,013000,013,0013,04720 ,00000 ,88914 ,429,38060, , ,85323      ,4,8,7,Avondale,537,537,167094434,0,0,0,0,0,0,1,286,49039821,537,537,167094434,0,0,0,0,0,0,1,286,49039821
202507,04,017000,003,0020,05770 ,00000 ,4890 ,999,43420, , ,85602      ,4,8,7,Benson,32,32,5452796,0,0,0,2,8,500000,0,0,0,32,32,5452796,0,0,0,2,8,500000,0,0,0
202507,04,021000,003,0023,06260 ,00000 ,5154 ,999,43420, , ,85603      ,4,8,0,Bisbee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,04,025000,013,0030,07940 ,00000 ,85224 ,429,38060, , ,85326      ,4,8,7,Buckeye,1352,1352,364264774,14,28,3825650,0,0,0,0,0,0,1352,1352,364264774,14,28,3825650,0,0,0,0,0,0
202507,04,029000,015,0031,08220 ,00000 ,41733 ,999,29420, , ,86442      ,4,8,7,Bullhead City,125,125,25984690,0,0,0,0,0,0,0,0,0,125,125,25984690,0,0,0,0,0,0,0,0,0
202507,04,033000,025,0036,09690 ,00000 ,11259 ,999,39150, , ,86322      ,4,8,7,Camp Verde town,15,15,5164754,2,4,385000,0,0,0,0,0,0,15,15,5164754,2,4,385000,0,0,0,0,0,0
202507,04,037000,013,0039,10180 ,00000 ,3974 ,429,38060, , ,85377      ,4,8,7,Carefree town,6,6,5580500,0,0,0,0,0,0,0,0,0,6,6,5580500,0,0,0,0,0,0,0,0,0
202507,04,041000,021,0040,10530 ,00000 ,61183 ,429,38060, ,1,85122      ,4,8,0,Casa Grande,659,659,172534081,1,2,359992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,04,045000,013,0044,11300 ,00000 ,5986 ,429,38060, , ,85331      ,4,8,7,Cave Creek town,18,18,16659799,0,0,0,0,0,0,0,0,0,18,18,16659799,0,0,0,0,0,0,0,0,0
202507,04,049000,013,0050,12000 ,00000 ,265398 ,429,38060, ,1,852444008  ,4,8,7,Chandler,97,97,53457450,0,0,0,0,0,0,5,34,6806896,97,97,53457450,0,0,0,0,0,0,5,34,6806896
202507,04,053000,025,0053,12840 ,00000 ,12819 ,999,39150, , ,86323      ,4,8,6,Chino Valley town,41,41,9787668,0,0,0,0,0,0,0,0,0,36,36,9084110,0,0,0,0,0,0,0,0,0
202507,04,057000,025,0058,13890 ,00000 ,4525 ,999,39150, , ,863240308  ,4,8,7,Clarkdale town,1,1,400000,0,0,0,0,0,0,0,0,0,1,1,400000,0,0,0,0,0,0,0,0,0
202507,04,061000,011,0062,14380 ,00000 ,3636 ,999,99999, , ,85533      ,4,8,0,Clifton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,04,065000,003,    ,99990 ,00000 ,50448 ,999,43420, , ,85603      ,4,8,7,Cochise County Unincorporated Area,188,188,29614056,0,0,0,0,0,0,0,0,0,188,188,29614056,0,0,0,0,0,0,0,0,0
202507,04,069000,005,    ,99990 ,00000 ,53073 ,999,22380, , ,860019331  ,4,8,0,Coconino County Unincorporated Area,67,67,23682014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,04,073000,015,0063,14870 ,00000 ,4906 ,999,29420, , ,86021      ,4,8,0,Colorado City town,22,22,3444840,1,2,233562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,04,077000,021,0067,15500 ,00000 ,13769 ,429,38060, , ,85228      ,4,8,7,Coolidge,198,198,29214674,1,2,275000,0,0,0,0,0,0,198,198,29214674,1,2,275000,0,0,0,0,0,0
202507,04,081000,025,0073,16410 ,00000 ,12762 ,999,39150, , ,86326      ,4,8,7,Cottonwood,35,35,6647277,2,4,650000,0,0,0,0,0,0,35,35,6647277,2,4,650000,0,0,0,0,0,0
202507,04,083000,025,0077,19145 ,00000 ,4240 ,999,39150, , ,86329      ,4,8,7,Dewey-Humboldt town,26,26,5553286,0,0,0,0,0,0,0,0,0,26,26,5553286,0,0,0,0,0,0,0,0,0
202507,04,084000,007,0348,69480 ,00000 ,2327 ,429,37740, , ,85541      ,4,8,0,Star Valley town,24,24,7817311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202507,04,085000,003,0080,20050 ,00000 ,16458 ,999,43420, ,1,856072030  ,4,8,4,Douglas,9,9,940726,0,0,0,0,0,0,0,0,0,6,6,596914,0,0,0,0,0,0,0,0,0
