Survey,State,6-Digit,County,Place,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2006,02,009000,013,0070,999,99999, , ,99503      ,4,9,0,Akutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,02,041000,020,0140,999,11260, ,1,995196650  ,4,9,12,Municipality of Anchorage,550,550,157997178,70,140,23415740,18,67,10217743,37,605,77757415,550,550,157997178,70,140,23415740,18,67,10217743,37,605,77757415
2006,02,049000,232,0160,999,99999, , ,99820      ,4,9,3,Angoon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,02,069000,000,    ,999,99999,2, ,99501      ,4,9,0,Balance of State-Part 1 Anchorage,104,104,18120159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,02,073000,000,    ,999,99999,2, ,99701      ,4,9,0,Balance of State-Part 2 Fairbanks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,02,077000,000,    ,999,99999,2, ,99801      ,4,9,0,Balance of State-Part 3 Juneau,99,99,20919620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,02,085000,050,0310,999,99999, , ,99559      ,4,9,2,Bethel,42,42,6031129,1,2,160000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,02,097000,060,    ,999,99999, , ,99633      ,4,9,12,Bristol Bay Borough,11,11,1542352,1,2,450000,0,0,0,0,0,0,11,11,1542352,1,2,450000,0,0,0,0,0,0
2006,02,133000,261,0820,999,99999,2, ,99574      ,4,9,12,Cordova,8,8,636500,1,2,160000,0,0,0,0,0,0,8,8,636500,1,2,160000,0,0,0,0,0,0
2006,02,137000,201,0830,999,99999, , ,99921      ,4,9,11,Craig,3,3,558954,1,2,218026,0,0,0,0,0,0,3,3,558954,1,2,218026,0,0,0,0,0,0
2006,02,177000,090,1080,999,21820, ,1,99701      ,4,9,0,Fairbanks,12,12,1101888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,02,181000,090,    ,999,21820, , ,99707      ,4,9,12,Fairbanks North Star Borough Unincorporated Area,236,236,49530650,25,50,6040000,3,10,810000,0,0,0,236,236,49530650,25,50,6040000,3,10,810000,0,0,0
2006,02,209000,100,    ,999,99999, , ,99827      ,4,9,12,Haines borough,44,44,8927000,0,0,0,0,0,0,0,0,0,44,44,8927000,0,0,0,0,0,0,0,0,0
2006,02,221000,122,1370,999,99999, , ,99603      ,4,9,12,Homer,56,56,15455800,1,2,300000,1,4,750000,0,0,0,56,56,15455800,1,2,300000,1,4,750000,0,0,0
2006,02,233000,170,1410,999,11260, , ,996940027  ,4,9,0,Houston,43,43,4730000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,02,253000,110,    ,999,99999, , ,99801      ,4,9,12,Juneau Borough,70,70,19444523,7,14,2179618,0,0,0,3,31,4851358,70,70,19444523,7,14,2179618,0,0,0,3,31,4851358
2006,02,277000,122,1630,999,99999, , ,99611      ,4,9,12,Kenai,33,33,6182000,0,0,0,3,12,970500,0,0,0,33,33,6182000,0,0,0,3,12,970500,0,0,0
2006,02,289000,130,    ,999,99999, , ,99901      ,4,9,12,Ketchikan Gateway Borough,39,39,7203190,0,0,0,0,0,0,0,0,0,39,39,7203190,0,0,0,0,0,0,0,0,0
