Survey,State,6-Digit,County,Census Place,FIPS Place,FIPS MCD,Pop,CSA,CBSA,Footnote,Central,Zip,Region,Division,Number of,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,Code,Code,  ,Code,Code,Code,City,Code,Code,Code,Months Rep,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2019,02,465000,195,    ,99990 ,00000 ,2948 ,999,99999, , ,99833      ,4,9,12,Petersburg Borough,9,9,1741380,0,0,0,0,0,0,0,0,0,9,9,1741380,0,0,0,0,0,0,0,0,0
2019,02,505000,013,2900,67020 ,00000 ,976 ,999,99999, , ,99661      ,4,9,12,Sand Point,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,525000,122,2950,68340 ,00000 ,255 ,999,99999, , ,99663      ,4,9,12,Seldovia,1,1,35000,0,0,0,0,0,0,0,0,0,1,1,35000,0,0,0,0,0,0,0,0,0
2019,02,529000,122,2960,68560 ,00000 ,2693 ,999,99999, , ,99664      ,4,9,12,Seward,5,5,1040000,3,6,889200,1,4,800000,3,34,1600000,5,5,1040000,3,6,889200,1,4,800000,3,34,1600000
2019,02,557000,220,    ,99990 ,00000 ,8881 ,999,99999, , ,99835      ,4,9,12,Sitka city and borough,8,8,1640905,0,0,0,1,3,445326,0,0,0,8,8,1640905,0,0,0,1,3,445326,0,0,0
2019,02,561000,230,3050,70760 ,00000 ,968 ,999,99999, , ,998400415  ,4,9,12,Municipality of Skagway,4,4,566470,6,12,1316666,0,0,0,0,0,0,4,4,566470,6,12,1316666,0,0,0,0,0,0
2019,02,565000,122,3070,71640 ,00000 ,4163 ,999,99999, , ,99669      ,4,9,12,Soldotna,16,16,3290522,0,0,0,0,0,0,0,0,0,16,16,3290522,0,0,0,0,0,0,0,0,0
2019,02,581000,016,2880,66470 ,00000 ,479 ,999,99999, , ,99660      ,4,9,12,St. Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,597000,105,3290,76260 ,00000 ,131 ,999,99999, , ,998410052  ,4,9,12,Tenakee Springs,1,1,282835,0,0,0,0,0,0,0,0,0,1,1,282835,0,0,0,0,0,0,0,0,0
2019,02,625000,016,3430,80770 ,00000 ,4376 ,999,99999, , ,99685      ,4,9,12,Unalaska,4,4,392472,0,0,0,0,0,0,0,0,0,4,4,392472,0,0,0,0,0,0,0,0,0
2019,02,633000,261,3470,82200 ,00000 ,3976 ,999,99999, , ,99686      ,4,9,12,Valdez,10,10,2087000,0,0,0,0,0,0,0,0,0,10,10,2087000,0,0,0,0,0,0,0,0,0
2019,02,645000,170,3520,83080 ,00000 ,7831 ,999,11260, , ,99654      ,4,9,12,Wasilla,25,25,7091963,6,12,2072657,0,0,0,0,0,0,25,25,7091963,6,12,2072657,0,0,0,0,0,0
2019,02,653000,261,3550,84510 ,00000 ,220 ,999,99999, , ,996930608  ,4,9,12,Whittier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,02,657000,275,    ,86380 ,00000 ,2369 ,999,99999, , ,99929      ,4,9,12,Wrangell city and borough,3,3,234500,0,0,0,0,0,0,0,0,0,3,3,234500,0,0,0,0,0,0,0,0,0
2019,02,661000,282,3610,86490 ,00000 ,662 ,999,99999, , ,99689      ,4,9,12,Yakutat city and borough,5,5,834615,0,0,0,0,0,0,0,0,0,5,5,834615,0,0,0,0,0,0,0,0,0
2019,04,001000,001,    ,99990 ,00000 ,61192 ,999,99999, , ,85936      ,4,8,12,Apache County Unincorporated Area,38,38,9308975,0,0,0,0,0,0,0,0,0,38,38,9308975,0,0,0,0,0,0,0,0,0
2019,04,009000,021,0007,02830 ,00000 ,35546 ,429,38060,2, ,851192899  ,4,8,12,Apache Junction,108,108,15493969,0,0,0,0,0,0,0,0,0,108,108,15493969,0,0,0,0,0,0,0,0,0
2019,04,013000,013,0013,04720 ,00000 ,76238 ,429,38060, , ,85323      ,4,8,12,Avondale,104,104,28612820,0,0,0,0,0,0,0,0,0,104,104,28612820,0,0,0,0,0,0,0,0,0
2019,04,017000,003,0020,05770 ,00000 ,5105 ,999,43420, , ,85602      ,4,8,12,Benson,6,6,1681430,0,0,0,0,0,0,0,0,0,6,6,1681430,0,0,0,0,0,0,0,0,0
