Survey,State,6-Digit,County,Place,CSA,CBSA,Central,Zip,Region,Division,Number of,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units,,,1-unit rep,,,2-units rep,,,3-4 units rep,,,5+ units rep
Date,Code,ID,Code,Code,CSA,Code,City,Code,Code,Code,Months Rep,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
2003,02,529000,122,2960,999,99999, ,99664      ,4,9,12,,Seward,5,5,628500,2,4,299000,0,0,0,4,32,2900000,5,5,628500,2,4,299000,0,0,0,4,32,2900000
2003,02,557000,220,    ,999,99999, ,99835      ,4,9,0,,Sitka Borough,37,37,3635417,12,24,1747524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,561000,232,3050,999,99999, ,99840      ,4,9,12,,Skagway,4,4,505000,3,6,515000,2,8,320000,0,0,0,4,4,505000,3,6,515000,2,8,320000,0,0,0
2003,02,565000,122,3070,999,99999, ,99669      ,4,9,12,,Soldotna,10,10,1626930,0,0,0,0,0,0,0,0,0,10,10,1626930,0,0,0,0,0,0,0,0,0
2003,02,581000,016,2880,999,99999, ,99660      ,4,9,0,,St. Paul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,597000,232,3290,999,99999, ,99841      ,4,9,12,,Tenakee Springs,3,3,473322,0,0,0,0,0,0,0,0,0,3,3,473322,0,0,0,0,0,0,0,0,0
2003,02,625000,016,3430,999,99999, ,99685      ,4,9,1,,Unalaska,7,7,711409,0,0,0,0,0,0,1,5,716362,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,633000,261,3470,999,99999, ,99686      ,4,9,12,,Valdez,19,19,3682000,0,0,0,0,0,0,0,0,0,19,19,3682000,0,0,0,0,0,0,0,0,0
2003,02,645000,170,3520,999,11260, ,99654      ,4,9,12,,Wasilla,46,46,7206372,12,24,2307019,10,35,2582209,0,0,0,46,46,7206372,12,24,2307019,10,35,2582209,0,0,0
2003,02,653000,261,3550,999,99999, ,99693      ,4,9,12,,Whittier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,02,657000,280,3590,999,99999, ,99929      ,4,9,12,,Wrangell,3,3,428500,0,0,0,0,0,0,0,0,0,3,3,428500,0,0,0,0,0,0,0,0,0
2003,02,661000,282,3610,999,99999, ,99689      ,4,9,3,,City and Borough of Yakutat,4,4,442000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,04,001000,001,    ,999,99999, ,85936      ,4,8,12,,Apache County Unincorporated Area,86,86,10436959,0,0,0,0,0,0,0,0,0,86,86,10436959,0,0,0,0,0,0,0,0,0
2003,04,009000,021,0007,999,38060, ,852192899  ,4,8,12,,Apache Junction,190,190,16511299,1,2,123677,5,20,991577,0,0,0,190,190,16511299,1,2,123677,5,20,991577,0,0,0
2003,04,013000,013,0013,999,38060, ,85323      ,4,8,12,,Avondale,1221,1221,189528537,0,0,0,0,0,0,1,240,15334550,1221,1221,189528537,0,0,0,0,0,0,1,240,15334550
2003,04,017000,003,0020,999,99999, ,85602      ,4,8,12,,Benson,13,13,800000,0,0,0,0,0,0,0,0,0,13,13,800000,0,0,0,0,0,0,0,0,0
2003,04,021000,003,0023,999,99999, ,85603      ,4,8,12,,Bisbee,4,4,184800,0,0,0,1,4,40000,0,0,0,4,4,184800,0,0,0,1,4,40000,0,0,0
2003,04,025000,013,0030,999,38060, ,85326      ,4,8,0,,Buckeye town,24,24,2147529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,04,029000,015,0031,412,99999, ,86442      ,4,8,12,,Bullhead City,512,512,52667603,1,2,112491,0,0,0,0,0,0,512,512,52667603,1,2,112491,0,0,0,0,0,0
2003,04,033000,025,0036,999,39140, ,86322      ,4,8,12,,Camp Verde town,53,53,7414156,3,6,345658,0,0,0,0,0,0,53,53,7414156,3,6,345658,0,0,0,0,0,0
2003,04,037000,013,0039,999,38060, ,85377      ,4,8,12,,Carefree town,71,71,21178744,0,0,0,3,12,1775772,0,0,0,71,71,21178744,0,0,0,3,12,1775772,0,0,0
2003,04,041000,021,0040,999,38060, ,85222      ,4,8,12,,Casa Grande,784,784,94100709,3,6,341395,0,0,0,21,245,16449773,784,784,94100709,3,6,341395,0,0,0,21,245,16449773
2003,04,045000,013,0044,999,38060, ,85331      ,4,8,12,,Cave Creek town,133,133,49070024,0,0,0,0,0,0,0,0,0,133,133,49070024,0,0,0,0,0,0,0,0,0
2003,04,049000,013,0050,999,38060, ,85225      ,4,8,12,,Chandler,3804,3804,729850348,0,0,0,7,28,3673086,81,826,57983393,3804,3804,729850348,0,0,0,7,28,3673086,81,826,57983393
2003,04,053000,025,0053,999,39140, ,86323      ,4,8,12,,Chino Valley town,104,104,19870444,0,0,0,1,3,337900,8,64,2241517,104,104,19870444,0,0,0,1,3,337900,8,64,2241517
2003,04,057000,025,0058,999,39140, ,863240308  ,4,8,12,,Clarkdale town,13,13,2337999,0,0,0,0,0,0,0,0,0,13,13,2337999,0,0,0,0,0,0,0,0,0
2003,04,061000,011,0062,999,99999, ,85533      ,4,8,12,,Clifton town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,04,065000,003,    ,999,99999, ,85603      ,4,8,12,,Cochise County Unincorporated Area,346,346,36680708,0,0,0,0,0,0,0,0,0,346,346,36680708,0,0,0,0,0,0,0,0,0
2003,04,069000,005,    ,999,22380, ,860019331  ,4,8,12,,Coconino County Unincorporated Area,398,398,63569735,0,0,0,1,3,408436,0,0,0,398,398,63569735,0,0,0,1,3,408436,0,0,0
2003,04,073000,015,0063,412,99999, ,86021      ,4,8,0,,Colorado City town,28,28,3839349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,04,077000,021,0067,999,38060, ,85228      ,4,8,12,,Coolidge,32,32,3782902,3,6,452124,0,0,0,0,0,0,32,32,3782902,3,6,452124,0,0,0,0,0,0
2003,04,081000,025,0073,999,39140, ,86326      ,4,8,12,,Cottonwood,34,34,5653812,16,32,3116114,1,4,251404,2,20,1392421,34,34,5653812,16,32,3116114,1,4,251404,2,20,1392421
2003,04,085000,003,0080,999,99999, ,85607      ,4,8,12,,Douglas,26,26,2603930,0,0,0,0,0,0,0,0,0,26,26,2603930,0,0,0,0,0,0,0,0,0
2003,04,089000,011,0085,999,99999, ,85534      ,4,8,12,,Duncan town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,04,093000,001,0090,999,99999, ,85925      ,4,8,12,,Eagar town,9,9,1384250,0,0,0,1,4,186200,0,0,0,9,9,1384250,0,0,0,1,4,186200,0,0,0
2003,04,097000,013,0100,999,38060, ,85335      ,4,8,9,,El Mirage,1132,1132,126301921,0,0,0,0,0,0,3,22,1316669,493,493,58279093,0,0,0,0,0,0,0,0,0
2003,04,101000,021,0105,999,38060, ,85231      ,4,8,12,,Eloy,35,35,2520325,2,4,175000,3,12,483144,0,0,0,35,35,2520325,2,4,175000,3,12,483144,0,0,0
2003,04,105000,005,0115,999,22380,1,86001      ,4,8,12,,Flagstaff,416,416,60089924,25,50,2417762,10,37,2890756,17,252,13321493,416,416,60089924,25,50,2417762,10,37,2890756,17,252,13321493
2003,04,109000,021,0120,999,38060, ,85232      ,4,8,12,,Florence town,9,9,656400,0,0,0,0,0,0,0,0,0,9,9,656400,0,0,0,0,0,0,0,0,0
2003,04,113000,013,0124,999,38060, ,85269      ,4,8,12,,Fountain Hills town,145,145,55957077,1,2,319539,3,12,2243706,1,5,895184,145,145,55957077,1,2,319539,3,12,2243706,1,5,895184
2003,04,117000,005,0125,999,22380, ,86022      ,4,8,12,,Fredonia town,4,4,338550,0,0,0,0,0,0,0,0,0,4,4,338550,0,0,0,0,0,0,0,0,0
2003,04,121000,013,0129,999,38060, ,85337      ,4,8,12,,Gila Bend town,4,4,612100,0,0,0,0,0,0,0,0,0,4,4,612100,0,0,0,0,0,0,0,0,0
2003,04,125000,007,    ,999,99999, ,85541      ,4,8,12,,Gila County Unincorporated Area,94,94,11569057,0,0,0,0,0,0,0,0,0,94,94,11569057,0,0,0,0,0,0,0,0,0
2003,04,129000,013,0135,999,38060, ,85296      ,4,8,12,,Gilbert town,3862,3862,605272899,0,0,0,0,0,0,0,0,0,3862,3862,605272899,0,0,0,0,0,0,0,0,0
2003,04,133000,013,0140,999,38060, ,85301      ,4,8,12,,Glendale,722,722,106634390,0,0,0,0,0,0,24,356,15370560,722,722,106634390,0,0,0,0,0,0,24,356,15370560
2003,04,137000,007,0145,999,99999, ,85501      ,4,8,12,,Globe,8,8,1004555,1,2,389969,0,0,0,0,0,0,8,8,1004555,1,2,389969,0,0,0,0,0,0
2003,04,141000,013,0150,999,38060, ,85338      ,4,8,12,,Goodyear,2274,2274,374340984,0,0,0,0,0,0,0,0,0,2274,2274,374340984,0,0,0,0,0,0,0,0,0
2003,04,145000,009,    ,999,99999, ,85546      ,4,8,12,,Graham County Unincorporated Area,30,30,3488984,0,0,0,0,0,0,0,0,0,30,30,3488984,0,0,0,0,0,0,0,0,0
2003,04,149000,011,    ,999,99999, ,85533      ,4,8,12,,Greenlee County Unincorporated Area,2,2,173000,0,0,0,0,0,0,0,0,0,2,2,173000,0,0,0,0,0,0,0,0,0
2003,04,153000,013,0158,999,38060, ,85283      ,4,8,12,,Guadalupe town,11,11,765000,0,0,0,0,0,0,0,0,0,11,11,765000,0,0,0,0,0,0,0,0,0
2003,04,157000,007,0160,999,99999, ,85235      ,4,8,12,,Hayden town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,04,165000,017,0165,999,99999, ,86025      ,4,8,12,,Holbrook,3,3,336000,0,0,0,0,0,0,0,0,0,3,3,336000,0,0,0,0,0,0,0,0,0
2003,04,169000,003,0170,999,99999, ,85616      ,4,8,0,,Huachuca City town,25,25,2077348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,04,173000,025,0173,999,39140, ,86331      ,4,8,0,,Jerome town,3,3,669000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003,04,181000,015,0185,412,99999, ,86401      ,4,8,12,,Kingman,416,416,38117148,5,10,457988,0,0,0,0,0,0,416,416,38117148,5,10,457988,0,0,0,0,0,0
2003,04,185000,012,    ,999,99999, ,85344      ,4,8,12,,La Paz County Unincorporated Area,37,37,5876416,0,0,0,0,0,0,0,0,0,37,37,5876416,0,0,0,0,0,0,0,0,0
2003,04,189000,015,0188,412,99999, ,86403      ,4,8,12,,Lake Havasu City,1361,1361,139154526,88,176,11678152,23,88,4836188,15,112,7213815,1361,1361,139154526,88,176,11678152,23,88,4836188,15,112,7213815
2003,04,193000,013,0196,999,38060, ,85340      ,4,8,12,,Litchfield Park,29,29,7680904,0,0,0,0,0,0,0,0,0,29,29,7680904,0,0,0,0,0,0,0,0,0
2003,04,201000,019,0210,999,46060, ,85741      ,4,8,12,,Marana town,1206,1206,177338077,0,0,0,0,0,0,0,0,0,1206,1206,177338077,0,0,0,0,0,0,0,0,0
2003,04,205000,013,    ,999,38060, ,85004      ,4,8,12,,Maricopa County Unincorporated Area,5664,5664,787021983,0,0,0,62,190,13481191,6,36,2582622,5664,5664,787021983,0,0,0,62,190,13481191,6,36,2582622
2003,04,209000,013,0215,999,38060, ,852111466  ,4,8,12,,Mesa,2474,2474,418746914,6,12,900864,43,134,12932539,32,311,23175428,2474,2474,418746914,6,12,900864,43,134,12932539,32,311,23175428
2003,04,213000,007,0220,999,99999, ,85539      ,4,8,12,,Miami town,1,1,30625,0,0,0,0,0,0,0,0,0,1,1,30625,0,0,0,0,0,0,0,0,0
2003,04,217000,015,    ,412,99999, ,864027000  ,4,8,7,,Mohave County Unincorporated Area,678,678,58930627,2,4,249361,0,0,0,0,0,0,416,416,36421916,1,2,148176,0,0,0,0,0,0
2003,04,221000,017,    ,999,99999, ,85901      ,4,8,12,,Navajo County Unincorporated Area,363,363,37504310,1,2,80633,0,0,0,0,0,0,363,363,37504310,1,2,80633,0,0,0,0,0,0
2003,04,225000,023,0235,999,99999, ,85621      ,4,8,6,,Nogales,41,41,6728011,1,2,177475,1,3,261818,0,0,0,20,20,2810755,0,0,0,1,3,261818,0,0,0
2003,04,229000,019,0238,999,46060, ,85737      ,4,8,12,,Oro Valley town,496,496,118589542,0,0,0,0,0,0,0,0,0,496,496,118589542,0,0,0,0,0,0,0,0,0
2003,04,233000,005,0240,999,22380, ,86040      ,4,8,12,,Page,14,14,2618636,0,0,0,0,0,0,0,0,0,14,14,2618636,0,0,0,0,0,0,0,0,0
2003,04,237000,013,0242,999,38060, ,85253      ,4,8,12,,Paradise Valley town,65,65,64966152,0,0,0,0,0,0,0,0,0,65,65,64966152,0,0,0,0,0,0,0,0,0
2003,04,241000,012,0245,999,99999, ,85344      ,4,8,12,,Parker town,14,14,1130000,0,0,0,0,0,0,0,0,0,14,14,1130000,0,0,0,0,0,0,0,0,0
2003,04,245000,023,0250,999,99999, ,85624      ,4,8,12,,Patagonia town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
